ID,Loại robot,RFQ family,Custom part,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,Source URL,Confidence
R001,Humanoid/general-purpose,precision CNC housing,"Harmonic-drive circular-spline housing (generic joint housing, not tied to a named OEM part)",unknown (spec sheet does not name a specific alloy for the housing),CNC machining (bore + flange),unknown,unknown,unknown,None (machined housing),https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,documentation_verified
R002,Humanoid/general-purpose,precision CNC housing,Upper-arm output flange; structural frame members (silver machined parts observed in teardown),"Al 7075 (upper arm, per teardown analysis)",5-axis CNC machining of aluminum billet,unknown,unknown,unknown,unknown,https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,documentation_verified
R003,Cobot/industrial arm/machine tending,precision CNC housing,Joint housing / arm tube transition,unknown,"unknown (implied machining, not confirmed)",unknown,unknown,unknown,unknown,https://www.universal-robots.com/products/ur20/,supplier_marketing
R004,Maker/startup-built custom robot systems,precision CNC housing,Finger frame; proximal phalanx; MCP joint part; joint shafts,"SUS303 stainless (finger frame, proximal phalanx, MCP joint part, shafts); Aluminum 6061 (remaining parts)","CNC machining (milling, cutting, drilling)",unknown,unknown,unknown,None,https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,documentation_verified
R005,AMR/warehouse/logistics,bracket/mount/adapter,LiDAR bracket; stereo camera housing; force/torque sensor adapter; encoder mount,Aluminum alloy (unspecified grade) or stainless steel,CNC machining,unknown,unknown,unknown,None,https://www.rivcut.com/cnc-machining/houston/robotics/sensor-mounts/,supplier_marketing
R006,Agriculture robot,bracket/mount/adapter,Structural mounting bracket / mounting plate for farm-equipment attachment,"unknown (fabricator markets steel, stainless, aluminum generally, not a specific grade for a named agriculture-robot bracket)",Fabrication (laser/robotic welding capability offered),unknown,unknown,unknown,MIG/TIG/laser welding offered by fabricator for steel/stainless/aluminum,https://lcnw.com/agricultural-manufacturing/,supplier_marketing
R007,Service robot,bracket/mount/adapter,Sensor/vision-camera mounting bracket,Aerospace-grade aluminum alloy or stainless steel (unspecified grade),CNC machining,unknown,unknown,unknown,None,https://frigate.ai/product/robotic-vision-camera-bracket/,supplier_marketing
R008,Exoskeleton/wearable robot,bracket/mount/adapter,Frame member; actuator mounting bracket,"Aluminum or titanium structural elements (Lockheed Martin Onyx: carbon fiber, aluminum, plastic, fabric, and titanium)","unknown (CNC machining implied for metal elements, not confirmed for Onyx specifically)",unknown,unknown,unknown,unknown,https://www.ucf.edu/pegasus/power-move-onyx-exoskeleton/,"documentation_verified (Onyx materials, UCF); supplier_marketing (bracket/tolerance generalization)"
R009,AMR/warehouse/logistics,welded frame/chassis,Chassis frame (laser-cut panels + weld),"6061-T6 aluminum or mild steel (per vendor generalization, not a named OEM's confirmed spec)",Laser cutting + MIG/TIG welding,CNC machining of post-weld joint interfaces; powder coat or anodize,Powder coat or anodize,Stress relief (implied by squareness spec below),MIG/TIG welded sheet-metal weldment,https://www.thefabricator.com/thefabricator/article/automationrobotics/the-potential-of-flexible-mobile-robots-in-sheet-metal-fabrication,industry_estimate
R010,Agriculture robot,welded frame/chassis,Structural steel/stainless chassis frame,"Heavy-gauge structural steel and stainless (304/316L), per vendor generalization",TIG/MIG welding,unknown,unknown,"Stress relief (deeply penetrated, stress-relieved welds cited to prevent fatigue failure)","Deeply penetrated, stress-relieved TIG/MIG welds",https://shincofab.com/sheet-metal-fabrication-for-robotics/,supplier_marketing
R012,Maker/startup-built custom robot systems,welded frame/chassis,Leg tensioner/link parts,"7075 aluminum (tensioner/tension-bearing parts, per build-log teardown)",CNC machining (Haas CNC per original build),unknown,unknown,unknown,"None found (machined, not welded, for this specific family)",https://build-its-inprogress.blogspot.com/2022/11/mini-cheetah-clone-teardown.html,documentation_verified
R013,AMR/warehouse/logistics,sheet-metal enclosure,Sheet-metal body panel/cover,unknown (generic: 6061-T6 aluminum or mild steel per vendor generalization),Laser cutting + CNC press-brake bending,PEM hardware insertion,Powder coat or anodize,unknown,"None (formed sheet metal, not welded, for panel-only parts)",https://www.lsrpf.com/blog/top-6-manufacturers-for-robotics-sheet-metal-fabrication-custom-lightweight-chassis-experts,supplier_marketing
R014,Service robot,sheet-metal enclosure,Outer shell/panel enclosure,unknown,"unknown (source discusses thermoforming as an enclosure alternative to sheet metal, not sheet metal itself in detail)",unknown,unknown,unknown,unknown,https://www.ditaiplastic.com/thermoformed-enclosures-for-robotics-automation-complete-guide/,supplier_marketing
R016,Cobot/industrial arm/machine tending,gripper jaw/finger,Gripper jaw / finger,"Tool steel, A2 hardened to 53 HRC or D2 (wear-resistant), per vendor generalization; range cited 50-55 HRC generally","CNC machining (5-axis, sub-15-micron tolerance control per vendor claim)",Wire EDM (intricate jaw patterns in hardened material) + hardening/heat treat to 50-55 HRC,unknown,Hardening to 50-55 HRC (A2 to 53 RC cited),None,https://www.rivcut.com/cnc-machining/robotics/gripper-components/,supplier_marketing
R017,Humanoid/general-purpose,gripper jaw/finger,"Finger frame, proximal phalanx, MCP joint part",SUS303 stainless (load-bearing finger parts); Aluminum 6061 (remaining parts),CNC machining,unknown,unknown,unknown,None,https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,documentation_verified
R020,Maker/startup-built custom robot systems,battery/electronics enclosure,Main housing with battery pocket,ASTM 6061-T6 aluminum,CNC machining,unknown,unknown,unknown,None,https://arxiv.org/pdf/2503.20702,documentation_verified
R021,AMR/warehouse/logistics,battery/electronics enclosure,Battery pack enclosure with lid,unknown (vendor generalization does not name a specific alloy),CNC machining,unknown,unknown,unknown,None,https://www.rivcut.com/cnc-machining/springfield/automotive/ev-battery-enclosures/,supplier_marketing
R022,Humanoid/general-purpose,battery/electronics enclosure,Sealed electronics housing,6061-T6 aluminum,CNC machining,unknown,Black anodize (bead-blasted),unknown,None,https://www.charmaxprecision.com/case-studies/aluminum-electronics-housing/,supplier_marketing
R023,Humanoid/general-purpose,joint/link,Joint housing with bearing bore,"6061-T6 (housings), 7075 (structural flanges), Ti-6Al-4V (high-stress shafts) — vendor generalization",5-axis continuous milling (cited as necessary to mitigate setup errors and guarantee bearing-bore concentricity),unknown,unknown,unknown,None,https://www.dakingsrapid.com/en_us/humanoid-robot-joint-cnc-machining-tolerances-specs/,supplier_marketing
R024,Inspection/field robot,joint/link,"unknown (body/leg structural parts, not itemized)",Carbon fibre and aluminium body; Kevlar belly protection (ANYbotics ANYmal),unknown,unknown,unknown,unknown,unknown,https://ori.ox.ac.uk/robots/ghost,documentation_verified
R025,Inspection/field robot,joint/link,unknown,Aluminum and composites (Ghost Robotics Vision 60),unknown,unknown,unknown,unknown,unknown,https://newsletter.semianalysis.com/p/quadruped-state-of-the-market-unitree,industry_estimate
