ID nguon,Loại robot,Custom assembly,Custom part lien quan,Material,Manufacturing process,Nguon URL
R001,Humanoid/general-purpose,Chassis/frame assembly; mounting bracket set,Frame member; mounting bracket,"unknown (aluminum implied, not stated)",CNC machining (multi-axis),https://www.dakingsrapid.com/robotics/
R002,Humanoid/general-purpose,Structural frame; joint assembly; actuator housing; end-effector assembly,Structural frame member; joint housing; actuator housing; end-effector component,unknown,CNC machining (precision machine shop),https://carrmachine.com/industries/humanized-robotics/
R003,Humanoid/general-purpose,Arm/link assembly (swing arm),Swing arm link bracket,7075-T6 aluminum alloy,5-axis CNC machining,https://hardwarerapid.com/portfolio-items/5-axis-cnc-machined-robot-swing-arm-link-bracket-7075-aluminum/
R004,Humanoid/general-purpose,Torso frame (extrusion cage),3D-printed bracket connecting extrusions to actuators,Aluminum extrusion (frame) + 3D-printed plastic brackets,3D printing + off-the-shelf extrusion assembly,https://arxiv.org/pdf/2504.17249
R005,Humanoid/general-purpose,Joint housing assembly,Joint housing (bearing bore),"unknown (aluminum typical per general CNC robotics context, not stated for this exact source)","CNC machining, precision boring/grinding for bearing bore",https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/
R006,Humanoid/general-purpose,Joint housing assembly,Joint housing with bearing seat,Aluminum (implied by anodizing process),CNC machining + Type III hard anodize (25 micrometer) + selective masking of bearing surfaces,https://www.dakingsrapid.com/humanoid-robot-joint-cnc-machining-tolerances-specs/
R007,Humanoid/general-purpose,Arm/link assembly,Structural link housing,Aluminum (die-cast) / Magnesium (for lower-inertia joint housings),"Die casting (aluminum) or investment casting, with CNC finish machining; magnesium used to minimize inertia in articulated arm joint housings",https://www.fictiv.com/articles/robotic-arm-components-manufacturing
R008,Humanoid/general-purpose,Arm/link assembly,Cast structural housing,Aluminum alloy (gravity casting),Gravity die casting + machining,https://www.sango-automation.com/casting/robot-arm-gravity-casting-parts.html
R009,Humanoid/general-purpose,Battery enclosure / protective electronics enclosure,Enclosure body machined from billet,Billet 6061/7075 aluminum,CNC machining from solid billet (no porosity),https://www.rallyprecision.com/products/custom-aluminum-enclosure/
R010,AMR/warehouse/logistics,Chassis/frame assembly (welded),Frame member; structural panel,Heavy-gauge structural steel and stainless steel (304/316L),"Laser cutting + CNC press-brake bending + TIG/MIG welding (deeply penetrated, stress-relieved welds) + powder coat/anodize finish",https://shincofab.com/sheet-metal-fabrication-for-robotics/
R011,AMR/warehouse/logistics,Welded chassis assembly,Welded frame,"unknown (sheet metal, grade unspecified)",Sheet metal fabrication + welding (precision sheet metal fab specifically marketed for 'robot welding chassis'),https://www.sheetmetalchina.com/robot-welding-chassis/
R012,AMR/warehouse/logistics,AGV/AMR structure; robot controller enclosure; EOAT frame; vision housing,Structural frame member; controller enclosure; EOAT frame member; vision/camera housing,unknown,Build-to-print sheet metal fabrication,https://drametal.com/industries/robotics/
R013,AMR/warehouse/logistics,Custom metal tray (payload-carrying structure),Custom sheet-metal tray,"unknown (metal, grade unspecified)",Sheet metal fabrication,https://www.sheetmetalchina.com/custom-metal-tray/
R014,AMR/warehouse/logistics,Welded main structural frame (AMR),Structural frame member,unknown,Welding + structural fabrication,https://www.mcalpin-ind.com/industries/material-handling
R015,Cobot/industrial arm/machine tending,Custom EOAT/gripper structure,Gripper jaw; mounting plate/bracket; nest,"AL6061-T6, AL7075-T6, various stainless steels",CNC machining or 3D printing depending on complexity/volume,https://www.emicorp.com/eoat-solutions
R016,Cobot/industrial arm/machine tending,Custom EOAT/gripper structure,"Mixed-material gripper components (jaws, brackets, plates)",unknown (implied metal per 'CNC machined'),CNC machining,https://eoatmachining.com/products
R017,Cobot/industrial arm/machine tending,Custom fixture/jig,Hydraulic workholding fixture,unknown (fixture material not specified; workpiece is titanium),Precision fixture fabrication + hydraulic clamping,https://amdmachines.com/solutions/machine-tending/
R018,Cobot/industrial arm/machine tending,Custom fixture/jig,Jig/fixture body,unknown,CNC machining or 3D printing (both explicitly offered as alternative routes),https://www.protolabs.com/resources/blog/create-jigs-and-fixtures-with-cnc-machining-and-3d-printing/
R019,Cobot/industrial arm/machine tending,Sensor/camera mount assembly,Sensor mount bracket,unknown,CNC machining,https://www.jacoworks.com/industries-served/robotic-components
R020,Cobot/industrial arm/machine tending,Custom EOAT/gripper structure,Gripper jaw/finger,Aluminum 6061/7075 for lighter payloads (<25kg); 4140 steel; 304 stainless; Delrin; PEEK; A2 tool steel hardened to 53 RC for wear-resistant fingers; H13 tool steel for high-temp/impact tooling; TiN coating for durability,"CNC machining (precision tolerances up to +/-0.001in general, +/-0.0005in on critical grip surfaces) + heat treatment (hardening) + coating (TiN)",https://www.rivcut.com/cnc-machining/robotics/gripper-components/
R021,Agriculture robot,Mounting bracket / adapter assembly,Bracket; bushing; plate; adapter,unknown (implied metal),"CNC machining, fast turnaround",https://www.mccartyfabrication.com/agriculture
R022,Agriculture robot,Mounting bracket assembly,Custom CNC machined bracket,"Aluminum, steel, brass, plastics",CNC machining,https://www.beskamold.com/products/custom-cnc-machined-brackets/
R023,Agriculture robot,Custom EOAT/gripper structure (harvesting end-effector),Vacuum gripper + oscillating cutting blade end-effector,unknown,"unknown (research prototype, fabrication method not detailed)",https://arxiv.org/pdf/1810.11920
R024,Agriculture robot,Custom EOAT/gripper structure,Soft gripper finger (dual-layer),TPU (3D printed base layer) + Ecoflex 00-30 silicone elastomer (molded air-chamber layer); also 1.75mm TPE filament variant,3D printing (FDM) + silicone molding (combined multi-material assembly),https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2023.1330496/full
R025,Agriculture robot,Custom EOAT/gripper structure,Avocado-specific end-effector,unknown,unknown,https://arxiv.org/pdf/2407.01809
R026,Inspection/field robot,Protective enclosure (pressure housing),Pressure housing tube; end cap,"Aluminum 6061-T6/7075-T6 (shallow-rated); Titanium Grade 5 (deep-rated); anodized aluminum, stainless steel also used",5-axis CNC machining,https://waykenrm.com/blogs/underwater-rov-design-and-customization/
R027,Inspection/field robot,Protective enclosure (pressure housing),Titanium subsea pressure housing,Titanium alloy,Precision machining of titanium,https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-subsea-pressure-housings.html
R028,Inspection/field robot,Protective enclosure,Watertight enclosure tube,unknown (catalog product; some customization available),unknown,https://bluerobotics.com/store/watertight-enclosures/wte-vp/
R029,Inspection/field robot,Sensor/camera mount assembly (gimbal),Weatherproof gimbal housing,Carbon fibre + light aluminium alloys,Composite fabrication + CNC machining (implied by 'light aluminium alloys'),https://www.unmannedsystemstechnology.com/feature/developing-a-custom-weatherproof-gimbal-for-a-power-line-inspection-drone/
R030,Inspection/field robot,Sensor/camera mount assembly (gimbal),Motor mount (gimbal),Aluminum,"CNC machining, with a documented re-machining/design revision cycle",https://www.cnctal.com/uav-parts/
R031,Service robot,Chassis/enclosure (whole-robot level),Custom housing/enclosure,unknown,unknown (positioned as 'custom manufacturer' offering design-phase-to-after-sales support),https://www.reemanrobotics.com/cleaning-robot-commercial/
R032,Service robot,Protective enclosure,Sheet-metal robot housing,unknown,Sheet metal forming (custom enclosures),https://epromfg.com/robot-housing-manufacturer-sheet-metal-custom-enclosures/
R033,Service robot,Protective enclosure; base frame,Insulated compartment housing; base frame,"Lightweight aluminum (5052/6061) for enclosures; rigid stainless steel for base frames (general robotics sheet-metal fabrication norm, not confirmed specific to Starship/Serve by name)",Laser cutting + CNC press-brake forming,https://www.starship.xyz/our-robots/
R034,Mining/autonomous haulage,Retrofit kit (sensor/control integration onto legacy truck),unknown (kit contents not itemized in source),unknown,"unknown (retrofit installation, not a described fabrication process)",https://www.itnews.com.au/news/rio-tinto-starts-autonomous-retrofits-for-haul-trucks-480041
R035,Mining/autonomous haulage,Retrofit kit,unknown,unknown,unknown,https://www.cio.com/article/201760/rio-tinto-ramps-up-truck-automation.html
R036,Mining/autonomous haulage,Retrofit kit,unknown,unknown,unknown,https://www.mining-technology.com/features/autonomous-haulage-systems/
