fact_id,robot_category,country,buyer_user,use_case,lifecycle_stage,adoption_growth_signal_raw_claim,confidence,fact_hypothesis_inference,missing_unknown,source_url
R001,Humanoid / general-purpose,US,OEM (automotive) via robot-as-a-service vendor,Sheet-metal part loading / logistics sequencing on auto assembly line,pilot,"Figure 02 completed an 11-month pilot at BMW Spartanburg (Jan-Nov 2025), loaded 90,000+ sheet metal parts, supported 30,000+ X3 vehicles; Figure has since moved Figure 03 to logistics sequencing at the same plant.",high,fact,none,https://humanoid.guide/humanoid-deployments-in-2026-favor-figure-and-agility/
R002,Humanoid / general-purpose,US,"3PL / logistics (GXO, Schaeffler, Toyota Canada, Mercado Libre)",Tote-moving / logistics RaaS,low-volume,"Agility Robotics' Digit surpassed 100,000 totes moved and 65,000+ operating hours across nine customer facilities under a RaaS contract at GXO's Flowery Branch facility; RoboFab (Salem, OR) designed for up to 10,000 Digit units/year.",medium,fact,none,https://robobrief.tech/blog/humanoid-robots-2026/
R003,Humanoid / general-purpose,AU,Warehouse operators (general),N/A,N/A,"As of end-August 2026, no Australian warehouse operator has publicly announced a live humanoid deployment, pilot or proof of concept.",medium,fact,AU humanoid warehouse adoption: unknown / not yet occurring per this source,https://www.ascla.org/humanoids-are-coming-to-the-warehouse/
R004,Humanoid / general-purpose,AU,Aged care operators; SME robot integrator/reseller,Companionship / wellness robot for aged care,low-volume,South Melbourne startup Andromeda sells an AI companion robot 'Abi' into aged-care facilities; Dex-Lab's humanoid 'Daisy' has been used across five Sydney aged-care facilities.,medium,fact,none,https://www.abc.net.au/news/2026-07-20/artificial-intelligence-testing-models-humanoids-data-centres/106928550
R005,AMR / warehouse / logistics,US,"3PL & e-commerce fulfillment (DHL, Geodis, Quiet Logistics/American Eagle)",Goods-to-picker pick assistance,production,"US AMR-for-logistics market valued at US$1.8B (2024) projected to US$4.5B by 2033 (~10.2% CAGR); Locus Robotics deployed at hundreds of 3PL/retail fulfillment sites, claims 2-3x units/hour vs manual picking.",medium,fact,none,https://www.gminsights.com/industry-analysis/autonomous-mobile-robots-market
R006,AMR / warehouse / logistics,US,3PL & e-commerce fulfillment,Goods-to-picker pick assistance,production,"Locus Robotics claims its system 'consistently delivers 2-3x the units-per-hour of manual picking'; DHL, Geodis and Quiet Logistics (acquired by American Eagle) are named multi-site customers.",low,fact,none,https://locusrobotics.com/blog/warehouse-robots-demystified-its-not-as-hard-as-you-think
R007,AMR / warehouse / logistics,AU,Australian e-commerce / fulfilment centres,"Order picking / warehouse automation, ASRS + AMR combined",low-volume,"Australian warehouse automation adoption in 2025 driven by e-commerce growth, labour shortages, and space scarcity; Robotics-as-a-Service (RaaS) and modular solutions cited as enabling smaller AU operators to adopt with lower upfront cost.",medium,fact,No AU-specific unit-count or market-size figure found in this source,https://www.australianmanufacturing.com.au/four-2025-trends-shaping-warehouse-automation-and-intralogistics/
R008,AMR / warehouse / logistics,Global,N/A,N/A,N/A,"Global AMR-for-logistics-and-warehousing market valued at $9.1B in 2025, projected to $44.6B by 2034 (17.9% CAGR); North America holds 37.3% share in 2025.",medium,fact,none,https://www.gminsights.com/industry-analysis/autonomous-mobile-robots-market
R009,Cobot / industrial arm / machine tending,US,"Automotive, electronics, food & beverage manufacturers","Machine tending, palletizing, assembly",production,"US collaborative robot market estimated at US$133.1M (2024), projected 29.7% CAGR 2025-2030 per one source; another source cites US$653.45M (2024) growing at 19.62% CAGR to 2032. Universal Robots holds ~31% global cobot market share via its UR+ partner network (85 new certified peripherals in 2024).",low,fact,none,https://www.marketsandmarkets.com/ResearchInsight/collaborative-robot-market-us.asp
R010,Cobot / industrial arm / machine tending,US,"Automotive, electronics, food & beverage manufacturers","Machine tending, palletizing, assembly",production,"US collaborative robot market projected to grow from US$653.45M (2024) to US$2,739.89M (2032), 19.62% CAGR 2025-2032; automotive, electronics and food & beverage cited as leading adopting industries.",low,fact,none,https://www.grandviewresearch.com/industry-analysis/us-collaborative-robots-market-report
R011,Cobot / industrial arm / machine tending,AU,AU SME manufacturers (10-50 employees),"Machine tending, pick & place, palletizing, welding",low-volume,"AU robotics-in-manufacturing market reached 4,600 units in 2025, projected to reach 17,400 units by 2034 (15.44% CAGR 2026-2034). AU manufacturing added only 8,400 jobs in 2025 against 23,000 openings, a labour-pressure driver for automation.",medium,fact,none,https://www.imarcgroup.com/australia-robotics-in-manufacturing-market
R012,Cobot / industrial arm / machine tending,AU,AU SME manufacturers (10-50 employees),"Machine tending, pick & place",low-volume,"An Australian manufacturer with 10-50 employees can reportedly deploy a cobot for under A$50,000, program it in hours, and see ROI in 12-18 months; payback periods of 8-24 months are cited as standard for AU cobot deployments.",low,fact,none,https://robotsnews.com.au/collaborative-robots-cobots-in-australian-manufacturing-a-practical-guide-for-smes/
R013,Agriculture robot,US,"Row-crop farmers (corn, soybean, organic)",Autonomous laser weeding + autonomous tractor supervision,production,"Carbon Robotics LaserWeeder (2nd gen, 6.5-40ft models) uses computer vision + lasers for weed elimination; in 2024 over 1M acres were treated with a competing system (John Deere See & Spray) with an average 59% reduction in herbicide use.",medium,fact,none,https://roboticsandautomationnews.com/2025/09/05/agricultural-robots-precision-farming-and-autonomous-harvesting/94109/
R014,Agriculture robot,US,Row-crop farmers,Retrofit autonomous tractor kit for existing John Deere 6R/8R tractors,production,"Carbon Robotics AutoTractor Kit retrofits John Deere 6R/8R tractors for 24-hour autonomous operation with no permanent modification, installs in <24h, integrates with LaserWeeder, remote 24/7 supervision center.",medium,supplier-claimed,none,https://www.futurefarming.com/tech-in-focus/autonomous-semi-autosteering-systems/carbon-robotics-launches-autotractor-kit-for-autonomous-john-deere-tractors/
R015,Agriculture robot,AU,"Broadacre farmers (row crop, grazing)","Autonomous spray, spread, mow",production,"SwarmFarm Robotics (founded 2015, Emerald, QLD) has 250+ autonomous robots operating over 10 million acres; three applications (Spray, Spread, Mow) are commercially finalised; raised A$31.3M over 5 rounds incl. a further A$30M raise reported Oct 2025.",high,fact,none,https://www.commbank.com.au/articles/newsroom/2025/11/swarmfarm-robots-put-ag-on-global-tech-map.html
R016,Agriculture robot,AU,Broadacre farmers,Automated field robotics (various),prototype,"Agerris (spinout led by Prof. Salah Sukkarieh, who also helped develop SwarmFarm's robotics tech) received A$6.5M seed funding from Uniseed Group to commercialise automated farm equipment.",medium,fact,none,https://tracxn.com/d/companies/swarmfarm-robotics/__VtocScL1Ho1KkC2nYD6fr811xM-gHSwmVe8zTCZJgb8
R017,Inspection / field robot,US,"Oil & gas, utilities (bp, National Grid, GlobalFoundries)","Autonomous facility inspection (gauges, leaks, thermal)",production,"Global inspection-robotics-in-oil&gas market valued at US$0.84B (2025) -> US$0.93B (2026) -> US$1.51B by 2034; North America held 32.2% share in 2025. Named customers for Spot include GlobalFoundries, bp, National Grid.",medium,fact,none,https://www.giiresearch.com/report/fbs1933194-inspection-robotics-oil-gas-market-size-share.html
R018,Inspection / field robot,Global,Petronas (oil & gas),"Hazardous-area facility inspection, ATEX/IECEx rated",production,ANYbotics' ANYmal X (IP67) is marketed as the only legged robot able to navigate complex multi-story ATEX/IECEx-rated facilities; Petronas signed a 2022 agreement to deploy ANYmal across facilities through 2025.,low,supplier-claimed,none,https://www.anybotics.com/news/how-to-hire-an-industrial-inspection-robot-part-2/
R019,Inspection / field robot,AU,"Mining (Rio Tinto, Pilbara iron ore)",Autonomous haul trucks + autonomous rail + inspection drones/ROVs,production,"Rio Tinto operates 130+ autonomous Komatsu 930E haul trucks (320t loaded) across Pilbara iron-ore operations; AutoHaul is described as the world's first heavy-haul long-distance autonomous rail operation (~200 locomotives, 1,700km+ of track); reported 20% productivity increase, 20% opex reduction, 90% reduction in haul-truck accidents.",medium,fact,none,https://www.riotinto.com/about/innovation/automation
R020,Service robot,US,Hospitals (25+ US hospitals),"Medication/supply delivery, hospital logistics",production,Diligent Robotics' Moxi built on deliveries completed across 25+ US hospitals; Moxi 2.0 (Oct 2025) uses an NVIDIA-accelerated robot foundation model; Diligent Robotics was acquired by Serve Robotics in January 2026.,medium,fact,none,https://www.cbsnews.com/news/robots-hospitals-health-care-moxi/
R021,Service robot,US,"Restaurants, hotels, senior living, casinos, airport lounges","Food/beverage delivery, bussing",production,"LG Electronics moved to a planned 51% controlling stake in Bear Robotics in 2025 (after an initial $60M investment in 2024); Servi used beyond restaurants in senior living, hotels, casinos, hospitals, airport lounges.",medium,fact,none,https://www.nrn.com/restaurant-technology/bear-robotics-and-softbank-join-forces-to-mass-produce-servi-foodservice-robot
R022,Service robot,Global,Hospitality operators (NA vs Asia),Various service robot tasks,production,Service robot hospitality deployment cited at 20% adoption in North America vs 35% in Asia; ROI cited at 18-24 months with 20-40% labor savings.,low,fact,No methodology disclosed for the 20%/35% adoption-rate figures,https://sparkco.ai/blog/service-robot-hospitality-industry-deployment
