ID,Loại robot,RFQ family,Custom part,Lifecycle stage,Revision intensity,Failure/rework reason,Repeat/replacement,Single/multi-process,Tooling/NRE need,Source URL,Confidence
R001,Humanoid/general-purpose,precision CNC housing,"Harmonic-drive circular-spline housing (generic joint housing, not tied to a named OEM part)","unknown (generic engineering-guide fact, not tied to one program's lifecycle)",unknown,Gear deformation (bore too tight) or spline shift under load (bore too loose),unknown,unknown,"None described (machining only, no tooling)",https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,documentation_verified
R002,Humanoid/general-purpose,precision CNC housing,Upper-arm output flange; structural frame members (silver machined parts observed in teardown),"Production humanoid platform (shipping robot, not a prototype)","unknown (teardown notes CNC chosen over casting specifically to allow ongoing part modification as robot develops, implying frequent revision)",unknown,unknown,Single-process (machining) per described part,"None (machining avoids casting tooling investment, per source)",https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,documentation_verified
R003,Cobot/industrial arm/machine tending,precision CNC housing,Joint housing / arm tube transition,Production (current-generation shipping cobot),unknown,unknown,unknown,unknown,unknown,https://www.universal-robots.com/products/ur20/,supplier_marketing
R004,Maker/startup-built custom robot systems,precision CNC housing,Finger frame; proximal phalanx; MCP joint part; joint shafts,Prototype/academic build,unknown,unknown,unknown,Single-process (machining) as described,None (machining only),https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,documentation_verified
R005,AMR/warehouse/logistics,bracket/mount/adapter,LiDAR bracket; stereo camera housing; force/torque sensor adapter; encoder mount,Prototype through limited production run (vendor markets to both),unknown,unknown,unknown,unknown,"None (machining, no tooling)",https://www.rivcut.com/cnc-machining/houston/robotics/sensor-mounts/,supplier_marketing
R008,Exoskeleton/wearable robot,bracket/mount/adapter,Frame member; actuator mounting bracket,Production (Onyx is a fielded Lockheed Martin product),unknown,unknown,unknown,unknown,unknown,https://www.ucf.edu/pegasus/power-move-onyx-exoskeleton/,"documentation_verified (Onyx materials, UCF); supplier_marketing (bracket/tolerance generalization)"
R009,AMR/warehouse/logistics,welded frame/chassis,Chassis frame (laser-cut panels + weld),unknown (mix of prototype design-iteration case study and production capability claims),unknown,Chassis twist under asymmetric wheel loading causing sensor misalignment and navigation error (explicit design case-study failure mode),unknown,"Multi-process (cut, bend, weld, machine, finish)","None described (sheet-metal weldment, no casting/molding tooling)",https://www.thefabricator.com/thefabricator/article/automationrobotics/the-potential-of-flexible-mobile-robots-in-sheet-metal-fabrication,industry_estimate
R010,Agriculture robot,welded frame/chassis,Structural steel/stainless chassis frame,unknown,unknown,"Weld fatigue failure (motivates stress relief requirement, per vendor claim)",unknown,Multi-process (weld + implied machining),unknown,https://shincofab.com/sheet-metal-fabrication-for-robotics/,supplier_marketing
R011,Mining/autonomous haulage,welded frame/chassis,unknown,Production (Komatsu commercial deployment from 2007/2008; Sandvik AutoMine commercial),unknown,unknown,unknown,unknown,unknown,https://link.springer.com/article/10.1007/s42461-025-01219-y,documentation_verified (deployment facts only)
R012,Maker/startup-built custom robot systems,welded frame/chassis,Leg tensioner/link parts,Prototype/hobbyist-replica build,unknown,unknown,unknown,Single-process (machining),None,https://build-its-inprogress.blogspot.com/2022/11/mini-cheetah-clone-teardown.html,documentation_verified
R016,Cobot/industrial arm/machine tending,gripper jaw/finger,Gripper jaw / finger,unknown,unknown,Grip-force loss from jaw-face parallelism drift or wedge-surface backlash,"Interchangeable/quick-change jaw sets marketed by multiple gripper vendors as standard practice, implying a recurring replacement/repeat-order pattern for wear parts",Multi-process (mill/turn + wire EDM + heat treat),"None (machining/EDM, no tooling)",https://www.rivcut.com/cnc-machining/robotics/gripper-components/,supplier_marketing
R017,Humanoid/general-purpose,gripper jaw/finger,"Finger frame, proximal phalanx, MCP joint part",Prototype/academic build,unknown,unknown,unknown,Single-process (machining),None,https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,documentation_verified
R018,AMR/warehouse/logistics,sensor/camera mount,RGBD camera mount,Prototype (published academic delivery-robot design),unknown,unknown,unknown,unknown,unknown,https://arxiv.org/pdf/2103.09229,documentation_verified (functional description only)
R020,Maker/startup-built custom robot systems,battery/electronics enclosure,Main housing with battery pocket,Prototype (research robot),unknown,unknown,unknown,Single-process (machining) as described,None,https://arxiv.org/pdf/2503.20702,documentation_verified
R023,Humanoid/general-purpose,joint/link,Joint housing with bearing bore,unknown,unknown,Bearing walk (bore too loose) or bearing/gear deformation (bore too tight); hydraulic-fluid/grease sealing failure if Ra 0.8 not met,unknown,"Multi-process (5-axis milling of multiple mating features in one setup, per vendor rationale)",None (machining only),https://www.dakingsrapid.com/en_us/humanoid-robot-joint-cnc-machining-tolerances-specs/,supplier_marketing
R024,Inspection/field robot,joint/link,"unknown (body/leg structural parts, not itemized)",Production (fielded commercial industrial-inspection quadruped),unknown,unknown,unknown,unknown,unknown,https://ori.ox.ac.uk/robots/ghost,documentation_verified
R025,Inspection/field robot,joint/link,unknown,Production (fielded quadruped platform),unknown,unknown,unknown,unknown,unknown,https://newsletter.semianalysis.com/p/quadruped-state-of-the-market-unitree,industry_estimate
R028,Maker/startup-built custom robot systems,joint/link,Leg tensioner/link ('the bone'),Prototype/hobbyist-replica build,unknown,unknown,unknown,Single-process (machining),None,https://build-its-inprogress.blogspot.com/2022/11/mini-cheetah-clone-teardown.html,documentation_verified
R031,Exoskeleton/wearable robot,shaft/bearing seat/motor mount,Motor mount bracket,unknown,unknown,Deflection under motor torque if interface stiffness insufficient,unknown,unknown,unknown,https://bangid.com/knowledge-base/custom-machined-exoskeleton-robot-engineering-precision-for-human-augmentation/,supplier_marketing
R032,Inspection/field robot,pressure housing/sealed enclosure,Machined end caps + tube housing,Prototype (open-source/research ROV builds),unknown,"Seal failure from low-quality O-rings (explicit documented failure in an open-source ROV build, requiring an O-ring sourcing change)",unknown,Single-process (machining) for the housing itself,None,https://arxiv.org/pdf/2512.15597,"documentation_verified (materials, O-ring failure account — academic paper); supplier_marketing (±0.025 mm/Ra 0.8 tolerance figures — vendor page)"
R033,Maker/startup-built custom robot systems,pressure housing/sealed enclosure,Machined main housing,Prototype (research robot),unknown,unknown,unknown,Single-process (machining),None,https://arxiv.org/pdf/2503.20702,documentation_verified
R034,Cobot/industrial arm/machine tending,jig/fixture/EOAT structure,CNC baseplate / tooling plate,unknown (fixtures described as used for both prototype 'nests' and production tooling),unknown,unknown,unknown,Multi-process where hardened steel locating components are added to an aluminum body,"None described (machined fixture, not a molding/casting tool)",https://www.chalcoaluminum.com/knowledge/6061-aluminum-tooling-plate-block-2504-lx/,documentation_verified
R036,Maker/startup-built custom robot systems,prototype multi-part assembly,Frame member; mounting bracket,Prototype through assembly validation and production preparation (explicit vendor claim spanning multiple lifecycle stages),Implied multiple design rounds (vendor states support spans 'early prototype stages through assembly validation and production preparation'),unknown,unknown,Multi-process (implied: machining + assembly support),unknown,https://www.dakingsrapid.com/robotics/,supplier_marketing
R037,Cobot/industrial arm/machine tending,prototype multi-part assembly,Structural frame member; joint housing; actuator housing; end-effector component,"Ongoing production support (implied, not explicitly staged)",unknown,unknown,"Implied repeat/ongoing shop relationship (inference, not stated explicitly)",Multi-process implied (frame + joint + housing + end-effector = different geometries/processes),unknown,https://carrmachine.com/industries/humanized-robotics/,supplier_marketing
R038,Humanoid/general-purpose,prototype multi-part assembly,"Multiple (frame, joint housings, output flanges, actuator housings)","Production platform (shipping robot), used here as an example of what a full multi-part humanoid assembly looks like at the RFQ-family level",Implied by teardown source's own framing (CNC chosen specifically to allow ongoing part modification as the robot develops),unknown,unknown,Multi-process (many separately machined parts assembled into one platform),"None (machining avoids casting-tool investment, per teardown source)",https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,documentation_verified
R043,Humanoid/general-purpose,precision CNC housing,unknown,unknown,unknown,Stress-corrosion cracking in 7075 parts if T6/T651 temper used instead of T73/T7351 in humid/salty/preloaded conditions (per material-supplier guidance),unknown,unknown,unknown,https://aerospacemetalsllc.com/anodizing/,"supplier_marketing (specific numbers); industry_estimate (temper-selection guidance, widely corroborated material-engineering practice)"
R045,Cobot/industrial arm/machine tending,joint/link,unknown,unknown,unknown,"Vibration-induced fastener loosening; bearing walk in an unbonded press-fit (load transferred only by friction, air gap present) without retaining compound",unknown,unknown,unknown,https://next.henkel-adhesives.com/us/en/applications/threadlockers.html,documentation_verified
R046,AMR/warehouse/logistics,pressure housing/sealed enclosure,unknown,unknown,unknown,Leak/seal failure recorded by test equipment (burst testing records the pressure at which a part fails/leaks),unknown,unknown,unknown,https://www.cincinnati-test.com/test-instruments,supplier_marketing
R047,Service robot,prototype multi-part assembly,unknown,"Production (fielded hospitality delivery robot; battery life spec given, not manufacturing RFQ detail)",unknown,unknown,unknown,unknown,unknown,https://www.machining-custom.com/blog/top-10-manufacturers-and-suppliers-of-robot-parts-machining.html,supplier_marketing
R048,Humanoid/general-purpose,prototype multi-part assembly,unknown,Prototype (first batch of 5 prototypes),"First prototype batch (5 units) delivered in 9 days, with weight reduced 15% and joint stability increased in that iteration — a concrete, if unnamed, revision-cycle data point",unknown,unknown,unknown,unknown,https://www.machining-custom.com/blog/top-10-manufacturers-and-suppliers-of-robot-parts-machining.html,supplier_marketing
