Source URL,Loai nguon,Ngay xuat ban (neu co),So dong su dung,Cac ID dong
https://www.dakingsrapid.com/robotics/,Manufacturer/vendor site (China-based custom manufacturer),unknown,1,R001
https://carrmachine.com/industries/humanized-robotics/,Manufacturer/vendor site (US CNC job shop),unknown,1,R002
https://hardwarerapid.com/portfolio-items/5-axis-cnc-machined-robot-swing-arm-link-bracket-7075-aluminum/,Manufacturer/vendor portfolio page,unknown,1,R003
https://arxiv.org/pdf/2504.17249,Academic paper (arXiv preprint),2025 (arXiv:2504.17249),1,R004
https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/,Manufacturer/vendor site (CNC job shop),unknown,1,R005
https://www.dakingsrapid.com/humanoid-robot-joint-cnc-machining-tolerances-specs/,Manufacturer/vendor technical blog,unknown,1,R006
https://www.fictiv.com/articles/robotic-arm-components-manufacturing,Manufacturer/marketplace technical guide (Fictiv),unknown,1,R007
https://www.sango-automation.com/casting/robot-arm-gravity-casting-parts.html,Manufacturer/vendor site (China),unknown,1,R008
https://www.rallyprecision.com/products/custom-aluminum-enclosure/,Manufacturer/vendor site (China),unknown,1,R009
https://shincofab.com/sheet-metal-fabrication-for-robotics/,Manufacturer/vendor site,unknown,1,R010
https://www.sheetmetalchina.com/robot-welding-chassis/,Manufacturer/vendor site (China),unknown,1,R011
https://drametal.com/industries/robotics/,Manufacturer/vendor site,unknown,1,R012
https://www.sheetmetalchina.com/custom-metal-tray/,Manufacturer/vendor site (China),unknown,1,R013
https://www.mcalpin-ind.com/industries/material-handling,Manufacturer/vendor site (US),unknown,1,R014
https://www.emicorp.com/eoat-solutions,Manufacturer/vendor site (US),unknown,1,R015
https://eoatmachining.com/products,"Manufacturer/vendor site (US, dedicated EOAT CNC shop)",unknown,1,R016
https://amdmachines.com/solutions/machine-tending/,"Manufacturer/vendor site (US, machine-tending integrator)",unknown,1,R017
https://www.protolabs.com/resources/blog/create-jigs-and-fixtures-with-cnc-machining-and-3d-printing/,"Manufacturer/vendor blog (Protolabs, US/EU on-demand mfg marketplace)",unknown,1,R018
https://www.jacoworks.com/industries-served/robotic-components,Manufacturer/vendor site (US),unknown,1,R019
https://www.rivcut.com/cnc-machining/robotics/gripper-components/,Manufacturer/vendor site (US CNC shop),unknown,1,R020
https://www.mccartyfabrication.com/agriculture,Manufacturer/vendor site (US),unknown,1,R021
https://www.beskamold.com/products/custom-cnc-machined-brackets/,Manufacturer/vendor site (China),unknown,1,R022
https://arxiv.org/pdf/1810.11920,Academic paper (arXiv),2018 (arXiv:1810.11920),1,R023
https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2023.1330496/full,Academic paper (peer-reviewed journal),2023,1,R024
