page_id,proposed_url,page_type,primary_intent,secondary_queries,RFQ_object,target_buyer,buyer_problem,technical_dimensions_to_cover,required_source_data,CTA_RFQ_fields,related_parent_page,related_child_pages,cannibalization_notes,priority,evidence_urls
CAT01,/robot-parts/,category,Site-wide hub: custom manufacturing for robot/robotics parts,Q040;Q050(avoid-targeting),All object families (parent),Any engineer/buyer researching or ready to source custom robot parts,Needs to find the right specific object/application page quickly; needs to trust the RFQ-routing model before committing,Full taxonomy navigation (objects/applications/capabilities); how the RFQ-to-China-supplier model works; accountability/QC promise,Internal taxonomy (this pilot); no external data required for launch,Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),none (top of hierarchy),all OBJ/APP/PRB pages,"Must not attempt to rank on the broad 'custom manufacturing RFQ China robot parts' phrase itself (Q050 = giant-platform-dominated); its job is navigation + trust, ranking comes from the children",P0,https://www.xometry.com/robotics/ ; https://www.fictiv.com/robotics
OBJ01,/robot-parts/robot-joint-housing/,object,INT-01,Q001;Q003,Robot joint housing,Robot/humanoid OEM mechanical engineer with an in-house joint housing design,"Needs a CNC shop that understands bearing-seat/motor-face/encoder-interface tolerances specific to robot joints, not just generic milling","Materials (Al 6061/7075, Ti-6Al-4V, PEEK); bore concentricity (~0.0002in); 3- vs 5-axis setup tradeoffs; anodizing; sample tolerance table","Prior in-repo research: docs/research/robotics-rfq-anatomy (tolerance-gdt.csv, critical-interfaces.csv), robotics-rfq-family-expansion (precision-cnc-housing.csv)",Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,"OBJ03 (harmonic reducer housing, cross-link)",Do not target bare 'robot joint housing manufacturer' as H1 (INT-EXC-01 - pulls integrated-module-seller intent); target 'custom CNC machining' framing,P0,https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/ ; https://www.ptsmake.com/custom-cnc-machined-humanoid-robot-joint-components/
OBJ02,/robot-parts/robot-actuator-housing/,object,INT-02,Q004;Q006,Robot actuator housing,Humanoid/robot actuator design engineer,"Needs a machined actuator shell (bearing seats, motor face, cable channels, thermal/weight considerations) built to their design","Thermal management (Al thermal conductivity), weight-reduction pockets, sealing faces, 7075-T6 + hard anodize, coaxial bearing seat tolerancing",docs/research/robotics-rfq-family-expansion (precision-cnc-housing.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,OBJ03,High overlap with OBJ01 (joint housing) - disambiguate: actuator housing = motor/gearbox-facing subassembly; joint housing = full assembled joint shell. Cross-link heavily rather than duplicate content.,P0,https://www.rivcut.com/cnc-machining/seattle/robotics/actuator-housings/ ; https://daxincnc.com/resources/humanoid-robot-actuator-housing-machining/
OBJ03,/robot-parts/harmonic-reducer-housing/,object,INT-03,Q007;Q008,Harmonic reducer/drive housing,Robot drivetrain engineer integrating a purchased harmonic-drive component set,Needs a housing machined around a sourced harmonic-drive gearset with exact bore/pilot fits,"H6/H7 bore fits, 0.025mm pilot fits, IP54 sealing grooves, alloy steel/aluminum options",docs/research/robotics-rfq-family-expansion (precision-cnc-housing.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),OBJ01 and OBJ02 (child of both),none,Thin standalone evidence (only 2 dedicated competitor pages found) - launch as a child/sub-section of OBJ01+OBJ02 rather than a fully independent nav-level page; monitor before promoting to top-level,P2,https://www.ptsmake.com/cnc-machined-harmonic-drive-housings-for-humanoid-joints/
OBJ04,/robot-parts/robot-shaft/,object,INT-04,Q009;Q010,Robot shaft (drive/motor/pin/dowel shaft),Robot drivetrain/mechanical engineer,Needs a precision-turned shaft with tight concentricity/runout for a robot joint or drive train,"Swiss turning vs. conventional turning, 17-4PH heat treatment, hard-anodized aluminum for pick-and-place, runout/concentricity specs",docs/research/robotics-rfq-family-expansion (shaft-bearing-motor-mount.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,Low risk - clearly distinct turned/rotational object,P0,https://lebometal.com/cnc-shafts-robotics-automation/ ; https://www.dajinprecision.com/customize-cnc-turning-mechanical-parts/motor-shaft
OBJ05,/robot-parts/robot-bearing-housing/,object,INT-05,Q011;Q012,Bearing housing / bearing seat,Robot mechanical engineer specifying bearing support features,Needs a bearing housing or integrated bearing-seat feature machined with coaxiality/contamination control,"Pillow-block vs. integrated-seat design, coaxiality <=0.003mm, CBN boring finish, sealing/lubrication features",docs/research/robotics-rfq-family-expansion (shaft-bearing-motor-mount.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,"High overlap with OBJ01/OBJ02 since bearing seats are often machined INTO joint/actuator housings, not as separate parts - page should explicitly cover BOTH the standalone-housing case and the integrated-feature case, cross-linking to OBJ01/OBJ02",P1,https://www.zintilon.com/industry/robotics/bearing-housings/ ; https://vmtcnc.com/product-item/industrial-bearing-seat-machining/
OBJ06,/robot-parts/robot-motor-mount/,object,INT-06,Q013,Robot/servo motor mount,Robot mechanical engineer needing a motor-mounting interface machined,"Needs a flat, precisely bolted plate/bracket to keep a servo motor aligned to a gearbox/joint axis","Flatness/bolt-pattern alignment tolerance, material options, vibration considerations",docs/research/robotics-rfq-family-expansion (shaft-bearing-motor-mount.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,Weak standalone SERP differentiation - almost always bundled into generic 'custom robot parts' pages by competitors; and bare 'motor mount manufacturer' is hobby/FRC-retail contaminated (INT-EXC-02). Launch as low-priority/experimental; consider merging into OBJ07 (bracket) if it fails to gain distinct traction.,P2,https://machiningconcepts.com/custom-robot-parts/
OBJ07,/robot-parts/robot-mounting-bracket/,object,INT-07,Q015;Q016,Robot bracket / mounting adapter plate,Robot/cobot integrator needing an interface bracket machined,"Needs a bracket/adapter plate connecting a robot arm, EOAT, sensor, or fixture to a specific bolt/dowel interface","Multi-axis milling for complex geometry, bolt-circle/dowel-pattern accuracy, material/finish options (anodizing, powder coat)",docs/research/robotics-rfq-family-expansion (bracket-mount-adapter.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,Must not target bare 'robot bracket' as H1 (INT-EXC-02 - FRC/hobby-retail contaminated); target 'custom CNC machining' framing. Medium overlap with OBJ06 (motor mount) and APP08 (EOAT hub).,P0,https://www.lsrpf.com/product/cnc-machined-mounting-bracket-for-aerospace-robotics-ls ; https://vmtcnc.com/cnc-brackets/
OBJ08,/robot-parts/gripper-fingers-jaws/,object,INT-08,Q018;Q019,Gripper finger / jaw,Automation/EOAT engineer needing application-specific gripper fingers,Needs custom-contoured gripper fingers/jaws machined for an existing gripper body to hold a specific part,"Wire EDM vs. milling, tolerances to +/-0.0005in, elastomer/tool-steel/aluminum material choice, quick-change interfaces",docs/research/robotics-rfq-family-expansion (gripper-jaw-finger.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,Low risk - clearly distinct object with strong evidence; light overlap with APP08 (EOAT hub) as a child,P0,https://www.gripshape.com/ ; https://www.zintilon.com/industry/robotics/custom-grippers/
OBJ09,/robot-parts/eoat-tooling-plate/,object,INT-09,Q020;Q021,EOAT tooling plate / adapter flange / vacuum manifold body,Systems integrator building end-of-arm tooling,"Needs machined structural/interface parts (tooling plates, flanges, manifold bodies) for a custom EOAT assembly","Tool-changer interface standards, vacuum-manifold porting, datum-controlled locating features, material/weight tradeoffs",docs/research/robotics-rfq-family-expansion (jig-fixture-eoat.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP08,none,Low risk with OBJ08 (gripper fingers - different sub-part); parent-child with APP08 (automation tooling hub),P0,https://eoatmachining.com/products ; https://www.emicorp.com/eoat-components
OBJ10,/robot-parts/robot-base-pedestal/,object,INT-10,Q022;Q023,Robot base / pedestal,Industrial-robot integrator needing a mounting base/pedestal fabricated,Needs a rigid welded-steel or machined-aluminum base/pedestal at a specific height/footprint to mount a robot arm,"Rigidity/vibration considerations, weldment + machining combination, cross-brand mounting-pattern compatibility",docs/research/robotics-rfq-family-expansion (welded-frame-chassis.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,Shares process content with PRB_D (sheet-metal fab/welding) - link out rather than duplicate,P0,https://vention.io/robot-pedestal ; https://parco-inc.com/custom-aluminum-robot-bases-pedestals/
OBJ11,/robot-parts/robot-arm-structural-links/,object,INT-11,Q024;Q025,Robot arm structural link,Robot arm mechanical engineer needing a structural section machined,Needs a structural link/section of a robot arm (new design or replacement) machined to spec,"Bearing-bore/joint-mount tolerances, CMM reporting, lightweighting (pockets, lattice), material options",docs/research/robotics-rfq-family-expansion (joint-structural-link.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),APP04,none,"Weak standalone competitor differentiation (usually bundled generically) - keep lighter/hub-style, cross-linking to OBJ01/OBJ05/OBJ07 for deep technical content. Do NOT replicate RivCut's city-by-city permutation pattern.",P2,https://www.fictiv.com/articles/robotic-arm-components-manufacturing
OBJ12,/robot-parts/robot-enclosure-shell/,object,INT-12,Q026;Q027,Robot outer enclosure/shell,Robot industrial-design/mechanical engineer needing an outer shell fabricated,Needs an outer cosmetic/protective shell or IP-rated sheet-metal enclosure fabricated for a robot body,"Sheet-metal vs. thermoform vs. rotomold process choice, IP rating, PEM fasteners, finish/cosmetic options",docs/research/robotics-rfq-family-expansion (sheet-metal-enclosure.csv),Part name/family; CAD (STEP/IGES) + 2D drawing; material + spec; quantity (proto/low-vol/production); tolerance/GD&T notes; surface finish/coating; target unit cost; need-by date; end application (robot type),CAT01,none,"Target the process-qualified phrasing ('sheet metal robot enclosure fabrication'), not the bare object+manufacturer phrasing where an Alibaba listing ranks directly (Q026)",P1,https://www.approvedsheetmetal.com/industries-we-serve/sheet-metal-for-robotics
