Sub candidate,RFQ family,Query count,Raw listing count,Clean listing count,Unique supplier count,Verified supplier %,Density rating (high/med/low/unknown),Notes
Precision CNC-machined actuator/rotor housing,Precision CNC housing,1,5,5,"~2 (inferred, unconfirmed)",unknown,low,Highest count observed in this pass but absolute N is still small; see SC-01.
Custom-machined bearing housing / motor-mount shaft,Shaft/bearing seat/motor mount,2,3,3,unknown (0 confirmed),unknown,low,See SC-02.
CNC-machined joint housing (OEM/ODM),Joint/structural link,2,3,2,unknown (0 confirmed),unknown,low,3 raw rows collapse to 2 distinct listings (1 listing surfaced twice under Q01/Q06). See SC-03.
Gripper jaw/finger — NO genuine evidence,Gripper jaw/finger,2,0,0,0,0%,none,All 5 hits under Q03/Q08 were finished stock gripper products for resale; 0 genuine custom-jaw-machining listings found. Explicit gap — no sub-candidate formed.
Sensor/camera mount — insufficient evidence,Sensor/camera mount,2,1,1,unknown (0 confirmed),unknown,insufficient/unknown,"Only 1 genuine listing (cross-industry, fluid-control not robotics); 1 resale item (flame-sensor module) excluded. Below the 2-listing bar used elsewhere in this pass — no sub-candidate formed."
Welded frame/chassis — NO genuine evidence,Welded frame/chassis,1,0,0,0,0%,none,"Q12 surfaced only welding-ROBOT equipment for sale (false positives on the word 'robot' — capital equipment, not a chassis-fabrication service). 0 genuine fabrication-capability listings found. Flag: this query wording is ambiguous on Alibaba (robot = welding machine brand) and should be reworded in any future pass, e.g. 'AGV chassis welding fabrication custom' without the bare word 'robot'."
Sheet-metal enclosure — insufficient evidence,Sheet-metal enclosure,1,1,1,unknown (0 confirmed),unknown,insufficient/unknown,"Only 1 genuine listing found (a Raspberry Pi case, not a robot enclosure) — cross-industry evidence only, below the bar for a sub-candidate."
Jig/fixture/EOAT structure — insufficient evidence,Jig/fixture/EOAT structure,1,1,1,unknown (0 confirmed),unknown,insufficient/unknown,"Only 1 borderline listing (EOAT base frame, reads partly as a finished product); 5 other hits were resale EOAT tooling/grippers, excluded. 2 named component-supplier storefronts identified (Dongguan Jiada, Suzhou Crg) but neither ties to a fixture/jaw-machining product listing."
Prototype multi-part assembly — insufficient evidence,Prototype multi-part assembly,1,1,1,unknown (0 confirmed),unknown,insufficient/unknown,Only 1 genuine listing found; below the bar for a sub-candidate.
CNC-machined bracket/mount adapter (watchlist),Bracket/mount/adapter,2,2,2,"~2 (inferred, unconfirmed)",unknown,low (marginal/watchlist),"See SC-04 — one listing is automotive (cross-industry), not robotics."
CNC-machined battery/electronics enclosure (watchlist),Battery/electronics enclosure,1,2,2,unknown (0 confirmed),unknown,low (marginal/watchlist),"See SC-05 — one listing is EV (cross-industry), not robot-specific."
Pressure/sealed housing — insufficient evidence,Pressure/sealed housing,1,1,1,unknown (0 confirmed),unknown,insufficient/unknown,"Only 1 genuine listing dedicated to this family (brass pressure-sensor housing, CNC turning); below the bar for a sub-candidate. The generic 'robot housing model' listing (SC-03's 2nd listing) is loosely cross-relevant but was primarily attributed to Joint/structural link."
