ID,Loại robot,RFQ family,Custom part,General tolerance,Critical tolerance,GD&T,Critical interface,Source URL,Source type,Confidence
R001,Humanoid/general-purpose,precision CNC housing,"Harmonic-drive circular-spline housing (generic joint housing, not tied to a named OEM part)",unknown,Housing bore for 70 mm circular spline: H7 = +0.030/+0.000 mm; mating shaft: h6,"unknown (fit class given, not a GD&T callout)",Circular-spline bore / flexspline-wave-generator bearing interface (harmonic-drive gear seat),https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,Component-supplier technical documentation (Harmonic Drive LLC catalog),documentation_verified
R004,Maker/startup-built custom robot systems,precision CNC housing,Finger frame; proximal phalanx; MCP joint part; joint shafts,unknown,±0.005 mm machining tolerance capability cited for the build,unknown,Joint pin bore (finger articulation pivot),https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,Peer-reviewed journal article (PMC),documentation_verified
R005,AMR/warehouse/logistics,bracket/mount/adapter,LiDAR bracket; stereo camera housing; force/torque sensor adapter; encoder mount,unknown,±0.0005 in on critical features (vendor-stated),unknown,Sensor mounting face (alignment/calibration-critical),https://www.rivcut.com/cnc-machining/houston/robotics/sensor-mounts/,Manufacturer/vendor site (US CNC job shop),supplier_marketing
R009,AMR/warehouse/logistics,welded frame/chassis,Chassis frame (laser-cut panels + weld),Production sheet-metal tolerances typically ±0.05-0.1 mm (laser cut/CNC bent features),Welded-frame squareness: 0.015 in/ft (0.4 mm/300 mm) after stress relief; mounting bolt-hole true position ±0.005 in (±0.127 mm),True position (bolt holes); implied flatness/squareness callout on weldment,Wheel-mount / drive-unit mounting interface (chassis torsional stiffness affects sensor alignment per case study),https://www.thefabricator.com/thefabricator/article/automationrobotics/the-potential-of-flexible-mobile-robots-in-sheet-metal-fabrication,Trade publication (case-study/design content) + vendor generalization (tolerance figures),industry_estimate
R013,AMR/warehouse/logistics,sheet-metal enclosure,Sheet-metal body panel/cover,Often held within 0.1 mm for laser-cut/CNC-bent sheet-metal features (vendor generalization),unknown,unknown,Panel-to-chassis mounting interface,https://www.lsrpf.com/blog/top-6-manufacturers-for-robotics-sheet-metal-fabrication-custom-lightweight-chassis-experts,Manufacturer/vendor site,supplier_marketing
R016,Cobot/industrial arm/machine tending,gripper jaw/finger,Gripper jaw / finger,±0.001 in on general features (vendor-stated),±0.0005 in on critical grip-surface dimensions and pin-pivot bores; wedge contact surfaces to ±0.01 mm; wire-EDM jaw patterns to ±0.001 in,"Parallelism between jaw faces to 0.05 mm over full stroke (below this, grip force reported to drop 30-50%)",Jaw-face-to-workpiece grip contact surface; pin-pivot bore,https://www.rivcut.com/cnc-machining/robotics/gripper-components/,Manufacturer/vendor site,supplier_marketing
R017,Humanoid/general-purpose,gripper jaw/finger,"Finger frame, proximal phalanx, MCP joint part",unknown,±0.005 mm machining tolerance capability cited for the build (same source as R004),unknown,Finger pivot/joint bore,https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,Peer-reviewed journal article (PMC),documentation_verified
R021,AMR/warehouse/logistics,battery/electronics enclosure,Battery pack enclosure with lid,unknown,Cell-to-cell clearance tolerance ±0.1 mm; sealing surfaces/O-ring grooves ±0.001 in general / ±0.0005 in critical (vendor-stated),unknown,O-ring sealing groove on enclosure lid (IP54/IP67 sealing),https://www.rivcut.com/cnc-machining/springfield/automotive/ev-battery-enclosures/,Manufacturer/vendor site,supplier_marketing
R023,Humanoid/general-purpose,joint/link,Joint housing with bearing bore,Standard CNC tolerance ±0.01 mm (vendor baseline),"Critical features (bearing seats, precision holes, shafts) down to ±0.005 mm; high-stress knee/hip joints to ±0.0005 in; bearing-bore press-fit limits +0.000/-0.012 mm",Bearing-bore concentricity 0.0002 in as a cited baseline for high-performance bipedal platforms; perpendicularity held to within 0.0004 in; sealing-surface Ra 0.8,Bearing bore / gearbox interface / motor mount (matches issue's own named critical-interface example),https://www.dakingsrapid.com/en_us/humanoid-robot-joint-cnc-machining-tolerances-specs/,Manufacturer/vendor site (China-based CNC/rapid-manufacturing supplier),supplier_marketing
R026,Cobot/industrial arm/machine tending,joint/link,End-effector mounting flange,"unknown (ISO 9409-1 defines dimensions/designation, not shop-floor tolerances directly)",unknown,"Flange interface geometry standardized: PCD, centering-collar diameter, drilling pattern, outer diameter (e.g. ISO 9409-1-50-4-M6: 50 mm PCD, 4x M6)",Robot-to-end-effector mechanical interface (tool flange) — an ISO-standardized mating interface,https://www.iso.org/standard/36578.html,International standard (ISO),documentation_verified
