source_id,url,source_type,publication_date,notes
S01,https://humanoid.guide/humanoid-deployments-in-2026-favor-figure-and-agility/,industry publication,2026,"Tracker of humanoid deployments, Figure/Agility 2026 status"
S02,https://robobrief.tech/blog/humanoid-robots-2026/,industry publication,2026-07,Humanoid robot deployment tracker 2026
S03,https://www.abc.net.au/news/2026-07-20/artificial-intelligence-testing-models-humanoids-data-centres/106928550,news media (AU public broadcaster),2026-07-20,ABC News on humanoid robot market expansion and Australia AI context
S04,https://www.ascla.org/humanoids-are-coming-to-the-warehouse/,industry association,2026,Australasian Supply Chain & Logistics Association on humanoids in AU warehouses
S05,https://www.gminsights.com/industry-analysis/autonomous-mobile-robots-market,market research report,2025,"AMR market sizing, US/global"
S06,https://locusrobotics.com/blog/warehouse-robots-demystified-its-not-as-hard-as-you-think,supplier-claimed (company blog),2025,Locus Robotics AMR deployment claims
S07,https://www.therobotreport.com/6-river-systems-mobile-robots-must-new-economy/,industry publication,2020-2025,6 River Systems AMR background
S08,https://www.australianmanufacturing.com.au/four-2025-trends-shaping-warehouse-automation-and-intralogistics/,industry publication (AU),2025,AU warehouse automation trends 2025
S09,https://www.smartlogitecx.com.au/top-10-warehouse-automation-technologies-transforming-supply-chains-in-2025/,"industry publication (AU, vendor-adjacent)",2025,AU warehouse automation technology adoption
S10,https://www.marketsandmarkets.com/ResearchInsight/collaborative-robot-market-us.asp,market research report,2025,US cobot market sizing
S11,https://www.grandviewresearch.com/industry-analysis/us-collaborative-robots-market-report,market research report,2025,"US cobot market report, Universal Robots market share"
S12,https://amtil.com.au/industry-5-0-collaborative-robots-australian-manufacturing/,industry association (AU),2025,AMTIL on cobots in Australian manufacturing
S13,https://www.imarcgroup.com/australia-robotics-in-manufacturing-market,market research report,2025,AU robotics-in-manufacturing unit volumes
S14,https://robotsnews.com.au/collaborative-robots-cobots-in-australian-manufacturing-a-practical-guide-for-smes/,industry publication (AU),2026,Cobot ROI/payback figures for AU SMEs
S15,https://carbonrobotics.com/,official supplier site,2025,Carbon Robotics LaserWeeder / AutoTractor product claims
S16,https://www.futurefarming.com/tech-in-focus/autonomous-semi-autosteering-systems/carbon-robotics-launches-autotractor-kit-for-autonomous-john-deere-tractors/,industry publication,2025-03,Carbon Robotics AutoTractor kit for John Deere tractors
S17,https://roboticsandautomationnews.com/2025/09/05/agricultural-robots-precision-farming-and-autonomous-harvesting/94109/,industry publication,2025-09-05,"Ag robot market sizing, robots-and-drones segment"
S18,https://www.commbank.com.au/articles/newsroom/2025/11/swarmfarm-robots-put-ag-on-global-tech-map.html,company/bank publication (AU),2025-11,"SwarmFarm Robotics scale and funding, AU agtech"
S19,https://www.industry.gov.au/news/swarmfarm-robotics-transforming-future-farming,Australian government,2023-2025,Australian Dept of Industry on SwarmFarm
S20,https://tracxn.com/d/companies/swarmfarm-robotics/__VtocScL1Ho1KkC2nYD6fr811xM-gHSwmVe8zTCZJgb8,company database,2026,SwarmFarm / Agerris funding data
S21,https://www.anybotics.com/news/how-to-hire-an-industrial-inspection-robot-part-2/,supplier-claimed (company blog),2025,ANYbotics ANYmal X inspection robot capability claims
S22,https://bostondynamics.com/case-studies/bp/,supplier-claimed (company case study),2024-2025,Boston Dynamics Spot at bp case study
S23,https://roboticsandautomationnews.com/2025/11/17/ifs-and-boston-dynamics-combine-spot-robots-with-agentic-ai-for-autonomous-field-operations/96655/,industry publication,2025-11-17,IFS + Boston Dynamics Spot partnership
S24,https://www.giiresearch.com/report/fbs1933194-inspection-robotics-oil-gas-market-size-share.html,market research report,2025,"Inspection robotics oil & gas market sizing, North America share"
S25,https://www.riotinto.com/about/innovation/automation,company official site,2025-2026,Rio Tinto autonomous haul truck / AutoHaul claims
S26,https://www.mining-technology.com/features/australian-miners-at-the-forefront-of-the-robotics-revolution/,industry publication (AU),2024-2025,Australian mining robotics adoption
S27,https://www.cyngn.com/blog/the-rise-of-autonomous-mining-trucks-and-robots,industry publication,2025,Autonomous mining truck adoption context
S28,https://restauranttechnologynews.com/2026/07/bear-robotics-brings-physical-ai-service-robots-and-autonomous-cleaning-to-restaurants-and-hotels/,industry publication,2026-07,Bear Robotics Servi deployment in US hospitality
S29,https://www.nrn.com/restaurant-technology/bear-robotics-and-softbank-join-forces-to-mass-produce-servi-foodservice-robot,industry publication,2025,Bear Robotics / LG ownership stake
S30,https://www.cbsnews.com/news/robots-hospitals-health-care-moxi/,news media,2025-2026,Diligent Robotics Moxi hospital deployment
S31,https://sparkco.ai/blog/service-robot-hospitality-industry-deployment,industry publication,2025-2026,Service robot hospitality adoption rate NA vs Asia
S32,https://research.qut.edu.au/designlab/projects/helpii-a-social-service-robot-for-australian-aged-care/,university research,2025,QUT HELPII social service robot for AU aged care
S33,https://www.nature.com/articles/s41598-025-86255-w,research paper (Scientific Reports),2025,"Human-robot interaction study, AU aged care facility, 34 staff / 10 robots"
S34,https://www.morrisfuturist.com/robots-aged-care-australia-companionship-physical-ai/,industry/commentary publication (AU),2026,Andromeda 'Abi' and Dex-Lab 'Daisy' AU aged-care robot deployments
S35,https://incleanmag.com.au/ai-and-automation-transforming-aged-care-hygiene/,trade publication (AU),2025-08,SIMPPLE Australia cleaning robot fleet deployment claim
S36,https://www.firstinspires.org/about/impact,nonprofit org (FIRST),2025,FIRST Robotics Competition 2025 participation numbers
S37,https://en.wikipedia.org/wiki/VEX_Robotics,encyclopedia / secondary,2025-2026,VEX Robotics participation numbers
S38,https://news.crunchbase.com/robotics/startup-venture-funding-surges-2026-data/,industry publication / financial data,2026,Robotics startup venture funding 2025-2026
S39,https://ifr.org/ifr-press-releases/news/us-robot-industry-returns-to-double-digit-growth,industry standards body (IFR),2025-2026,IFR World Robotics: US industrial robot installations 2025
S40,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,industry standards body (IFR),2025,"IFR World Robotics 2025: global installation trends, Asia 74% share"
S41,https://harmonicdrive.de/en/company,official supplier site,2025,Harmonic Drive Group Companies structure (Japan/US/Germany/China)
S42,https://www.laifualdrive.com/,official supplier site (CN),2025,Zhejiang Laifual Drive product/market claims
S43,https://reports.valuates.com/market-reports/QYRE-Auto-38H4066/global-harmonic-drive,market research report,2025-2026,Global harmonic drive market player list
S44,https://hengfengtai.en.made-in-china.com/product/ZOYAvceKEEVt/China-Nabtesco-Industrial-Cycloidal-Planetary-Gear-Speed-Transmission-for-Robot.html,supplier-claimed (B2B marketplace listing),2026,Chinese RV-reducer supplier listing
S45,https://www.evsint.com/industrial-robot-reducers-harmonic-cycloidal-rv-comparison-2026/,industry publication,2026,Harmonic vs RV reducer comparison; Zhongda Leader / Zhenkang market share and 35-55% Nabtesco price ratio claim
S46,https://www.patsnap.com/resources/blog/articles/ndfeb-magnet-supply-chain-and-china-export-controls/,industry/IP analytics publication,2025,NdFeB magnet China supply chain dominance %
S47,https://www.csis.org/analysis/chinas-new-rare-earth-and-magnet-restrictions-threaten-us-defense-supply-chains,think tank / policy research,2025,CSIS analysis of China rare earth/magnet export controls
S48,https://discoveryalert.com/china-rare-earth-magnet-exports-decline-2025/,industry/financial commentary,2025,"China NdFeB export control detail, 12 of 17 REEs restricted"
S49,https://discoveryalert.com/china-strategic-control-global-magnet-supply-chains/,industry/financial commentary,2025,Non-China magnet capacity forecast 2027-2028
S50,https://robotics.techbuzzchina.com/reports/actuators-motors.html,industry publication (China-focused tracker),2025-2026,"China humanoid robot actuator/motor supplier landscape, torque-to-weight and cost claims"
