ID,Query,RFQ family,Candidate sub,Product title,Product URL,Supplier name,Supplier URL/id,Supplier country/region,Verified/trust signal,MOQ,Price/price ladder,Sold/reviews,Custom/OEM/ODM signal,Material hints,Process hints,Capability hints,Category/breadcrumb,Source timestamp,Raw source ref,Duplicate group,Confidence,Notes
C001,Q01: robot joint housing; Q06: robot joint housing cnc machining,Joint/structural link,joint housing,Custom Cnc Machining Robotic Arm Parts Precision Aluminum Alloy Oem Odm Industrial Robot Joint Housing Manufacturer,https://www.alibaba.com/product-detail/Supplier-s-High-Quality-Zinc-Aluminium_1601611521485.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (OEM/ODM stated in title),aluminum alloy (title also says zinc-aluminium),CNC machining,"precision CNC-machined joint housing, OEM/ODM stated",unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),DUP-L01,medium-title_only,Genuine custom-mfg capability signal (not resale). Same URL surfaced under both Q01 and Q06. [Deduped from 2 raw rows across queries: Q01: robot joint housing; Q06: robot joint housing cnc machining]
C002,Q06: robot joint housing cnc machining; Q10: robot bearing housing machining; Q18: robot sealed pressure housing cnc machining,Joint/structural link,joint housing,Custom CNC Machining 3D Printed Plastic Robot Housing Model,https://www.alibaba.com/product-detail/Custom-CNC-Machining-Robot-housing-Model_1601381608554.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unclear (title says 'custom' but not explicit OEM/ODM),plastic (3D-printed model + CNC),3D printing + CNC machining,"prototype/model housing service (generic 'robot housing', not a specific object)",unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),DUP-L02,medium-title_only,"Genuine custom-mfg signal but generic/ambiguous object (a 'housing model' service, not clearly a joint housing). Resurfaced across 3 different queries (Q06/Q10/Q18) spanning 3 different RFQ families — a sign that this listing is broad/generic rather than family-specific; primary family assignment (Joint/structural link) is a judgment call, flagged as cross-family ambiguous. [Deduped from 3 raw rows across queries: Q06: robot joint housing cnc machining; Q10: robot bearing housing machining; Q18: robot sealed pressure housing cnc machining]"
C003,Q07: robot actuator housing aluminum cnc,Precision CNC housing,actuator housing,Aluminum hydraulic actuator housing CNC machining,https://www.alibaba.com/product-detail/Aluminum-hydraulic-actuator-housing-CNC-machining_1601486267281.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unclear,aluminum,CNC machining,precision CNC-machined actuator/rotor housing,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),"DUP-L03-L06 (near-sequential Alibaba product IDs 1601486xxx for first four — likely same seller's catalog batch, not 4 independent suppliers; see supplier-dedup.csv)",medium-title_only,"Genuine custom-mfg capability signal (not resale). Product-ID clustering (1601486xxx) across 4 of these listings is circumstantial evidence they share one seller — flagged, not confirmed (no page fetch possible)."
C004,Q07: robot actuator housing aluminum cnc,Precision CNC housing,actuator housing,CNC aluminum actuator housing aerospace part custom,https://www.alibaba.com/product-detail/CNC-aluminum-actuator-housing-aerospace-part_1601486198631.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),aluminum,CNC machining,precision CNC-machined actuator/rotor housing,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),"DUP-L03-L06 (near-sequential Alibaba product IDs 1601486xxx for first four — likely same seller's catalog batch, not 4 independent suppliers; see supplier-dedup.csv)",medium-title_only,"Genuine custom-mfg capability signal (not resale). Product-ID clustering (1601486xxx) across 4 of these listings is circumstantial evidence they share one seller — flagged, not confirmed (no page fetch possible)."
C005,Q07: robot actuator housing aluminum cnc,Precision CNC housing,actuator housing,Custom aluminum hydraulic actuator housing CNC (variant A),https://www.alibaba.com/product-detail/Custom-aluminum-hydraulic-actuator-housing-CNC_1601486292088.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),aluminum,CNC machining,precision CNC-machined actuator/rotor housing,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),"DUP-L03-L06 (near-sequential Alibaba product IDs 1601486xxx for first four — likely same seller's catalog batch, not 4 independent suppliers; see supplier-dedup.csv)",medium-title_only,"Genuine custom-mfg capability signal (not resale). Product-ID clustering (1601486xxx) across 4 of these listings is circumstantial evidence they share one seller — flagged, not confirmed (no page fetch possible)."
C006,Q07: robot actuator housing aluminum cnc,Precision CNC housing,actuator housing,Custom aluminum hydraulic actuator housing CNC milled (variant B),https://www.alibaba.com/product-detail/Custom-aluminum-hydraulic-actuator-housing-CNC_1601486258352.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),aluminum,CNC milling,precision CNC-machined actuator/rotor housing,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),"DUP-L03-L06 (near-sequential Alibaba product IDs 1601486xxx for first four — likely same seller's catalog batch, not 4 independent suppliers; see supplier-dedup.csv)",medium-title_only,"Genuine custom-mfg capability signal (not resale). Product-ID clustering (1601486xxx) across 4 of these listings is circumstantial evidence they share one seller — flagged, not confirmed (no page fetch possible)."
C007,Q07: robot actuator housing aluminum cnc,Precision CNC housing,actuator housing,5 Axis CNC Mill Solid Aluminum Billet Actuator Rotor Housing,https://www.alibaba.com/product-detail/5-axis-CNC-mill-solid-aluminum_1601284746461.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unclear,aluminum billet,5-axis CNC milling,precision CNC-machined actuator/rotor housing,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"Genuine custom-mfg capability signal (not resale). Product-ID clustering (1601486xxx) across 4 of these listings is circumstantial evidence they share one seller — flagged, not confirmed (no page fetch possible)."
C008,Q07: robot actuator housing aluminum cnc,Bracket/mount/adapter,bracket/mount adapter,Aluminum Robotic Mount CNC Machined Aluminum T Bracket,https://www.alibaba.com/product-detail/Aluminum-Robotic-Mount-CNC-Machined-Aluminum_1601441317438.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unclear,aluminum,CNC machining,CNC-machined robotic mounting bracket,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,"Surfaced under the actuator-housing query (Q07) but the object itself is a mount/bracket, not an actuator housing — reassigned to Bracket/mount/adapter family for clean/density rollups."
C009,Q10: robot bearing housing machining,Shaft/bearing seat/motor mount,bearing housing,Custom Steel Bearing Housing Machining With Bolt Assembly,https://www.alibaba.com/product-detail/Custom-Steel-Bearing-Housing-Machining-With_1601492318329.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),steel,CNC machining,custom steel bearing housing w/ bolt assembly,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,Genuine custom-mfg capability signal (not resale).
C010,Q10: robot bearing housing machining,Shaft/bearing seat/motor mount,bearing housing,Precision Bearing Housing Custom Machined Metal Shell,https://www.alibaba.com/product-detail/Precision-Bearing-Housing-Custom-Machined-Metal_1601503888515.html,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes (title says 'custom'),metal (unspecified alloy),CNC machining,precision custom-machined bearing housing shell,unknown,2026-09-20,WebSearch (Claude) result — title/URL from search index; alibaba.com page itself NOT fetched (WebFetch returned EGRESS_BLOCKED for www.alibaba.com),none,medium-title_only,Genuine custom-mfg capability signal (not resale).
