pr21_page_id,pr21_current_path,pr21_build_status,page_type,primary_entity,secondary_entities,proposed_canonical_path,decision,required_migration_note
CAT01,/robot-parts/,validated (architectural hub),hub,none,"nav index pages: /parts/, /applications/, /capabilities/, /materials/, /engineering/, /quality/",/ (homepage) + /how-it-works/rfq-to-supplier-model/,keep (decomposed),"No 1:1 canonical path carries forward. CAT01's two jobs (site-wide nav, and explaining the RFQ->China-supplier trust model) split into: the homepage (nav to all namespaces) and a new /how-it-works/ page authored fresh for the trust-model content PR21 described. Its research/evidence (Q040/Q050 giant-platform-dominance findings) is preserved as Evidence documents cited on the new page, not lost. Do not create /robot-parts/ at all — see url-namespace-policy.md."
OBJ01,/robot-parts/robot-joint-housing/,validated,part,Part:robot-joint-housing,"ProcessCapability:5-axis-machining; Material:7075-t6-aluminum; EngineeringProblem:bearing-bore-concentricity; Application:humanoid-robots; Application:industrial-robot-parts",/parts/robot-joint-housing/,keep,"Direct 1:1 rename under /parts/. Full worked example in worked-examples.md #1. The two unsourced tolerance numbers PR21 already neutralized to 'drawing-specific / source required before publication' carry forward as-is (no re-fabrication of a figure) into the bearing-bore-concentricity EngineeringProblem's Evidence."
OBJ02,/robot-parts/robot-actuator-housing/,validated,part,Part:robot-actuator-housing,"ProcessCapability:5-axis-machining; Material:7075-t6-aluminum; Application:humanoid-robots; Application:industrial-robot-parts",/parts/robot-actuator-housing/,keep,"Direct 1:1 rename under /parts/. High content overlap with OBJ01 (per PR21's own cannibalization note) is now structural, not a copy-editing discipline: both Parts reference the same EngineeringProblem/Material/ProcessCapability entities and the same ContentBlocks rather than each carrying separate prose."
OBJ03,/robot-parts/harmonic-reducer-housing/,validate_first (thin standalone evidence),part,Part:harmonic-reducer-housing,"part_of Part:robot-joint-housing (related_parts); part_of Part:robot-actuator-housing (related_parts)",/parts/harmonic-reducer-housing/ (reserved; not registered),merge,"Entity is created in the graph now (real physical object, real relations) but gets NO PageRegistry record yet -- exactly the acceptance-test-6 case (entity in the graph, prevented from becoming an indexable page). Its content surfaces today only via cross-links/sections on OBJ01 and OBJ02's pages. Promote to its own PageRegistry record only if future evidence justifies a standalone page, per PR21's own recommendation."
OBJ04,/robot-parts/robot-shaft/,"validated (1 phrasing exception, does not threaten validity)",part,Part:robot-shaft,"ProcessCapability:swiss-turning; Material:17-4ph-stainless",/parts/robot-shaft/,keep,"Direct 1:1 rename. PR21's phrasing-contamination finding (bare 'custom robot drive shaft fabrication service' pulls automotive driveshaft noise) is preserved as a query-hygiene note on this Part's SearchIntentCluster, not lost."
OBJ05,/robot-parts/robot-bearing-housing/,validated,part,Part:robot-bearing-housing,"related_parts: Part:robot-joint-housing; related_parts: Part:robot-actuator-housing; EngineeringProblem:bearing-bore-concentricity",/parts/robot-bearing-housing/,keep,"Direct 1:1 rename. PR21's note that bearing seats are 'often machined into joint/actuator housings, not as separate parts' is now the EngineeringProblem:bearing-bore-concentricity shared reference across all three Parts, not a duplicated paragraph on each page."
OBJ06,/robot-parts/robot-motor-mount/,validate_first (thin/rarely-standalone),part,Part:robot-motor-mount,related_parts: Part:robot-mounting-bracket,/parts/robot-motor-mount/ (reserved; not registered),defer,"Entity kept in the graph (real object, real relations to OBJ07). PageRegistry record not yet approved -- PR21 itself flags this for a future merge-into-OBJ07 decision if it doesn't gain distinct traction. Revisit after a follow-up validation pass, per page-registry.md 3.4."
OBJ07,/robot-parts/robot-mounting-bracket/,validated,part,Part:robot-mounting-bracket,"Application:eoat-automation-tooling; related_parts: Part:robot-motor-mount",/parts/robot-mounting-bracket/,keep,"Direct 1:1 rename. PR21's contamination finding (bare 'robot bracket' pulls FRC/hobby retail) preserved as a query-hygiene note on this Part's SearchIntentCluster."
OBJ08,/robot-parts/gripper-fingers-jaws/,"validated (strongest evidence in the pass)",part,Part:gripper-fingers-jaws,Application:eoat-automation-tooling,/parts/gripper-fingers-jaws/,keep,"Direct 1:1 rename. One of PR21's cleanest cases; no disambiguation notes needed beyond the standard 'custom CNC machining' qualifier already captured in this Part's SearchIntentCluster."
OBJ09,/robot-parts/eoat-tooling-plate/,validated,part,Part:eoat-tooling-plate,Application:eoat-automation-tooling,/parts/eoat-tooling-plate/,keep,"Direct 1:1 rename. Mature specialist-B2B niche per PR21 evidence, carried forward unchanged."
OBJ10,/robot-parts/robot-base-pedestal/,"validated (1 phrasing exception, does not threaten validity)",part,Part:robot-base-pedestal,"ProcessCapability:sheet-metal-fabrication-welding; Application:amr-mobile-robot-parts",/parts/robot-base-pedestal/,keep,"Direct 1:1 rename. PR21's new 'welding-robot-seller' contamination pattern (bare 'robot' + 'welding') preserved as a query-hygiene note; also documented in this repo's PRB_D-equivalent capability page's notes since it shares the vocabulary risk."
OBJ11,/robot-parts/robot-arm-structural-links/,validate_first (weak standalone differentiation),part,Part:robot-arm-structural-links,"Application:industrial-robot-parts; related_parts: Part:robot-joint-housing; related_parts: Part:robot-bearing-housing; related_parts: Part:robot-mounting-bracket",/parts/robot-arm-structural-links/ (reserved; not registered),defer,"Entity kept in the graph with its real relations. PageRegistry record withheld pending validation, per PR21's own 'lighter hub-style page... do NOT replicate RivCut's city-by-city permutation pattern' guidance -- that competitor anti-pattern is documented as a cautionary note, not built."
OBJ12,/robot-parts/robot-enclosure-shell/,validated,part,Part:robot-enclosure-shell,ProcessCapability:sheet-metal-fabrication-welding,/parts/robot-enclosure-shell/,keep,"Direct 1:1 rename. PR21's finding that the bare object+manufacturer phrase surfaces a direct Alibaba listing is preserved as a query-hygiene note (target the process-qualified phrasing instead)."
