ID,Ngày thu thập,Quốc gia,Loại robot,Dạng sản phẩm robot / use case,Buyer/User type,Custom assembly,Custom part,Material,Manufacturing process,Technical requirement / tolerance / finish,Lifecycle stage,Revision intensity signal,Repeat / replacement signal,Single-process / multi-process,China manufacturing-fit signal,US/AU sourcing-friction signal,Raw claim / fact,Source URL,Source type,Publication date,Confidence,Fact / inference / hypothesis,Unknown / gap,Notes
R001,2026-09-19,US,Humanoid/general-purpose,"Humanoid robot structural frame/chassis (general, multi-OEM support)",Robot OEM (humanoid startup/manufacturer),Chassis/frame assembly; mounting bracket set,Frame member; mounting bracket,"unknown (aluminum implied, not stated)",CNC machining (multi-axis),unknown,Prototype through production (explicitly spans early prototype to assembly validation and production prep),Vendor states support 'from early prototype stages through assembly validation and production preparation' implying multiple design rounds,unknown,Multi-process (implied: machining + assembly support),"unknown (vendor is China-based rapid manufacturing supplier, not stated explicitly as China facility in snippet)",unknown,"DakingsRapid has supported customers developing next-generation humanoid robots since 2021, providing manufacturing support from early prototype stages through assembly validation and production preparation, including chassis frames and mounting brackets.",https://www.dakingsrapid.com/robotics/,Manufacturer/vendor site (China-based custom manufacturer),unknown,low,fact (vendor claim),"No named customer, no volume, no material specified",Vendor claim - mark accordingly per issue instruction
R002,2026-09-19,US,Humanoid/general-purpose,Humanoid + cobot manufacturer supply (multi-customer CNC shop),Humanoid/cobot robot OEM,Structural frame; joint assembly; actuator housing; end-effector assembly,Structural frame member; joint housing; actuator housing; end-effector component,unknown,CNC machining (precision machine shop),unknown (shop is precision-focused; specific tolerance not given in snippet),"unknown (implies ongoing production support, not stated prototype vs production)",unknown,"Implied repeat (ongoing shop relationship, not one-off) - inference",Multi-process implied (frame + joint + housing + end-effector = different geometries/processes),n/a (US-based shop),unknown,"CARR Machine & Tool, a precision CNC machine shop in Elk Grove Village, Illinois, machines structural frames, joint assemblies, actuator housings, and end-effector components for humanoid and collaborative robot manufacturers.",https://carrmachine.com/industries/humanized-robotics/,Manufacturer/vendor site (US CNC job shop),unknown,low,fact (vendor claim),"No named OEM customer, no volumes, no material/tolerance detail",Evidence that US-based job shops market directly to humanoid/cobot OEMs as a target industry
R003,2026-09-19,US,Humanoid/general-purpose,Humanoid robot arm/link assembly,Humanoid robot OEM/integrator,Arm/link assembly (swing arm),Swing arm link bracket,7075-T6 aluminum alloy,5-axis CNC machining,"unknown numeric tolerance given, but implied precision (5-axis complex geometry)",unknown,unknown,unknown,Single-process (machining) for this specific part,"unknown (Hardware Rapid appears to be a China-based CNC vendor per naming convention, not explicitly stated)",unknown,"Hardware Rapid specializes in custom 5-axis CNC machined swing arm link brackets for humanoid robots, machined from 7075-T6 aluminum alloy, selected for high tensile strength, good machinability, low density.",https://hardwarerapid.com/portfolio-items/5-axis-cnc-machined-robot-swing-arm-link-bracket-7075-aluminum/,Manufacturer/vendor portfolio page,unknown,medium,"fact (vendor claim, material grade is a concrete/specific detail)",No named end customer,7075-T6 chosen over 6061 explicitly for strength-to-weight in this application per vendor
R004,2026-09-19,US,Humanoid/general-purpose,Open-source low-cost humanoid research robot (Berkeley Humanoid Lite),"Academic/research lab, hobbyist builder",Torso frame (extrusion cage),3D-printed bracket connecting extrusions to actuators,Aluminum extrusion (frame) + 3D-printed plastic brackets,3D printing + off-the-shelf extrusion assembly,unknown,"Prototype / research build, explicitly designed for low-cost accessibility and customization","High - open-source project designed to be 'customizable', implying frequent redesign by different builders","One-off/DIY per builder, but design itself is reused/forked (open-source)",Multi-process (extrusion + 3D printing + assembly),unknown,unknown,"Berkeley Humanoid Lite uses aluminum extrusions arranged to form a cage for the torso frame, with actuators fitting between the extrusions and locking into place through 3D-printed brackets, designed to be low-cost, accessible, and customizable.",https://arxiv.org/pdf/2504.17249,Academic paper (arXiv preprint),2025 (arXiv:2504.17249),high,fact,Not a commercial RFQ - research-stage evidence only,Shows a real 'maker/startup-built custom robot' adjacent lifecycle pattern: 3D print for rapid iteration before committing to machined parts
R005,2026-09-19,US,Humanoid/general-purpose,Humanoid robot joint (actuator) module,Humanoid robot OEM,Joint housing assembly,Joint housing (bearing bore),"unknown (aluminum typical per general CNC robotics context, not stated for this exact source)","CNC machining, precision boring/grinding for bearing bore",Bearing bore tolerance H6/H7; surface finish Ra 0.4-0.8 micrometers; GD&T-controlled stack-up under 0.05mm across the joint assembly,unknown,unknown,unknown,Multi-process (machining + grinding for finish),unknown,unknown,"Robot joint housing components require bearing bore tolerances of H6/H7, surface finish Ra 0.4-0.8 micrometers, and GD&T-controlled stack-up under 0.05mm, per precision CNC machining suppliers targeting robot joint housings.",https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/,Manufacturer/vendor site (CNC job shop),unknown,medium,"fact (vendor-stated spec, plausible/consistent with mechanical engineering norms)",No named customer/product,"Cross-check with ptsmake.com humanoid joint components page, consistent tolerance class cited"
R006,2026-09-19,US,Humanoid/general-purpose,Humanoid robot joint module - bearing seat + anodized housing,Humanoid robot OEM,Joint housing assembly,Joint housing with bearing seat,Aluminum (implied by anodizing process),CNC machining + Type III hard anodize (25 micrometer) + selective masking of bearing surfaces,"Bearing seat surface finish Ra 0.4 (ground after milling); external faces Ra 1.6; Type III hard anodize 25 micrometers; 100% CMM inspection on bearing seat geometry; masking required because anodize thickness cannot be controlled tighter than ~0.0127mm (half a mil), which would violate press/clearance fits on bearing races",unknown,Implied - anodize-vs-tolerance conflict is a known design iteration point (post-plate reaming or 0.05mm allowance needed),unknown,Multi-process (machining + anodizing + masking + CMM inspection),unknown,unknown,"Humanoid robot joint components need bearing seat surface finish Ra 0.4 (ground after milling), external faces Ra 1.6 plus Type III hard anodize of 25 micrometers, with 100% CMM inspection of bearing seat geometry; anodize thickness control is difficult (~0.0127mm/half-mil) which is tighter than required bearing press/clearance fits, requiring masking or post-plate reaming.",https://www.dakingsrapid.com/humanoid-robot-joint-cnc-machining-tolerances-specs/,Manufacturer/vendor technical blog,unknown,medium,"fact (technical/process claim, internally consistent with known anodizing physics)",No named OEM,Good example of a technical-requirement row directly explaining an RFQ complexity driver (anodize+bearing fit conflict)
R007,2026-09-19,"Global (China supplier, sells to US/AU-style export customers)",Humanoid/general-purpose,Humanoid/6-axis robot arm structural link,Robot arm/humanoid OEM,Arm/link assembly,Structural link housing,Aluminum (die-cast) / Magnesium (for lower-inertia joint housings),"Die casting (aluminum) or investment casting, with CNC finish machining; magnesium used to minimize inertia in articulated arm joint housings",Flange bore position tolerance +/-0.03 to 0.05mm; bolt hole pattern tolerance +/-0.05 to 0.08mm; mating face flatness 0.01-0.03mm,Production (die casting requires volume to be economical),unknown,Production/repeat (implied by casting tooling investment),"Multi-process (casting + CNC finish machining, explicitly noted as combined workflow)",Sango Automation (China) is cited as an established robot-arm gravity-casting supplier with 10+ years in robotics casting; die casting/investment casting + finish machining is a demonstrated China capability cluster for this part type,unknown,"Structural links in 6-axis industrial/humanoid robot arms are typically aluminum die castings (or magnesium for lower inertia), finished with CNC machining; flange bore position tolerance +/-0.03-0.05mm, bolt hole pattern +/-0.05-0.08mm, mating face flatness 0.01-0.03mm. Die casting becomes economical above ~3,000-5,000 units; below that, machined billet or investment casting wins.",https://www.fictiv.com/articles/robotic-arm-components-manufacturing,Manufacturer/marketplace technical guide (Fictiv),unknown,medium,"fact (process-selection guidance from a manufacturing marketplace, consistent with general die-casting economics)",No specific customer/product named,Direct volume-threshold evidence: this is a lifecycle-stage signal (prototype/low-volume -> machined billet; production -> die cast) relevant to RFQ shape
R008,2026-09-19,Global (China casting supplier),Humanoid/general-purpose,Robot arm gravity/die casting components,Robot OEM (industrial arm / humanoid),Arm/link assembly,Cast structural housing,Aluminum alloy (gravity casting),Gravity die casting + machining,unknown,Production,unknown,Production/repeat,Multi-process (casting + machining),Sango Automation (China) markets itself as a specialist robot-arm gravity-casting parts manufacturer/supplier with over 10 years in casting including robotic arm components - direct evidence of a China supplier cluster specializing in this exact part category,unknown,"Sango Automation is one of China's manufacturers of robot arm gravity casting parts, with over 10 years engaged in casting including robotic arm components.",https://www.sango-automation.com/casting/robot-arm-gravity-casting-parts.html,Manufacturer/vendor site (China),unknown,low,fact (vendor self-description),"No named customers, no export/QC certification stated",
R009,2026-09-19,US,Humanoid/general-purpose,Humanoid/mobile robot battery/electronics enclosure,Robot OEM,Battery enclosure / protective electronics enclosure,Enclosure body machined from billet,Billet 6061/7075 aluminum,CNC machining from solid billet (no porosity),"unknown numeric tolerance, but vendor emphasizes eliminating porosity for strength",unknown,unknown,unknown,Single-process (billet machining) though finishing (anodize) likely follow-on,Rally Precision markets itself as a China CNC manufacturer of custom aluminum enclosures,unknown,"Rally Precision provides custom aluminum enclosures machined from solid billet (6061/7075), eliminating porosity for strong, lightweight electronic chassis/enclosures.",https://www.rallyprecision.com/products/custom-aluminum-enclosure/,Manufacturer/vendor site (China),unknown,low,fact (vendor claim),"Not robot-specific in the source (general electronics enclosure), applied here by inference",Battery/electronics enclosure is explicitly named in the issue's assembly examples
R010,2026-09-19,Global (China fabricator),AMR/warehouse/logistics,AMR/AGV chassis and structural frame,AMR/AGV robot OEM,Chassis/frame assembly (welded),Frame member; structural panel,Heavy-gauge structural steel and stainless steel (304/316L),"Laser cutting + CNC press-brake bending + TIG/MIG welding (deeply penetrated, stress-relieved welds) + powder coat/anodize finish",unknown numeric tolerance in this source,"Production (structural, stress-relieved welding implies durability/production requirement)",unknown,Production/repeat (OEM chassis line),Multi-process (laser cut + bend + weld + finish),ShincoFab (China-based per naming/market context) markets lightweight AGV/AMR sheet-metal chassis fabrication using structural steel/stainless with stress-relieved welds - a direct China-supplier example of multi-process AMR chassis capability,unknown,"ShincoFab specializes in lightweight robotics sheet-metal chassis fabrication for AGVs/AMRs using heavy-gauge structural steel and stainless (304/316L) with deeply penetrated, stress-relieved TIG/MIG welds.",https://shincofab.com/sheet-metal-fabrication-for-robotics/,Manufacturer/vendor site,unknown,low,fact (vendor claim),No named customer/volume,
