ID,Loại robot,RFQ family,Custom part,Inspection method,Inspection equipment,FAI requirement,Material cert/traceability,Source URL,Confidence
R001,Humanoid/general-purpose,precision CNC housing,"Harmonic-drive circular-spline housing (generic joint housing, not tied to a named OEM part)","unknown (implied bore gauge/CMM for H7 fit, not stated)",unknown,unknown,unknown,https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,documentation_verified
R005,AMR/warehouse/logistics,bracket/mount/adapter,LiDAR bracket; stereo camera housing; force/torque sensor adapter; encoder mount,CMM (vendor states CMM inspection on every order),CMM,unknown,unknown,https://www.rivcut.com/cnc-machining/houston/robotics/sensor-mounts/,supplier_marketing
R009,AMR/warehouse/logistics,welded frame/chassis,Chassis frame (laser-cut panels + weld),"unknown (implied dimensional/CMM check post-weld, not stated)",unknown,unknown,unknown,https://www.thefabricator.com/thefabricator/article/automationrobotics/the-potential-of-flexible-mobile-robots-in-sheet-metal-fabrication,industry_estimate
R016,Cobot/industrial arm/machine tending,gripper jaw/finger,Gripper jaw / finger,"unknown (tolerance figures imply CMM/gauge inspection, not explicitly stated)",unknown,unknown,unknown,https://www.rivcut.com/cnc-machining/robotics/gripper-components/,supplier_marketing
R023,Humanoid/general-purpose,joint/link,Joint housing with bearing bore,"unknown (implied CMM given the sub-micron tolerances claimed, not explicitly stated)",unknown,unknown,unknown,https://www.dakingsrapid.com/en_us/humanoid-robot-joint-cnc-machining-tolerances-specs/,supplier_marketing
R032,Inspection/field robot,pressure housing/sealed enclosure,Machined end caps + tube housing,"unknown (implied leak/pressure test, not explicitly detailed)",unknown,unknown,unknown,https://arxiv.org/pdf/2512.15597,"documentation_verified (materials, O-ring failure account — academic paper); supplier_marketing (±0.025 mm/Ra 0.8 tolerance figures — vendor page)"
R034,Cobot/industrial arm/machine tending,jig/fixture/EOAT structure,CNC baseplate / tooling plate,"unknown (implied flatness gauge/CMM, not stated)",unknown,unknown,unknown,https://www.chalcoaluminum.com/knowledge/6061-aluminum-tooling-plate-block-2504-lx/,documentation_verified
R041,Humanoid/general-purpose,precision CNC housing,"unknown (generic FAI requirement, not tied to a single part)",First Article Inspection (FAI),unknown,AS9102 standard governs FAI as a mandatory quality-verification process in aerospace-grade manufacturing; verifies a new/modified production process produces conforming parts matching the engineering drawing,unknown,https://en.wikipedia.org/wiki/First_article_inspection,documentation_verified
R044,Humanoid/general-purpose,precision CNC housing,unknown,unknown,unknown,unknown,"AS9100D Level 3 = traceability to the specific raw-material lot including mill certificate/Material Test Report (most commercial aerospace programs); Level 4 = full serialized part-level traceability (military/space/flight-critical programs); mill test reports include heat numbers, chemical analysis, mechanical properties",https://precisionam.com/articles/uncategorized/cnc-machining-material-traceability/,"supplier_marketing (vendor page); the underlying AS9100D standard itself is a real, independently-verifiable industry standard"
R046,AMR/warehouse/logistics,pressure housing/sealed enclosure,unknown,Leak test (mass-flow / pressure-decay / burst method); functional test,"Leak-test benches for mass flow, pressure decay and function tests, with test pressures cited from vacuum to 500 bar gauge depending on the equipment line",unknown,unknown,https://www.cincinnati-test.com/test-instruments,supplier_marketing
