fact_id,country,robot_category,buyer_user,use_case,raw_claim_fact,confidence,fact_hypothesis_inference,missing_unknown,source_url
R025,US,Maker / hobby / education robot,K-12 and university students,"Robotics competitions (FIRST, VEX)","93,000+ students in 35 countries competed in the 2025 FIRST Robotics Competition season (2024 season: 3,468 teams, 28 countries, 86,700+ students, 27,700 mentors). VEX has 20,000+ total registered teams across 50+ countries; 11,500+ teams from 40 countries played in 750+ tournaments in the past year.",high,fact,none,https://www.firstinspires.org/about/impact
R026,AU,Maker / hobby / education robot,K-12 / university students,"Robotics competitions, hobby builds","No Australia-specific maker/hobby robotics participation statistics (e.g. AU FIRST/VEX team counts, AU maker-space robot-build volume) were located in this research pass.",low,inference,AU maker/hobby robotics scale: unknown,https://en.wikipedia.org/wiki/VEX_Robotics
R027,US,Startup-built custom robot systems,Venture-backed robotics startups (2-200+ person),"Humanoid, AMR, ag-robot, inspection-robot product development",Humanoid-robotics startups raised US$8.6B in 2026 year-to-date (1.8x all of 2025); Figure AI raised ~US$2.34B (valued $39B); Apptronik raised $520M extension of a $415M Series A (total >$935M). North America captured $3.76B / 82.2% of all disclosed robotics-startup capital; Infrastructure Service Robots led with $2.23B across 15 deals (48.7% of capital); seed rounds were only 3 deals / 0.74% of capital.,medium,fact,none,https://news.crunchbase.com/robotics/startup-venture-funding-surges-2026-data/
R028,AU,Startup-built custom robot systems,AU robotics startups (general),N/A,"No AU-specific robotics-startup funding aggregate (comparable to the US $8.6B 2026 YTD figure) was located in this research pass; AU-specific examples found were limited to individual companies (SwarmFarm, Agerris, Andromeda) rather than an aggregate market figure.",low,inference,AU startup robotics aggregate funding: unknown,https://news.crunchbase.com/robotics/startup-venture-funding-surges-2026-data/
R035,CN,Humanoid / quadruped,Startup/maker integrator (also sold direct to hobbyists),Integrated joint/actuator module for build-your-own robot,"Integrated actuator ecosystem in China now includes multiple competing suppliers (Tihu, PhyArc, RobStride, Schaeffler China) offering off-the-shelf modules rather than requiring buyers to source motor+reducer+encoder+driver separately.",medium,fact,none,https://www.robohub.app/parts/robstride-04
R036,CN,Multiple,"OEM/integrator, maker/hobbyist",Position/velocity feedback for motor control,unknown,low,supplier-claimed,none,https://www.hopoencoder.com/top-china-encoder-manufacturer/
R045,CN,Multiple,"OEM/integrator, humanoid/EV motor makers","Permanent-magnet motors (actuators, drivetrains)","China controls ~90% of global rare-earth processing and ~85-92% of global NdFeB magnet manufacturing capacity (two sources give slightly different % ranges); non-Chinese NdFeB capacity projected to reach only ~8,000-12,000 tonnes/year by 2027-2028 (~10-12% of current global demand).",high,fact,none,https://www.patsnap.com/resources/blog/articles/ndfeb-magnet-supply-chain-and-china-export-controls/
R047,US,Multiple,Defense-adjacent robotics/motor makers,Domestic rare-earth magnet manufacturing,US Department of Defense awarded US$94.1M to E-VAC Magnetics to establish commercial-scale rare-earth permanent-magnet manufacturing in the United States.,medium,fact,none,https://blogs.usfcr.com/defense-industrial-base-reshoring-opportunities
R049,Global,Multiple,"OEM/integrator, hobbyist","3D-printed structural parts, low-load brackets","For hobbyist-grade 3D-printed robot arms, PLA and PETG are described as 'affordable, easy to print with, and strong enough for structural components of most hobbyist-grade arms'.",medium,fact,"Production-grade engineering-plastic (e.g. glass-filled nylon, PEEK) usage in robot BOMs not separately sourced this pass",https://circuitdigest.com/articles/top-10-opensource-robotic-arms-for-beginners
R052,Global,Multiple,"OEM/integrator, hobbyist/maker",Prototype/low-volume structural and precision parts,"For aluminum brackets, China CNC machining typically costs US$15-55/part vs US$60-150/part in the US; China prototype (1-50pcs) lead time ~3-7 working days, low-volume (50-200pcs) ~7-10 days plus 3-5 days air freight; US suppliers typically deliver in 5-14 business days. Cumulative China savings at scale often 30-50%, but 'at low quantities, US quoting efficiency and shorter setup overhead often match or beat the offshore unit price plus freight and compliance burden.'",medium,supplier-claimed,none,https://www.fastpreci.com/blog/sourcing-china-cnc-machining-parts/
R054,Global,Multiple,"OEM/integrator, hobbyist",PCB fabrication and SMT assembly for controller/driver boards,"China PCB fabrication for basic prototype orders runs ~US$10-50; for a 20-board run (5x3in, 30 BOM items, 60 SMT + 25 THT parts) per-board cost cited as ~$10 fab + $35 assembly; China PCB assembly offers a claimed 30-50% lower base cost, and even with 25-35% Section-301 tariffs (2025) still saves 15-25% for orders over 100 units.",medium,supplier-claimed,none,https://www.7pcb.com/blog/prototype-printed-circuit-board-pcb-assembly-prices-china
R056,CN,Multiple,"OEM/integrator, hobbyist/maker","Injection-molded plastic parts, sheet-metal enclosures, die-cast structural parts","Multiple China-based manufacturing marketplaces/vendors (Xometry China ops, PCBWay, Qmolding, RpProto, Wayzao, UIDEA, Sung Precision Mould & Plastic) offer integrated prototype-through-low-volume services spanning CNC, injection molding, die casting, sheet-metal fabrication and 3D printing under one sourcing relationship, typically with flexible MOQs and online quoting.",medium,supplier-claimed,none,https://www.rpproto.com/services/low-volume-manufacturing
R058,CN,Multiple,"OEM/integrator, hobbyist/maker",End-to-end robot component sourcing,"'In Huaqiangbei, Shenzhen, it is possible to source all the components needed to assemble a robot in just one day'; a robot can allegedly go from prototype to small-batch production in a few days within this cluster. Cluster specialization: Dongguan focuses on volume/standardized parts, Songgang (near Shenzhen) on bespoke precision; Shenzhen robot industry chain output value was 179.7bn yuan in 2023.",low,fact,none,https://corematter.substack.com/p/inside-chinas-robotics-supply-chain
R067,AU,Multiple,AU importer of record (small business),Electronics/robotics component import compliance,"Under Australia's EESS framework, the Australian importer (not the overseas factory) is the legal 'Responsible Supplier' and carries liability if customs audits find test reports inadequate — 'the penalty and any recall lands on your business, not your supplier's.' ABF increased audits of HS classification and component-level valuation in 2025.",medium,fact,none,https://tftior.com/australia-ior/
R070,Global,Maker/hobbyist,Individual hobbyist / student,DIY 3D-printed robot arm build,"The 'Pedro' open-source project is a fully open-source 3D-printable educational robot arm with 6 rotational joints and a parallel-jaw gripper, using 7x Feetech STS3215 serial-bus servos, with a stated build cost of approximately US$220.",medium,fact,none,https://orobot.io/robots/arm
R071,Global,"Maker/hobbyist, developer",Individual developer / small team,Open-source robot-arm dev platform with full BOM disclosure,"The reBot-DevArm open-source project provides a detailed BOM with specifications and purchase links for every single screw, plus hardware blueprints/source files for both sheet-metal parts and 3D-printed parts — i.e. a maker-oriented project explicitly publishing sourcing data down to fastener level.",medium,fact,none,https://github.com/Seeed-Projects/reBot-DevArm
