ID nguon,Loại robot,Custom part,Material,Manufacturing process,Technical requirement / tolerance / finish,Nguon URL
R001,Humanoid/general-purpose,Frame member; mounting bracket,"unknown (aluminum implied, not stated)",CNC machining (multi-axis),unknown,https://www.dakingsrapid.com/robotics/
R002,Humanoid/general-purpose,Structural frame member; joint housing; actuator housing; end-effector component,unknown,CNC machining (precision machine shop),unknown (shop is precision-focused; specific tolerance not given in snippet),https://carrmachine.com/industries/humanized-robotics/
R003,Humanoid/general-purpose,Swing arm link bracket,7075-T6 aluminum alloy,5-axis CNC machining,"unknown numeric tolerance given, but implied precision (5-axis complex geometry)",https://hardwarerapid.com/portfolio-items/5-axis-cnc-machined-robot-swing-arm-link-bracket-7075-aluminum/
R004,Humanoid/general-purpose,3D-printed bracket connecting extrusions to actuators,Aluminum extrusion (frame) + 3D-printed plastic brackets,3D printing + off-the-shelf extrusion assembly,unknown,https://arxiv.org/pdf/2504.17249
R005,Humanoid/general-purpose,Joint housing (bearing bore),"unknown (aluminum typical per general CNC robotics context, not stated for this exact source)","CNC machining, precision boring/grinding for bearing bore",Bearing bore tolerance H6/H7; surface finish Ra 0.4-0.8 micrometers; GD&T-controlled stack-up under 0.05mm across the joint assembly,https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/
R006,Humanoid/general-purpose,Joint housing with bearing seat,Aluminum (implied by anodizing process),CNC machining + Type III hard anodize (25 micrometer) + selective masking of bearing surfaces,"Bearing seat surface finish Ra 0.4 (ground after milling); external faces Ra 1.6; Type III hard anodize 25 micrometers; 100% CMM inspection on bearing seat geometry; masking required because anodize thickness cannot be controlled tighter than ~0.0127mm (half a mil), which would violate press/clearance fits on bearing races",https://www.dakingsrapid.com/humanoid-robot-joint-cnc-machining-tolerances-specs/
R007,Humanoid/general-purpose,Structural link housing,Aluminum (die-cast) / Magnesium (for lower-inertia joint housings),"Die casting (aluminum) or investment casting, with CNC finish machining; magnesium used to minimize inertia in articulated arm joint housings",Flange bore position tolerance +/-0.03 to 0.05mm; bolt hole pattern tolerance +/-0.05 to 0.08mm; mating face flatness 0.01-0.03mm,https://www.fictiv.com/articles/robotic-arm-components-manufacturing
R008,Humanoid/general-purpose,Cast structural housing,Aluminum alloy (gravity casting),Gravity die casting + machining,unknown,https://www.sango-automation.com/casting/robot-arm-gravity-casting-parts.html
R009,Humanoid/general-purpose,Enclosure body machined from billet,Billet 6061/7075 aluminum,CNC machining from solid billet (no porosity),"unknown numeric tolerance, but vendor emphasizes eliminating porosity for strength",https://www.rallyprecision.com/products/custom-aluminum-enclosure/
R010,AMR/warehouse/logistics,Frame member; structural panel,Heavy-gauge structural steel and stainless steel (304/316L),"Laser cutting + CNC press-brake bending + TIG/MIG welding (deeply penetrated, stress-relieved welds) + powder coat/anodize finish",unknown numeric tolerance in this source,https://shincofab.com/sheet-metal-fabrication-for-robotics/
R011,AMR/warehouse/logistics,Welded frame,"unknown (sheet metal, grade unspecified)",Sheet metal fabrication + welding (precision sheet metal fab specifically marketed for 'robot welding chassis'),unknown,https://www.sheetmetalchina.com/robot-welding-chassis/
R012,AMR/warehouse/logistics,Structural frame member; controller enclosure; EOAT frame member; vision/camera housing,unknown,Build-to-print sheet metal fabrication,unknown,https://drametal.com/industries/robotics/
R013,AMR/warehouse/logistics,Custom sheet-metal tray,"unknown (metal, grade unspecified)",Sheet metal fabrication,unknown,https://www.sheetmetalchina.com/custom-metal-tray/
R014,AMR/warehouse/logistics,Structural frame member,unknown,Welding + structural fabrication,unknown,https://www.mcalpin-ind.com/industries/material-handling
R015,Cobot/industrial arm/machine tending,Gripper jaw; mounting plate/bracket; nest,"AL6061-T6, AL7075-T6, various stainless steels",CNC machining or 3D printing depending on complexity/volume,unknown numeric tolerance in this source,https://www.emicorp.com/eoat-solutions
R016,Cobot/industrial arm/machine tending,"Mixed-material gripper components (jaws, brackets, plates)",unknown (implied metal per 'CNC machined'),CNC machining,unknown,https://eoatmachining.com/products
R017,Cobot/industrial arm/machine tending,Hydraulic workholding fixture,unknown (fixture material not specified; workpiece is titanium),Precision fixture fabrication + hydraulic clamping,Repeatability +/-0.05mm on the tending/fixture system,https://amdmachines.com/solutions/machine-tending/
R018,Cobot/industrial arm/machine tending,Jig/fixture body,unknown,CNC machining or 3D printing (both explicitly offered as alternative routes),unknown,https://www.protolabs.com/resources/blog/create-jigs-and-fixtures-with-cnc-machining-and-3d-printing/
R019,Cobot/industrial arm/machine tending,Sensor mount bracket,unknown,CNC machining,unknown,https://www.jacoworks.com/industries-served/robotic-components
R020,Cobot/industrial arm/machine tending,Gripper jaw/finger,Aluminum 6061/7075 for lighter payloads (<25kg); 4140 steel; 304 stainless; Delrin; PEEK; A2 tool steel hardened to 53 RC for wear-resistant fingers; H13 tool steel for high-temp/impact tooling; TiN coating for durability,"CNC machining (precision tolerances up to +/-0.001in general, +/-0.0005in on critical grip surfaces) + heat treatment (hardening) + coating (TiN)",+/-0.001 inch general feature tolerance; +/-0.0005 inch on critical grip-surface dimensions; hardening to 53 RC; TiN coating for wear resistance,https://www.rivcut.com/cnc-machining/robotics/gripper-components/
R021,Agriculture robot,Bracket; bushing; plate; adapter,unknown (implied metal),"CNC machining, fast turnaround",unknown,https://www.mccartyfabrication.com/agriculture
R022,Agriculture robot,Custom CNC machined bracket,"Aluminum, steel, brass, plastics",CNC machining,Tight tolerance up to +/-0.005mm cited for bracket machining,https://www.beskamold.com/products/custom-cnc-machined-brackets/
R023,Agriculture robot,Vacuum gripper + oscillating cutting blade end-effector,unknown,"unknown (research prototype, fabrication method not detailed)",unknown,https://arxiv.org/pdf/1810.11920
R024,Agriculture robot,Soft gripper finger (dual-layer),TPU (3D printed base layer) + Ecoflex 00-30 silicone elastomer (molded air-chamber layer); also 1.75mm TPE filament variant,3D printing (FDM) + silicone molding (combined multi-material assembly),unknown,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2023.1330496/full
R025,Agriculture robot,Avocado-specific end-effector,unknown,unknown,unknown,https://arxiv.org/pdf/2407.01809
R026,Inspection/field robot,Pressure housing tube; end cap,"Aluminum 6061-T6/7075-T6 (shallow-rated); Titanium Grade 5 (deep-rated); anodized aluminum, stainless steel also used",5-axis CNC machining,Assembly surface tolerance ~0.025mm; surface roughness Ra 0.8 micrometers at O-ring interface; O-ring interface always held to tight tolerance even when the rest of the part has wide tolerance; wall thickness engineered against external pressure + safety factor + corrosion allowance over service life,https://waykenrm.com/blogs/underwater-rov-design-and-customization/
