ID,Loại robot,RFQ family,Custom part,Critical interface,Critical tolerance,GD&T,Assembly requirement,Source URL,Confidence
R001,Humanoid/general-purpose,precision CNC housing,"Harmonic-drive circular-spline housing (generic joint housing, not tied to a named OEM part)",Circular-spline bore / flexspline-wave-generator bearing interface (harmonic-drive gear seat),Housing bore for 70 mm circular spline: H7 = +0.030/+0.000 mm; mating shaft: h6,"unknown (fit class given, not a GD&T callout)","Bore must not be oversized (spline walks under load) or undersized (spline deforms, ruins gear performance)",https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,documentation_verified
R002,Humanoid/general-purpose,precision CNC housing,Upper-arm output flange; structural frame members (silver machined parts observed in teardown),Output flange (actuator-to-limb structural interface),unknown,unknown,unknown,https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,documentation_verified
R003,Cobot/industrial arm/machine tending,precision CNC housing,Joint housing / arm tube transition,Joint-housing-to-arm-tube structural interface,unknown,unknown,unknown,https://www.universal-robots.com/products/ur20/,supplier_marketing
R004,Maker/startup-built custom robot systems,precision CNC housing,Finger frame; proximal phalanx; MCP joint part; joint shafts,Joint pin bore (finger articulation pivot),±0.005 mm machining tolerance capability cited for the build,unknown,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,documentation_verified
R005,AMR/warehouse/logistics,bracket/mount/adapter,LiDAR bracket; stereo camera housing; force/torque sensor adapter; encoder mount,Sensor mounting face (alignment/calibration-critical),±0.0005 in on critical features (vendor-stated),unknown,unknown,https://www.rivcut.com/cnc-machining/houston/robotics/sensor-mounts/,supplier_marketing
R007,Service robot,bracket/mount/adapter,Sensor/vision-camera mounting bracket,Camera/sensor mounting face,unknown,unknown,unknown,https://frigate.ai/product/robotic-vision-camera-bracket/,supplier_marketing
R008,Exoskeleton/wearable robot,bracket/mount/adapter,Frame member; actuator mounting bracket,Actuator mounting bracket interface (motor torque transfer point),unknown,unknown,unknown,https://www.ucf.edu/pegasus/power-move-onyx-exoskeleton/,"documentation_verified (Onyx materials, UCF); supplier_marketing (bracket/tolerance generalization)"
R009,AMR/warehouse/logistics,welded frame/chassis,Chassis frame (laser-cut panels + weld),Wheel-mount / drive-unit mounting interface (chassis torsional stiffness affects sensor alignment per case study),Welded-frame squareness: 0.015 in/ft (0.4 mm/300 mm) after stress relief; mounting bolt-hole true position ±0.005 in (±0.127 mm),True position (bolt holes); implied flatness/squareness callout on weldment,Post-weld machining of mounting interfaces to restore location accuracy lost to weld distortion,https://www.thefabricator.com/thefabricator/article/automationrobotics/the-potential-of-flexible-mobile-robots-in-sheet-metal-fabrication,industry_estimate
R013,AMR/warehouse/logistics,sheet-metal enclosure,Sheet-metal body panel/cover,Panel-to-chassis mounting interface,unknown,unknown,unknown,https://www.lsrpf.com/blog/top-6-manufacturers-for-robotics-sheet-metal-fabrication-custom-lightweight-chassis-experts,supplier_marketing
R016,Cobot/industrial arm/machine tending,gripper jaw/finger,Gripper jaw / finger,Jaw-face-to-workpiece grip contact surface; pin-pivot bore,±0.0005 in on critical grip-surface dimensions and pin-pivot bores; wedge contact surfaces to ±0.01 mm; wire-EDM jaw patterns to ±0.001 in,"Parallelism between jaw faces to 0.05 mm over full stroke (below this, grip force reported to drop 30-50%)",unknown,https://www.rivcut.com/cnc-machining/robotics/gripper-components/,supplier_marketing
R017,Humanoid/general-purpose,gripper jaw/finger,"Finger frame, proximal phalanx, MCP joint part",Finger pivot/joint bore,±0.005 mm machining tolerance capability cited for the build (same source as R004),unknown,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,documentation_verified
R018,AMR/warehouse/logistics,sensor/camera mount,RGBD camera mount,"Camera mounting interface (front-facing, for localization/obstacle detection)",unknown,unknown,unknown,https://arxiv.org/pdf/2103.09229,documentation_verified (functional description only)
R020,Maker/startup-built custom robot systems,battery/electronics enclosure,Main housing with battery pocket,Battery pocket / PCB sandwich interface,unknown,unknown,Battery clamped in place with rubber-tipped set screws; sandwiched between PCBs,https://arxiv.org/pdf/2503.20702,documentation_verified
R021,AMR/warehouse/logistics,battery/electronics enclosure,Battery pack enclosure with lid,O-ring sealing groove on enclosure lid (IP54/IP67 sealing),Cell-to-cell clearance tolerance ±0.1 mm; sealing surfaces/O-ring grooves ±0.001 in general / ±0.0005 in critical (vendor-stated),unknown,unknown,https://www.rivcut.com/cnc-machining/springfield/automotive/ev-battery-enclosures/,supplier_marketing
R022,Humanoid/general-purpose,battery/electronics enclosure,Sealed electronics housing,O-ring gland (sealed enclosure); EMI grounding pad interface,unknown,unknown,unknown,https://www.charmaxprecision.com/case-studies/aluminum-electronics-housing/,supplier_marketing
