ID nguon,Quoc gia,Loại robot,US/AU sourcing-friction signal,Nguon URL,Loai nguon,Do tin cay
R014,US,AMR/warehouse/logistics,unknown (implicitly a US-based alternative to China sourcing for AMR structural frames),https://www.mcalpin-ind.com/industries/material-handling,Manufacturer/vendor site (US),low
R021,US,Agriculture robot,unknown (US domestic fast-turnaround positioning implies a lead-time pain point being solved),https://www.mccartyfabrication.com/agriculture,Manufacturer/vendor site (US),low
R040,US,Maker/startup-built custom robot systems,"RFQ responses from traditional machine shops can take days before a further three-to-four-week prototype lead time; a prototype 'expected in days can easily take weeks - not because of production constraints, but because of delays in quoting, design iteration, manufacturability feedback, and supplier coordination' - a direct US quoting/coordination friction signal",https://www.fictiv.com/articles/prototyping-lead-time-process-timelines-and-how-to-reduce-delays,"Manufacturing marketplace technical/industry blog (Fictiv, US)",medium
R041,US,Maker/startup-built custom robot systems,"Implied friction: without STEP-format standardization and correct revision grouping, CAD/CAM/engineering compatibility problems and quoting delays result",https://premsaindustries.com/en/resources/blog/cad-file-to-cnc-machining-quote,Manufacturer/vendor technical blog,low
R042,EU (context; relevant as comparator to US/AU startup manufacturing friction),Maker/startup-built custom robot systems,Implicit friction signal: the marketing claim itself ('prototype to production in 3 days') exists specifically because slow prototype-to-production turnaround is a recognized pain point for hardware startups,https://www.eu-startups.com/2026/07/from-prototype-to-production-in-3-days-how-ls-manufacturing-supports-european-hardware-startups-in-their-fast-paced-development-sponsored,"Sponsored/trade press article (vendor-sponsored content, marked accordingly)",low
R043,US,Maker/startup-built custom robot systems,Direct US friction evidence: HEBI Robotics 'had previously passed up several hundred thousand dollar sales because they couldn't produce parts quickly enough' before consolidating sourcing through Fictiv's digital manufacturing ecosystem,https://www.fictiv.com/case-studies/hebi-robotics,"Manufacturing marketplace case study (Fictiv, US) - customer case study, treat as vendor-published but naming a real, verifiable robotics company (HEBI Robotics)",medium
R044,Global (China),Đa loại robot (cross-category),Implicit comparator to US/AU: this same passage frames Western supply chains as more 'dispersed' and slower to coordinate multi-process jobs,https://www.rpproto.com/blog/top-10-cnc-machining-services-company-in-china,"Manufacturer/vendor site (China, aggregator/marketing content)",low
R048,AU,Đa loại robot (cross-category),"A Sydney-based CNC machining company (Robycs Technology) explicitly markets itself as supplying 'highly precise components and parts for industrial robot systems' - direct evidence that domestic AU CNC capacity for robotics exists, which is the baseline against which any AU sourcing-friction (capacity/cost/lead-time) claim must be read",https://robycstechnology.com.au/cnc-machining-sydney/,Manufacturer/vendor site (AU),low
R049,US,Đa loại robot (cross-category),"462,000 US manufacturing job openings reported in March 2026; up to 2.1 million manufacturing roles projected to go unfilled by 2030; median age of the American machinist is approaching 47; apprenticeship pipelines chronically underfunded for two decades; CNC shop owners report idle machines, delayed orders, rising labor costs, and overworked senior machinists",https://www.cloudnc.com/blog/cnc-machinist-hiring-crisis-2026,Manufacturing-software vendor blog (CloudNC) citing labor-market statistics,medium
R050,US,Đa loại robot (cross-category),"The reshoring boom is described as 'colliding with' the machinist shortage, meaning increased demand for domestic (non-China) precision manufacturing is running into a workforce-constrained supply of shops able to take on new work - a direct capacity-shortage friction relevant to robotics OEMs trying to source domestically",https://egm-mfg.com/reshoring-machinist-shortage-precision-machining/,Manufacturer/industry blog (US precision machining company),low
R051,US,Đa loại robot (cross-category),"In early 2025 the US imposed a 145% tariff on imports from China (specific product scope not detailed in this source), with China imposing a 125% retaliatory tariff on US goods; tariffs are described as introducing 'procurement concerns and significant unpredictability into the cost structures of robotics parts manufacturing, such as semiconductors and sensors'",https://www.automation.com/article/how-tariffs-are-reshaping-robotics-sourcing-and-what-to-do-about-it,Industry trade publication,medium
R052,US,Đa loại robot (cross-category),"Chinese-origin industrial robots face a 25% additional duty under Section 301 tariffs on the customs (CIF) value, per a robotics import/customs guide",https://www.evsrobot.com/import-industrial-robots-from-china-shipping-customs-guide.html,Logistics/customs-broker vendor site,low
R053,AU,Đa loại robot (cross-category),"85-90% of mobile robot units in the AU/Oceania market are sourced from overseas manufacturers (Europe, North America, increasingly China), entering via specialized distributors/system integrators; imported component prices (LiDAR sensors, onboard computers, battery packs) represent 40-50% of base-unit BOM cost; manufacturing lead time for standard robots is cited as 45-60 days from order confirmation plus 30-45 days sea freight (to European ports in this source's example)",https://www.indexbox.io/store/australia-and-oceania-mobile-robot-base-units-market-analysis-forecast-size-trends-and-insights/,"Market research report (paid/aggregator, summary-level access only)",low
R054,AU,Đa loại robot (cross-category),"Nearly 90% of Australian manufacturing capacity is dominated by small businesses; AU manufacturing employment fell by 8,700 workers (-1%) year-over-year to February 2026; the sector faces reliance on imported equipment, supply-chain disruptions, and skilled-labour shortage; AU sits below the global average of 132 robots per 10,000 manufacturing employees, with the gap widening",https://www.manmonthly.com.au/a-roadmap-for-robotics-to-enhance-australias-modern-manufacturing-capabilities/,"Trade publication (Manufacturers' Monthly, AU)",medium
R055,AU,Đa loại robot (cross-category),"If machinery is not locally manufactured in Australia, importers may be eligible for a Tariff Concession Order (TCO) to reduce/eliminate duty; the Australian Border Force (ABF) has increased audits of HS classifications and component-level valuations, with complex machinery including control systems/electronics requiring careful customs assessment - a direct certification/inspection/customs-burden friction signal",https://controlgl.com/blog/importing-manufacturing-equipment-into-australia-complete-guide/,Logistics/customs guide (industry service provider),medium
R056,AU,Đa loại robot (cross-category),"Structural challenges cited include reliance on imported equipment, supply-chain disruptions, and a shortage of skilled labour influencing production capacity and investment decisions",https://fast-automation.com/blog/post/manufacturing-automation-australia-2026,Industry/vendor blog (AU automation integrator),low
R057,US,Đa loại robot (cross-category),"Emergency MRO situations are explicitly called out as needing fast (days-scale) turnaround, implying normal-channel lead times are a real pain point being solved for",https://www.boona-prototypes.com/mro-cnc-machining-obsolete-parts/,Manufacturer/vendor blog,low
