ID nguon,Loại robot,Material,Manufacturing process,Custom part/assembly lien quan,Nguon URL,Do tin cay
R001,Humanoid/general-purpose,"unknown (aluminum implied, not stated)",CNC machining (multi-axis),Chassis/frame assembly; mounting bracket set,https://www.dakingsrapid.com/robotics/,low
R002,Humanoid/general-purpose,unknown,CNC machining (precision machine shop),Structural frame; joint assembly; actuator housing; end-effector assembly,https://carrmachine.com/industries/humanized-robotics/,low
R003,Humanoid/general-purpose,7075-T6 aluminum alloy,5-axis CNC machining,Arm/link assembly (swing arm),https://hardwarerapid.com/portfolio-items/5-axis-cnc-machined-robot-swing-arm-link-bracket-7075-aluminum/,medium
R004,Humanoid/general-purpose,Aluminum extrusion (frame) + 3D-printed plastic brackets,3D printing + off-the-shelf extrusion assembly,Torso frame (extrusion cage),https://arxiv.org/pdf/2504.17249,high
R005,Humanoid/general-purpose,"unknown (aluminum typical per general CNC robotics context, not stated for this exact source)","CNC machining, precision boring/grinding for bearing bore",Joint housing assembly,https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/,medium
R006,Humanoid/general-purpose,Aluminum (implied by anodizing process),CNC machining + Type III hard anodize (25 micrometer) + selective masking of bearing surfaces,Joint housing assembly,https://www.dakingsrapid.com/humanoid-robot-joint-cnc-machining-tolerances-specs/,medium
R007,Humanoid/general-purpose,Aluminum (die-cast) / Magnesium (for lower-inertia joint housings),"Die casting (aluminum) or investment casting, with CNC finish machining; magnesium used to minimize inertia in articulated arm joint housings",Arm/link assembly,https://www.fictiv.com/articles/robotic-arm-components-manufacturing,medium
R008,Humanoid/general-purpose,Aluminum alloy (gravity casting),Gravity die casting + machining,Arm/link assembly,https://www.sango-automation.com/casting/robot-arm-gravity-casting-parts.html,low
R009,Humanoid/general-purpose,Billet 6061/7075 aluminum,CNC machining from solid billet (no porosity),Battery enclosure / protective electronics enclosure,https://www.rallyprecision.com/products/custom-aluminum-enclosure/,low
R010,AMR/warehouse/logistics,Heavy-gauge structural steel and stainless steel (304/316L),"Laser cutting + CNC press-brake bending + TIG/MIG welding (deeply penetrated, stress-relieved welds) + powder coat/anodize finish",Chassis/frame assembly (welded),https://shincofab.com/sheet-metal-fabrication-for-robotics/,low
R011,AMR/warehouse/logistics,"unknown (sheet metal, grade unspecified)",Sheet metal fabrication + welding (precision sheet metal fab specifically marketed for 'robot welding chassis'),Welded chassis assembly,https://www.sheetmetalchina.com/robot-welding-chassis/,low
R012,AMR/warehouse/logistics,unknown,Build-to-print sheet metal fabrication,AGV/AMR structure; robot controller enclosure; EOAT frame; vision housing,https://drametal.com/industries/robotics/,low
R013,AMR/warehouse/logistics,"unknown (metal, grade unspecified)",Sheet metal fabrication,Custom metal tray (payload-carrying structure),https://www.sheetmetalchina.com/custom-metal-tray/,low
R014,AMR/warehouse/logistics,unknown,Welding + structural fabrication,Welded main structural frame (AMR),https://www.mcalpin-ind.com/industries/material-handling,low
