fact_id,component,material,manufacturing_process,country,raw_claim_fact,confidence,fact_hypothesis_inference,source_url
R052,Housing / bracket / structural link,unknown,CNC milling / turning,Global,"For aluminum brackets, China CNC machining typically costs US$15-55/part vs US$60-150/part in the US; China prototype (1-50pcs) lead time ~3-7 working days, low-volume (50-200pcs) ~7-10 days plus 3-5 days air freight; US suppliers typically deliver in 5-14 business days. Cumulative China savings at scale often 30-50%, but 'at low quantities, US quoting efficiency and shorter setup overhead often match or beat the offshore unit price plus freight and compliance burden.'",medium,supplier-claimed,https://www.fastpreci.com/blog/sourcing-china-cnc-machining-parts/
R053,Housing / bracket / structural link,unknown,CNC milling / turning,Global,"One CNC-cost-comparison source explicitly cautions: 'Many China shops accept prototype and low-volume runs, so the real difference is usually smaller than buyers expect' — i.e. the China cost advantage narrows (not disappears) at true one-off/prototype scale.",low,fact,https://yijinsolution.com/industry-insights/china-vs-usa-cnc-machining/
R054,PCB / controller board,unknown,PCB fab / SMT assembly,Global,"China PCB fabrication for basic prototype orders runs ~US$10-50; for a 20-board run (5x3in, 30 BOM items, 60 SMT + 25 THT parts) per-board cost cited as ~$10 fab + $35 assembly; China PCB assembly offers a claimed 30-50% lower base cost, and even with 25-35% Section-301 tariffs (2025) still saves 15-25% for orders over 100 units.",medium,supplier-claimed,https://www.7pcb.com/blog/prototype-printed-circuit-board-pcb-assembly-prices-china
R055,PCB / controller board,unknown,PCB fab / SMT assembly,US,"'For small-batch prototyping (1-100 units), US local sourcing eliminates international shipping delays and extra tariff costs, making overall pricing more competitive for low-volume orders'; the volume crossover to China favor is cited at roughly 100-500+ units.",medium,fact,https://leadsintec.com/china-vs-us-pcb-assembly/
R056,Housing / enclosure / bracket,unknown,Injection molding; sheet metal (laser/bend/weld); die casting,CN,"Multiple China-based manufacturing marketplaces/vendors (Xometry China ops, PCBWay, Qmolding, RpProto, Wayzao, UIDEA, Sung Precision Mould & Plastic) offer integrated prototype-through-low-volume services spanning CNC, injection molding, die casting, sheet-metal fabrication and 3D printing under one sourcing relationship, typically with flexible MOQs and online quoting.",medium,supplier-claimed,https://www.rpproto.com/services/low-volume-manufacturing
R057,Motor (winding stage),unknown,Motor winding / assembly,US,"US motor-manufacturing equipment (coil winders, taping machines, commutator undercutters, banding machines, TIG welders) is described as 'now decades old and operating well past the point where reactive maintenance can keep up' amid a reshoring wave of ~US$1.662 trillion in announced manufacturing commitments (131 companies, 32 states) since Jan 2025.",medium,fact,https://caminnovation.com/americas-1-66-trillion-reshoring-wave-is-stress-testing-motor-manufacturing-equipment-service-capacity/
R070,Robot arm (full assembly),"PLA/PETG (structural), hobby servos (actuation)",3D printing (FDM),Global,"The 'Pedro' open-source project is a fully open-source 3D-printable educational robot arm with 6 rotational joints and a parallel-jaw gripper, using 7x Feetech STS3215 serial-bus servos, with a stated build cost of approximately US$220.",medium,fact,https://orobot.io/robots/arm
R072,"Structural link, housing, bearing seat",unknown,CNC (prototype-pilot); sheet metal (secondary brackets),Global,A US manufacturing-marketplace guide advises that robot-arm 'primary structural link bodies and actuator housings use CNC for prototype through pilot; bearing seats and precision mating interfaces use CNC; and secondary brackets use sheet metal' — explicit process-selection guidance aimed at exactly the maker/small-integrator audience named in the issue.,medium,supplier-claimed,https://www.fictiv.com/articles/robotic-arm-components-manufacturing
R074,N/A,unknown,3D printing (FDM),Global,"The issue instructs not to assume a 3D-printing-driven trend without evidence. This research pass found direct evidence that at least some notable open-source maker robot-arm projects (Pedro, reBot-DevArm, and others catalogued at orobot.io) do center on FDM 3D printing for structural parts, but found no quantitative source (e.g. survey of maker robot builds by fabrication method) establishing what share of maker/startup robot builds use 3D printing vs CNC vs off-the-shelf extrusion.",medium,inference,https://circuitdigest.com/articles/top-10-opensource-robotic-arms-for-beginners
R090,Cable assembly / wire harness / connector,unknown,"Cable/harness assembly (manual + automated), connector termination",unknown,"Global connector component makers (Molex, JST, Hirose, TE Connectivity) supply the terminals/connectors; harness assembly for robotics (high-flex, torsion-resistant, EMI-optimized, built to IPC/WHMA-A-620 Class 3 and ISO 9001) is concentrated in China, Thailand and Philippines production facilities.",medium,fact,https://www.ourpcb.com/top-robotics-cable-assembly-manufacturers
R092,Bearing (crossed-roller / thin-section),Steel (bearing steel),Precision grinding / forging,unknown,"China's robotic-bearing manufacturing is concentrated in named regional clusters (Henan/Luoyang, Guangdong Pearl River Delta, Shandong, Hunan, Anhui); crossed-roller bearings and constant-section thin-wall bearings are the primary bearing types used in robot joints, slewing units and precision rotary tables; Chinese suppliers are described as 'increasingly competing on technology, quality and reliability rather than just price' though quality/delivery inconsistency is also flagged.",low,supplier-claimed,https://www.cwlbearing.com/blog/best-robot-bearing-suppliers-china-global-buyers/
R104,Housing / bracket / enclosure (injection-molded),unknown,Injection molding,Global,"US 2026 injection-molding tooling runs US$15,000-120,000 with parts at US$0.35-6.00 (assuming 4-cavity hardened-steel mold, 25-35s cycle, robotic pick/place, US Gulf resin pricing); China tooling costs 40-65% less nominally, 35-50% less on true landed cost after including Section 301 tariffs (25-50% on Chinese plastic goods), freight, inventory carry and quality-escalation costs.",medium,fact,https://www.jaycon.com/2026-injection-molding-pricing-report-us-costs-reshoring-tooling-data/
R105,Housing / joint / structural bracket (die-cast),unknown,"Die casting (aluminum, zinc)",unknown,"China aluminum die-casting for robotics parts (joint housings, arm components, motor housings, covers, structural supports) is concentrated in Guangdong/Zhejiang/Jiangsu foundry clusters that bundle casting with toolmaking, heat treatment and finishing under one roof; automation and AI-driven process monitoring are increasingly used to raise yield.",low,supplier-claimed,https://casting-yz.com/robot-parts/
R106,Motor winding / magnet wire (enameled copper wire),Copper (enameled magnet wire),Motor winding,unknown,"The global Copper Magnet Wire Market was sized at US$34.8B in 2026, projected to reach US$67.28B by 2035 (7.60% CAGR); China motor-winding-wire suppliers are commonly sourced in bulk by overseas motor/robotics manufacturers for lower production cost and scalable supply.",low,fact,https://markwideresearch.com/copper-magnet-wire-market
R107,PCB (fabrication) / SMT assembly (control board),unknown,"PCB fabrication, SMT assembly",unknown,"Industrial robotics/automation rely on SMT (surface-mount technology) assembly for control modules, sensors and power devices; China's PCB/SMT dominance for robotics is attributed to infrastructure investment, skilled labor and mature component supply chains; the US pursues 'nearshoring' rather than full onshoring as the realistic near-term policy goal, with Calumet Electronics (Michigan) cited as a concrete US capacity-expansion example.",medium,fact,https://iconnect007.com/article/141280/material-insight-diversifying-pcb-manufacturing-through-nearshoring/141277/smt
R108,Electrical steel lamination (motor stator/rotor core),Electrical (silicon) steel,Stamping / lamination,US,"Electrical Steel Lamination Market valued at US$29.4B in 2026, projected to expand to US$57.8B by 2035; electrical steel prices up 60-80% since 2020; US federal Advanced Manufacturing Production Credit subsidizes domestic lamination production as an onshoring incentive; transformer-OEM supply-chain risk planning is dominated by US-China tariff exposure, with production concentrated in China, Japan and Germany.",low,fact,https://markwideresearch.com/electrical-steel-lamination-market
R109,"Gears, hinges, casings, joint components (engineering plastic)",PEEK; Nylon/Polyamide (PA); ABS; Polycarbonate (PC),3D printing (FDM/SLS) and injection molding,unknown,"PEEK is used in robot joint gears, sensor housings and motor insulation parts for its high-temperature resistance, mechanical strength and chemical stability; Nylon/PA is used across robotics, aerospace and medical-prosthetic parts requiring durability across temperature/load ranges; ABS and PC are named as common 3D-printing engineering-plastic feedstocks for functional robot parts (gears, hinges, casings).",medium,fact,https://jlc3dp.com/help/article/peek-plastic
R130,Precision-machined structural/motion parts (CNC),unknown,CNC milling / turning,US,"US industrial robot installations grew 11% in 2025 to 38,000 units after two consecutive years of decline, described in-source as a driver of increased CNC-robotics-parts sourcing activity; CNC-machined robotic parts are characterized as moving 'from a niche purchasing category into a serious sourcing priority in 2026.'",medium,fact,https://leweiprecision.com/cnc-machining-reshoring-usa/
R147,"Sheet-metal chassis / bracket / enclosure (laser-cut, formed)",unknown,"Laser cutting, CNC press-braking, welding",Global,"China's sheet-metal fabrication ecosystem for robotics/electronics enclosures is geographically concentrated (Pearl River Delta, >70% of top-tier suppliers) and vertically bundled (DFM engineering through laser cutting, CNC bending and finishing in one vendor); the single named US comparator (Komaspec) offers a comparable process range (laser cutting, CNC bending, manual/robotic welding, stamping) but without a quantified US capacity-share figure.",low,supplier-claimed,https://yijinsolution.com/industry-insights/top-10-sheet-metal-fabrication-companies-robotics/
