ID,Ngày thu thập,Quốc gia,Loại robot,Dạng robot/use case,RFQ family,Custom assembly,Custom part,Geometry/feature,Bought-in vs custom,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,General tolerance,Critical tolerance,GD&T,Critical interface,Thread/insert/fastening,Assembly requirement,Critical characteristic,Inspection method,Inspection equipment,FAI requirement,Material cert/traceability,Lifecycle stage,Revision intensity,Failure/rework reason,Repeat/replacement,Single/multi-process,Tooling/NRE need,Raw claim/fact,Source URL,Source type,Publication date,Confidence,Fact/inference/hypothesis,Unknown/gap,Notes
R001,2026-09-19,US,Humanoid/general-purpose,"Bipedal humanoid, knee/hip actuator joint",precision CNC housing,Knee/hip actuator joint module,"Harmonic-drive circular-spline housing (generic joint housing, not tied to a named OEM part)","Bored housing with press-fit circular spline seat, output bearing bore, mounting flange face",Custom housing; harmonic-drive gear set itself is bought-in (component supplier),unknown (spec sheet does not name a specific alloy for the housing),CNC machining (bore + flange),unknown,unknown,unknown,None (machined housing),unknown,Housing bore for 70 mm circular spline: H7 = +0.030/+0.000 mm; mating shaft: h6,"unknown (fit class given, not a GD&T callout)",Circular-spline bore / flexspline-wave-generator bearing interface (harmonic-drive gear seat),unknown,"Bore must not be oversized (spline walks under load) or undersized (spline deforms, ruins gear performance)",Bore roundness/size directly controls harmonic-drive gear life and backlash,"unknown (implied bore gauge/CMM for H7 fit, not stated)",unknown,unknown,unknown,"unknown (generic engineering-guide fact, not tied to one program's lifecycle)",unknown,Gear deformation (bore too tight) or spline shift under load (bore too loose),unknown,unknown,"None described (machining only, no tooling)",Harmonic Drive component-set catalog documentation specifies H7 housing bore / h6 shaft as the standard recommended fit for circular-spline/flexspline component sets; compliance with the recommended assembly tolerance is required for the gearing's stated performance.,https://www.harmonicdrive.net/_hd/content/catalogs/pdf/csf-csg.pdf,Component-supplier technical documentation (Harmonic Drive LLC catalog),unknown,documentation_verified,fact,"No specific robot OEM housing part is confirmed against this fit; this is the generic reducer-supplier engineering recommendation, applied here to the joint-housing RFQ context",Cross-applies to any humanoid/cobot/quadruped joint using a harmonic-drive-type reducer; not an OEM-specific claim
R002,2026-09-19,US,Humanoid/general-purpose,"Bipedal humanoid, structural/actuator components",precision CNC housing,Arm/leg actuator housing and structural frame parts,Upper-arm output flange; structural frame members (silver machined parts observed in teardown),5-axis machined flange geometry; housing walls not cast,"Custom (machined billet, explicitly not cast)","Al 7075 (upper arm, per teardown analysis)",5-axis CNC machining of aluminum billet,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Output flange (actuator-to-limb structural interface),unknown,unknown,Strength-to-weight under bending load at output flange,unknown,unknown,unknown,unknown,"Production humanoid platform (shipping robot, not a prototype)","unknown (teardown notes CNC chosen over casting specifically to allow ongoing part modification as robot develops, implying frequent revision)",unknown,unknown,Single-process (machining) per described part,"None (machining avoids casting tooling investment, per source)","Independent teardown analysis states many of the Unitree G1's silver structural parts are CNC-machined from aluminum billet rather than cast (avoiding casting-tool lead time/capital and allowing ongoing part modification), and the upper arm uses 5-axis machining of Al 7075 chosen for strength-to-weight under bending at the output flange.",https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,Independent technical teardown/analysis blog,unknown,documentation_verified,"fact (third-party teardown claim about a named, shipping OEM product)","No tolerance, GD&T, finish, or inspection detail given for this specific part","Only record in this dataset tying a specific alloy/process to a specific, named, shipping humanoid product via an independent (non-vendor) technical teardown"
R003,2026-09-19,US,Cobot/industrial arm/machine tending,Collaborative arm joint module,precision CNC housing,Robot joint module (motor + gearbox + housing + tube),Joint housing / arm tube transition,Tapered tube-to-joint-housing geometry (replacing prior cylindrical tube),Custom (OEM-designed joint architecture),unknown,"unknown (implied machining, not confirmed)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,Joint-housing-to-arm-tube structural interface,unknown,unknown,Joint stiffness (torsional/bending) at tube-to-housing transition,unknown,unknown,unknown,unknown,Production (current-generation shipping cobot),unknown,unknown,unknown,unknown,unknown,"Universal Robots states its current cobot generation uses updated geometry with tapered tubes that deliver stiffer tubes and a stiffer joint housing compared to the cylindrical tubes used previously, alongside ~25% higher joint torque and ~50% fewer parts vs the prior e-Series.",https://www.universal-robots.com/products/ur20/,OEM product page,unknown,supplier_marketing,"fact (vendor-claimed, OEM's own product marketing)","Material, process, tolerance, finish all unstated on the public product page","vendor-claimed: OEM marketing copy, not independently verified engineering detail"
R004,2026-09-19,US,Maker/startup-built custom robot systems,Anthropomorphic/dexterous robotic hand (academic prosthesis-class build),precision CNC housing,Finger module housing (MCP joint housing),Finger frame; proximal phalanx; MCP joint part; joint shafts,Small-scale joint housing with pin-bore features for finger articulation,Custom,"SUS303 stainless (finger frame, proximal phalanx, MCP joint part, shafts); Aluminum 6061 (remaining parts)","CNC machining (milling, cutting, drilling)",unknown,unknown,unknown,None,unknown,±0.005 mm machining tolerance capability cited for the build,unknown,Joint pin bore (finger articulation pivot),unknown,unknown,Repeatability of small-part machining for consistent finger articulation,unknown,unknown,unknown,unknown,Prototype/academic build,unknown,unknown,unknown,Single-process (machining) as described,None (machining only),"A published anthropomorphic robotic hand prosthesis build used CNC machining (Alarsis FRH170 ATC) with a cited tolerance capability of ±0.005 mm; the most load-bearing parts (finger frame, proximal phalanx, MCP joint part, shafts) were SUS303 stainless steel, the rest Aluminum 6061.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11275007/,Peer-reviewed journal article (PMC),unknown,documentation_verified,fact,"This is a prosthesis-class research build, not a commercial robot company's part; treated as maker/startup-adjacent evidence, not a commercial OEM claim",Strongest real tolerance+material data point found for small dexterous-hand joint housings
R005,2026-09-19,US,AMR/warehouse/logistics,"Warehouse/logistics mobile robot, sensor/structural brackets",bracket/mount/adapter,unknown,LiDAR bracket; stereo camera housing; force/torque sensor adapter; encoder mount,Bracket with tight positional tolerance features for sensor alignment/calibration,Custom bracket around bought-in sensor,Aluminum alloy (unspecified grade) or stainless steel,CNC machining,unknown,unknown,unknown,None,unknown,±0.0005 in on critical features (vendor-stated),unknown,Sensor mounting face (alignment/calibration-critical),unknown,unknown,Positional accuracy of sensor mount affects sensor calibration/alignment,CMM (vendor states CMM inspection on every order),CMM,unknown,unknown,Prototype through limited production run (vendor markets to both),unknown,unknown,unknown,unknown,"None (machining, no tooling)","A CNC job-shop marketing page states custom sensor mounts for robotics can be machined in aluminum and stainless steel to ±0.0005 in on critical features with CMM inspection on every order, and that low-volume machining supports prototype development and limited production runs.",https://www.rivcut.com/cnc-machining/houston/robotics/sensor-mounts/,Manufacturer/vendor site (US CNC job shop),unknown,supplier_marketing,fact (vendor-claimed),"No named OEM customer, no specific robot program, no material grade","vendor-claimed; representative capability claim, not tied to a confirmed AMR OEM part"
R006,2026-09-19,US,Agriculture robot,Field robot implement/chassis mounting hardware,bracket/mount/adapter,unknown,Structural mounting bracket / mounting plate for farm-equipment attachment,unknown,Custom,"unknown (fabricator markets steel, stainless, aluminum generally, not a specific grade for a named agriculture-robot bracket)",Fabrication (laser/robotic welding capability offered),unknown,unknown,unknown,MIG/TIG/laser welding offered by fabricator for steel/stainless/aluminum,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"A metal-fabrication vendor markets custom structural brackets, mounting plates, enclosures, guards, and panels for farm equipment/implements/storage systems, with laser, MIG and TIG welding on steel, stainless and aluminum.",https://lcnw.com/agricultural-manufacturing/,Manufacturer/vendor site (US metal fabricator),unknown,supplier_marketing,"fact (vendor-claimed, generic capability statement)","No named agriculture-robot OEM, no specific part geometry/material/tolerance found; agriculture-robot bracket family is only thinly evidenced",Weak/partial evidence — flagged as a coverage gap for agriculture-robot RFQ anatomy in the coverage audit
R007,2026-09-19,US,Service robot,Delivery/service robot sensor and structural bracket,bracket/mount/adapter,unknown,Sensor/vision-camera mounting bracket,"Bracket sized for thermal conductivity and rigidity (per FEA optimization, generic claim)",Custom bracket around bought-in camera/sensor,Aerospace-grade aluminum alloy or stainless steel (unspecified grade),CNC machining,unknown,unknown,unknown,None,unknown,unknown,unknown,Camera/sensor mounting face,unknown,unknown,"Stiffness-to-mass balance (FEA-optimized, per vendor claim)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Vendor marketing states robot camera/sensor brackets use materials with high thermal conductivity like aluminum alloys, structural rigidity via aerospace-grade aluminum or stainless steel, optimized by FEA to balance stiffness with minimal mass.",https://frigate.ai/product/robotic-vision-camera-bracket/,Manufacturer/vendor site,unknown,supplier_marketing,"fact (vendor-claimed, generic)","No named OEM, no grade, no tolerance",vendor-claimed
R008,2026-09-19,US,Exoskeleton/wearable robot,Powered lower-body exoskeleton (industrial/defense use),bracket/mount/adapter,Actuator mounting bracket / load-bearing frame member,Frame member; actuator mounting bracket,High-stiffness interface preventing deflection under motor torque (generic claim),Custom,"Aluminum or titanium structural elements (Lockheed Martin Onyx: carbon fiber, aluminum, plastic, fabric, and titanium)","unknown (CNC machining implied for metal elements, not confirmed for Onyx specifically)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,Actuator mounting bracket interface (motor torque transfer point),unknown,unknown,Dimensional accuracy within micrometers required for joints/linkages/mounting brackets under repetitive cyclic loading (generic exoskeleton engineering claim),unknown,unknown,unknown,unknown,Production (Onyx is a fielded Lockheed Martin product),unknown,unknown,unknown,unknown,unknown,"University-published profile states Lockheed Martin's Onyx exoskeleton is made of carbon fiber, aluminum, plastic, fabric, and a bit of titanium; separately, a manufacturing-vendor explainer states exoskeleton load-bearing frame members are typically aluminum or titanium, and actuator mounting brackets need high-stiffness interfaces to prevent deflection under motor torque, with mechanical components required to hold dimensional accuracy within micrometers under cyclic loading.",https://www.ucf.edu/pegasus/power-move-onyx-exoskeleton/,"University magazine profile (Onyx material claim); vendor site (bracket/tolerance generic claim, see notes)",unknown,"documentation_verified (Onyx materials, UCF); supplier_marketing (bracket/tolerance generalization)","fact (Onyx material list); inference (generic bracket/tolerance claim applied to exoskeletons broadly, not confirmed specific to Onyx)","No confirmed tolerance, process, or fastening detail for Onyx's own bracket parts","Materials fact is real and OEM-named (Onyx); the tolerance/interface generalization is a separate generic vendor claim, kept distinct per row 41 notes"
R009,2026-09-19,US,AMR/warehouse/logistics,Warehouse/logistics mobile robot chassis,welded frame/chassis,Chassis weldment,Chassis frame (laser-cut panels + weld),"Laser-cut sheet panels, MIG/TIG-welded into a frame, machined at joint interfaces after welding",Custom,"6061-T6 aluminum or mild steel (per vendor generalization, not a named OEM's confirmed spec)",Laser cutting + MIG/TIG welding,CNC machining of post-weld joint interfaces; powder coat or anodize,Powder coat or anodize,Stress relief (implied by squareness spec below),MIG/TIG welded sheet-metal weldment,Production sheet-metal tolerances typically ±0.05-0.1 mm (laser cut/CNC bent features),Welded-frame squareness: 0.015 in/ft (0.4 mm/300 mm) after stress relief; mounting bolt-hole true position ±0.005 in (±0.127 mm),True position (bolt holes); implied flatness/squareness callout on weldment,Wheel-mount / drive-unit mounting interface (chassis torsional stiffness affects sensor alignment per case study),unknown,Post-weld machining of mounting interfaces to restore location accuracy lost to weld distortion,"Torsional stiffness (flat-plate chassis without reinforcement twists under wheel-bump load, causing sensor misalignment/navigation error per case-study example)","unknown (implied dimensional/CMM check post-weld, not stated)",unknown,unknown,unknown,unknown (mix of prototype design-iteration case study and production capability claims),unknown,Chassis twist under asymmetric wheel loading causing sensor misalignment and navigation error (explicit design case-study failure mode),unknown,"Multi-process (cut, bend, weld, machine, finish)","None described (sheet-metal weldment, no casting/molding tooling)","AMR chassis weldments are commonly laser-cut sheet metal (6061-T6 or mild steel), MIG/TIG welded, then machined at joint interfaces, powder-coated or anodized; a cited squareness tolerance is 0.015 in/ft after stress relief with ±0.005 in true position on mounting holes. A documented design case study: an AMR chassis built as a flat, unreinforced plate twisted when one wheel hit a bump, causing sensor misalignment and navigation errors, fixed by adding diagonal gussets or a closed-section tunnel.",https://www.thefabricator.com/thefabricator/article/automationrobotics/the-potential-of-flexible-mobile-robots-in-sheet-metal-fabrication,Trade publication (case-study/design content) + vendor generalization (tolerance figures),unknown,industry_estimate,fact (failure-mode case study is presented as a real design lesson); the specific tolerance numbers are a vendor generalization not tied to one named AMR OEM,No named AMR OEM chassis confirmed against these exact numbers,"Tolerance figures aggregated across multiple sheet-metal-fabrication vendor pages found in the same search; treated as industry-typical, not OEM-specific"
R010,2026-09-19,US,Agriculture robot,Field robot structural chassis,welded frame/chassis,Chassis weldment,Structural steel/stainless chassis frame,unknown,Custom,"Heavy-gauge structural steel and stainless (304/316L), per vendor generalization",TIG/MIG welding,unknown,unknown,"Stress relief (deeply penetrated, stress-relieved welds cited to prevent fatigue failure)","Deeply penetrated, stress-relieved TIG/MIG welds",unknown,unknown,unknown,unknown,unknown,unknown,Fatigue resistance under high dynamic payload,unknown,unknown,unknown,unknown,unknown,unknown,"Weld fatigue failure (motivates stress relief requirement, per vendor claim)",unknown,Multi-process (weld + implied machining),unknown,"A sheet-metal/robotics fabricator states robotics sheet-metal chassis fabrication for high dynamic payloads uses heavy-gauge structural steel and stainless (304/316L) with deeply penetrated, stress-relieved TIG/MIG welds specifically to prevent fatigue failure.",https://shincofab.com/sheet-metal-fabrication-for-robotics/,Manufacturer/vendor site,unknown,supplier_marketing,"fact (vendor-claimed, generic across mobile-robot chassis, not agriculture-specific)",No named agriculture-robot OEM chassis found with confirmed material/process/tolerance,"vendor-claimed generic mobile-robot chassis fabrication capability, applied to the agriculture-robot family as the closest available evidence"
