ID nguon,Loại robot,China manufacturing-fit signal,Nguon URL,Loai nguon,Do tin cay
R001,Humanoid/general-purpose,"unknown (vendor is China-based rapid manufacturing supplier, not stated explicitly as China facility in snippet)",https://www.dakingsrapid.com/robotics/,Manufacturer/vendor site (China-based custom manufacturer),low
R002,Humanoid/general-purpose,n/a (US-based shop),https://carrmachine.com/industries/humanized-robotics/,Manufacturer/vendor site (US CNC job shop),low
R003,Humanoid/general-purpose,"unknown (Hardware Rapid appears to be a China-based CNC vendor per naming convention, not explicitly stated)",https://hardwarerapid.com/portfolio-items/5-axis-cnc-machined-robot-swing-arm-link-bracket-7075-aluminum/,Manufacturer/vendor portfolio page,medium
R007,Humanoid/general-purpose,Sango Automation (China) is cited as an established robot-arm gravity-casting supplier with 10+ years in robotics casting; die casting/investment casting + finish machining is a demonstrated China capability cluster for this part type,https://www.fictiv.com/articles/robotic-arm-components-manufacturing,Manufacturer/marketplace technical guide (Fictiv),medium
R008,Humanoid/general-purpose,Sango Automation (China) markets itself as a specialist robot-arm gravity-casting parts manufacturer/supplier with over 10 years in casting including robotic arm components - direct evidence of a China supplier cluster specializing in this exact part category,https://www.sango-automation.com/casting/robot-arm-gravity-casting-parts.html,Manufacturer/vendor site (China),low
R009,Humanoid/general-purpose,Rally Precision markets itself as a China CNC manufacturer of custom aluminum enclosures,https://www.rallyprecision.com/products/custom-aluminum-enclosure/,Manufacturer/vendor site (China),low
R010,AMR/warehouse/logistics,ShincoFab (China-based per naming/market context) markets lightweight AGV/AMR sheet-metal chassis fabrication using structural steel/stainless with stress-relieved welds - a direct China-supplier example of multi-process AMR chassis capability,https://shincofab.com/sheet-metal-fabrication-for-robotics/,Manufacturer/vendor site,low
R011,AMR/warehouse/logistics,Sheetmetalchina.com markets a dedicated product line for 'AMR Robot Welding Chassis' as precision sheet-metal fabrication - a China custom-sheet-metal manufacturer explicitly targeting this exact AMR part category,https://www.sheetmetalchina.com/robot-welding-chassis/,Manufacturer/vendor site (China),low
R012,AMR/warehouse/logistics,"DRAmetal explicitly offers build-to-print sheet metal fabrication for robotics OEMs covering AGV and AMR structures, robot controller enclosures, EOAT frames, and vision housings - broad multi-assembly China capability evidence",https://drametal.com/industries/robotics/,Manufacturer/vendor site,low
R013,AMR/warehouse/logistics,Named China custom sheet-metal manufacturer markets a specific 'Logistics AGV AMR Robot Picking Storage Custom Metal Tray' product line,https://www.sheetmetalchina.com/custom-metal-tray/,Manufacturer/vendor site (China),low
R014,AMR/warehouse/logistics,n/a (US-based),https://www.mcalpin-ind.com/industries/material-handling,Manufacturer/vendor site (US),low
R021,Agriculture robot,n/a (US-based),https://www.mccartyfabrication.com/agriculture,Manufacturer/vendor site (US),low
R022,Agriculture robot,Beska is a China-based custom CNC manufacturer marketing brackets specifically for 'robotic arms and automation systems where accurate positioning and stable mounting are crucial',https://www.beskamold.com/products/custom-cnc-machined-brackets/,Manufacturer/vendor site (China),low
R026,Inspection/field robot,"WayKen (China-based rapid manufacturing/CNC supplier) publishes detailed ROV housing design/tolerance guidance, indicating direct China manufacturing-capability depth in this niche pressure-housing process",https://waykenrm.com/blogs/underwater-rov-design-and-customization/,Manufacturer/vendor technical blog (China),medium
R027,Inspection/field robot,BJMK (China) explicitly markets 'Customized Titanium Subsea Pressure Housings' with 100% dimensional inspection before release - direct China export-QC capability evidence for this exact niche part,https://www.mk-titanium.com/machining-titanium/machining-titanium-for-subsea/titanium-subsea-pressure-housings.html,Manufacturer/vendor site (China),low
R030,Inspection/field robot,"CNCTAL (China) published this as a customer case study, showing China CNC supplier involvement in root-causing and resolving a tolerance-driven quality issue on a gimbal motor mount",https://www.cnctal.com/uav-parts/,Manufacturer/vendor case study (China),medium
R031,Service robot,Ningbo Reeman Intelligent Technology (China) explicitly markets itself as a 'custom manufacturer that understands unique requirements and provides support from design phase to after-sales service' for commercial cleaning robots - direct China ODM/custom-manufacturing capability for whole-robot service-robot products,https://www.reemanrobotics.com/cleaning-robot-commercial/,Manufacturer/vendor site (China),low
R038,Exoskeleton/wearable robot,"WayKen (China) publishes a dedicated case-study/blog on custom-machined exoskeletons, indicating direct China manufacturing-capability depth in this niche",https://waykenrm.com/blogs/custom-machined-exoskeleton-robot/,Manufacturer/vendor technical blog (China),medium
R039,Exoskeleton/wearable robot,"WayKen presents a dedicated 'Custom Manufacturing and Solutions with Exoskeleton Robot Components' case study, further evidencing China supplier specialization in this niche",https://waykenrm.com/case-studies/custom-manufacturing-and-solutions-with-exoskeleton-robot-components/,Manufacturer/vendor case study (China),low
R043,Maker/startup-built custom robot systems,unknown (Fictiv is a US-headquartered manufacturing marketplace; specific factory locations for this order not stated in the retrieved snippet),https://www.fictiv.com/case-studies/hebi-robotics,"Manufacturing marketplace case study (Fictiv, US) - customer case study, treat as vendor-published but naming a real, verifiable robotics company (HEBI Robotics)",medium
R044,Đa loại robot (cross-category),"China's manufacturing hubs (Shenzhen, Dongguan, Suzhou) host 700+ rapid-prototyping manufacturers; the Shenzhen-Dongguan-Zhongshan cluster enables material sourcing, finishing, and secondary operations to be coordinated faster than dispersed Western supply chains; labor/overhead in the Guangdong corridor runs 30-60% lower than North America/Western Europe for comparable CNC/tooling work, with factories running multiple shifts to compress machine-queue times to days",https://www.rpproto.com/blog/top-10-cnc-machining-services-company-in-china,"Manufacturer/vendor site (China, aggregator/marketing content)",low
R045,Đa loại robot (cross-category),"HLH Rapid operates in both Shenzhen and Dongguan and offers 3-5 axis CNC machining, turning, EDM, 3D printing, vacuum casting, and injection molding as a single-supplier multi-process capability",https://hlhrapid.com/cnc-machining-services/,Manufacturer/vendor site (China),low
R046,Đa loại robot (cross-category),"China's export-QC ecosystem includes AQSIQ oversight and a standardized staged-inspection process (IPC -> DUPRO/PSI), plus comprehensive supplier audits covering manufacturing capability (shop floor/machinery review), quality-control procedures, and traceability/document review - direct evidence of export-ready QC/inspection capability",https://www.qcadvisor.com/blog/china-quality-control-and-inspection/,Third-party QC/inspection service provider site (not the manufacturer itself - more independent than a factory's own claim),medium
R047,Đa loại robot (cross-category),China supplier audits explicitly check for material certificates with heat/lot traceability and ISO 9001 certification scope - direct evidence this capability exists and is independently checkable (not just a vendor's own claim),https://insight-quality.com/services/china-quality-control-inspection/,Third-party QC/inspection service provider site,medium
R048,Đa loại robot (cross-category),"n/a (this is evidence of a domestic AU alternative, not China capability)",https://robycstechnology.com.au/cnc-machining-sydney/,Manufacturer/vendor site (AU),low
