intent_id,manufacturing_sub,canonical_intent,included_queries,buyer_problem,RFQ_object,commercial_strength,technical_depth,SERP_fragmentation,page_separation_reason,cannibalization_risk,US_signal,AU_signal,evidence_urls,confidence
INT-01,robot joint housing,Custom CNC machining of robot/humanoid joint housings to buyer's own drawing,Q001;Q002(partial-excluded);Q003,"Needs a machined housing (bearing seats, motor face, cable channel) for a robot joint built to their own design, not an off-the-shelf integrated joint module","Robot joint housing (aluminum/steel/titanium, CNC milled)",moderate-strong,"high (bore concentricity 0.0002in, bearing/motor/encoder interfaces, anodizing, 5-axis setups)","high - fragmented among specialist CNC job shops, no giant platform",Distinct RFQ object (a housing shell) from an assembled/integrated joint module (a different buyer/product),"Low with OBJ pages; MEDIUM with bare 'robot joint housing manufacturer' query which pulls toward integrated-joint-module sellers (excluded intent, see INT-EXC-01)","Confirmed - multiple dedicated specialist CNC-shop pages already rank (JADE CNC, ptsmake, RivCut, DakingsRapid)","UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/ ; https://www.ptsmake.com/custom-cnc-machined-humanoid-robot-joint-components/,medium-high
INT-EXC-01,robot joint housing,[EXCLUDED] Buying an assembled/integrated robot joint module (motor+gearbox+encoder+housing),Q002,"Wants a complete off-the-shelf or semi-custom joint actuator product, not custom machining of a housing to their own drawing","N/A - different product category (component brand), not an RFQ-routable machining job",strong (but wrong buyer for our model),n/a,"moderate - dominated by branded component makers (CubeMars, igus, Makon Gear)",Different product/buyer than our RFQ-routing model; documented to explain why 'joint housing manufacturer' should not be the page's target phrase,High if page targets this phrase - would rank for/attract the wrong buyer,Confirmed distinct intent exists but is out of scope for this pilot,UNKNOWN,https://www.makongear.com/product-category/robot-joints-and-harmonic-reducers/robot-joint-module/,medium
INT-02,robot actuator housing,Custom CNC machining of humanoid/robot actuator housings,Q004;Q006,"Needs a precision aluminum/titanium actuator shell machined to spec (bearing seats, motor face, cable routing) for a humanoid/robot joint",Robot actuator housing,moderate-strong,"high (thermal management, weight pockets, sealing faces, 7075-T6 + hard anodize)",high,Distinct component from joint housing in competitor content (RivCut/DAXIN run separate actuator-housing pages) though conceptually adjacent,"Medium with joint housing (INT-01) - many buyers/sources treat 'joint' and 'actuator' housings as the same object; keep tightly cross-linked and disambiguate in copy (actuator = motor-facing subassembly, joint = full assembled housing)",Confirmed - RivCut and DAXIN run dedicated humanoid-actuator-housing pages,"UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://www.rivcut.com/cnc-machining/seattle/robotics/actuator-housings/ ; https://daxincnc.com/resources/humanoid-robot-actuator-housing-machining/,medium
INT-03,harmonic reducer/drive housing,Custom CNC machining of harmonic-drive/strain-wave-gear housings (bore/pilot fits for a reducer the buyer sources separately),Q008,"Needs a housing machined around a purchased harmonic-drive component set (H6/H7 bores, 0.025mm pilot fits, IP54 sealing)",Harmonic reducer/drive housing,weak-moderate,high but thin content volume (few dedicated pages found),"moderate - only 2 clearly dedicated pages found (ptsmake, RMT Products/Core77) vs many generic robot-parts pages","Technically distinct tolerance/interface spec (component-set bore fits) from joint/actuator housing, but overlapping buyer and overlapping content in practice",HIGH with INT-01/INT-02 - thin standalone evidence; recommend parent-child (child page nested under joint/actuator housing) rather than a fully independent top-level page,Weak-moderate - real but thin dedicated content (2 pages),UNKNOWN - not searched with AU framing,https://www.ptsmake.com/cnc-machined-harmonic-drive-housings-for-humanoid-joints/ ; https://www.core77.com/profiles/RMT-PRODUCTS-LIMITED/Custom-Precision-CNC-Machining-for-Robot-Harmonic-Drive-Parts,low-medium
INT-04,robot shaft,"Custom CNC turning/grinding of robot/servo shafts (drive shafts, pins, dowel shafts)",Q009;Q010,Needs a precision-turned shaft (concentricity/runout critical) for a robot joint or drive train,"Robot shaft (drive shaft, motor shaft, pin shaft)",strong,"high (Swiss turning, sub-micron tolerances, 17-4PH heat treatment, hard-anodized aluminum for pick-and-place)",high - fragmented among many specialist shaft/CNC-turning shops,Clearly distinct turned/rotational-part object vs. milled housings/brackets,Low,"Confirmed strong - dedicated content from lebometal.com (2 pages), Dajin Precision, Rapidaccu, Aztalan","UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://lebometal.com/cnc-shafts-robotics-automation/ ; https://www.dajinprecision.com/customize-cnc-turning-mechanical-parts/motor-shaft,high
INT-05,bearing housing/seat,"Custom CNC machining of robot bearing housings/seats (pillow blocks, flange mounts, integrated bearing seats)",Q011(partial);Q012,Needs a precision-bored housing or integrated seat feature that locates and protects a bearing within a robot joint/arm,Bearing housing / bearing seat,moderate-strong,"high (coaxiality <=0.003mm, CBN boring finish, pillow-block vs. integrated-seat design choice)","high, but 'manufacturer' framing partly collapses into bearing-COMPONENT brands (Kaydon, GMN, CCTY) rather than housing machinists","Distinct machining feature/object, but increasingly delivered as an integrated feature WITHIN joint/actuator housings rather than a separate physical part",HIGH with INT-01/INT-02 (joint/actuator housing) - recommend parent-child relationship: bearing-seat page covers the specific tolerance/inspection topic and cross-links into the housing object pages rather than competing head-on,Confirmed - zintilon.com runs a dedicated bearing-housing page; ptsmake/vmtcnc/yicenprecision also cover it,"UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://www.zintilon.com/industry/robotics/bearing-housings/ ; https://vmtcnc.com/product-item/industrial-bearing-seat-machining/,medium
INT-06,motor mount,"Custom CNC machining of robot/servo motor mounts (mating faces, mounting-hole patterns)",Q013,"Needs a flat, precisely bolted motor-mounting plate/bracket that keeps a servo motor aligned to a gearbox or joint axis",Robot motor mount,weak-moderate,moderate (flatness/bolt-pattern alignment is real but thin as its own topic),"high but object rarely gets a DEDICATED page - almost always bundled into general 'custom robot parts' pages (Machining Concepts, JADE-CNC, CNCTAL)","Real distinct RFQ object, but weak standalone content differentiation in the market","HIGH with bare 'robot motor mount manufacturer' (Q014, hobby/competition-robotics retail contamination) and with bracket/adapter page (both are small mounting-interface parts)","Confirmed as a real object, but SERP shows it is almost never a standalone page for competitors - and the 'manufacturer' framing is captured entirely by hobby/FRC retail (VEX, REV, RobotShop, SuperDroid, FingerTech), not industrial RFQ buyers",UNKNOWN,https://machiningconcepts.com/custom-robot-parts/ ; https://www.vexrobotics.com/276-1594.html,low
INT-EXC-02,motor mount / bracket,[EXCLUDED/AVOID] Bare 'robot motor mount' or 'robot bracket' as a page title/H1 target,Q014;Q017,n/a - wrong segment,n/a,"n/a (retail, not RFQ)",n/a,"low - dominated by FIRST Robotics Competition (FRC) documentation and hobby/education retail (VEX, REV Robotics, RobotShop, goBILDA, SuperDroid, FingerTech)",Confirms these bare phrases must never be the page's primary target keyword/H1 - always pair with 'custom CNC machining',n/a,"Confirmed contamination in 2 independent searches (Q014, Q017)",UNKNOWN,https://docs.revrobotics.com/ion-build/structure/brackets ; https://www.robotshop.com/collections/mounts,high (as a negative finding)
INT-07,bracket/mounting adapter,Custom CNC machining of robot/cobot mounting brackets and adapter plates,Q015;Q016,"Needs a bracket/adapter plate machined to connect a robot arm, EOAT, sensor, or fixture to a specific interface (bolt circle, dowel pattern)",Robot bracket / mounting adapter plate,moderate-strong,"moderate-high (multi-axis milling for complex geometry, aerospace-grade tolerance claims, material/finish options)",high - fragmented among specialist bracket-machining shops once framed as CNC/custom,Distinct RFQ object once the CNC-machining qualifier is present; must avoid the bare 'bracket' framing (see INT-EXC-02),Medium with EOAT/mounting-adapter application hub (APP08) and with motor mount (INT-06),"Confirmed - lsrpf.com, rallyprecision.com, fsfab.com, vmtcnc.com, falconcncswiss.com all have dedicated bracket-machining pages","UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://www.lsrpf.com/product/cnc-machined-mounting-bracket-for-aerospace-robotics-ls ; https://vmtcnc.com/cnc-brackets/,medium-high
INT-08,gripper fingers/jaws,Custom-machined robot gripper fingers/jaws (application-specific contours for parallel/adaptive grippers),Q018;Q019,Needs application-specific gripper fingers/jaws (custom contour to grip a particular part) machined for an existing gripper body,Gripper finger / jaw,strong,"high (wire EDM, tolerances to +/-0.0005in, elastomer/tool-steel/aluminum options, quick-change interfaces)","high - many specialists, plus a direct online CAD-to-part configurator (GripShape) proving live commercial demand",Clearly distinct RFQ object with its own dedicated buyer journey (a physical accessory ordered repeatedly per new part number),Low-medium with EOAT hub (APP08) - keep as a specific child page,"Strong confirmed - GripShape (online configurator), Kurt Workholding, Stryver, Rohtek, RivCut (3 city pages), zintilon","UNKNOWN - AU-specific query ('...Australia') surfaced integrators/hobby retail, not specialist manufacturers; WebSearch tool is US-localized, so absence of AU-specific results is not proof of absence of AU demand",https://www.gripshape.com/ ; https://www.zintilon.com/industry/robotics/custom-grippers/,high
