ID,Ngày thu thập,Quốc gia,Loại robot,Dạng robot/use case,RFQ family,Custom assembly,Custom part,Geometry/feature,Coverage cell,Bought-in vs custom,Material grade,Primary process,Secondary process,Finish/coating,Heat treatment,Welding requirement,General tolerance,Critical tolerance,GD&T,Critical interface,Bearing/shaft fit,Motor/gearbox/flange interface,Thread/insert/fastening,Assembly requirement,Critical characteristic,Inspection method,Inspection equipment,FAI requirement,Material cert/traceability,Functional/leak/pressure test,Lifecycle stage,Revision intensity,Failure/rework reason,Repeat/replacement,Single/multi-process,Tooling/NRE need,Raw claim/fact,Source URL,Source type,Publication date,Confidence,Fact/inference/hypothesis,Conflict/contradiction,Unknown/gap,Notes
R0001,2026-09-20,US/Global standard,Industrial arm/cobot,"Generic bearing-bore housing design guidance (cross-robot-category engineering reference, not tied to one OEM)",precision CNC housing,unknown,Machined housing carrying a radial bearing,Bored housing seat for stationary outer race of a radial ball/roller bearing,tolerance/GD&T x bearing-shaft fit,Custom housing; bearing itself bought-in,unknown (guidance is alloy-agnostic),CNC boring/reaming,unknown,unknown,unknown,None,IT8-IT9 achievable on a modern CNC without special tooling (~+/-0.001-0.002 in on 25 mm),H7 housing bore for stationary bearing outer race,"unknown (fit class specified, not a formal GD&T callout in this source)",Bearing outer-race seat in housing bore,H7 bore / bearing OD gives sliding installable-without-press fit (~H7/g6-H7/h6 equivalent),unknown,unknown,Bearing installed/removed without a press when housing held to H7,Housing bore roundness/size controls bearing seating and thermal-fit behavior,"unknown (bore gauge/CMM implied by fit-class control, not stated)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,None (standard boring/reaming),"ISO 286-based engineering references state a CNC machine in good condition routinely holds IT8-IT9 without special tooling, and that machining the housing bore to H7 against a bearing's standard factory OD gives a sliding installable fit; thermal expansion mismatch (e.g., steel bearing H7/p6 pressed into aluminum housing) must be considered separately.",https://www.rapiddirect.com/blog/mastering-bearing-fit-tolerance/ ; https://tflbearing.com/blog/bearing-fits-shaft-housing-tolerances-guide.html,Supplier/engineering-reference technical guide (bearing fit),"2026 (page undated, retrieved 2026-09-20)","vendor-claimed (engineering-reference guide, not a named-robot OEM drawing)",fact (generic engineering guidance),none,No specific robot OEM part confirmed against this fit; generic bearing-housing engineering practice,Cross-applies to any robot joint/housing with a stationary bearing seat; diversified source vs Pass 3's single Harmonic Drive citation
R0002,2026-09-20,US,Industrial arm/cobot/humanoid,"Robot joint/actuator housing, general CNC aluminum practice",precision CNC housing,unknown,Machined aluminum actuator/joint housing,General housing body with external walls and internal bore(s),material x finish/coating,Custom,6061-T6 aluminum (most common starting choice per source),CNC machining,Type II or Type III anodize,"Type III hard anodize (MIL-A-8625F), 25-75 micron thick, black or natural","unknown (T6 temper is mill-supplied, not a separate in-house heat treat step)",None,unknown,Pre-anodize bores machined oversize/undersize to compensate: Type III film at 0.002 in default adds ~0.001 in per external surface and shrinks bores by the same amount,unknown,Bores/fit features that must retain an H7 or g6 band after anodize,unknown,unknown,unknown,unknown,Anodize rack-to-rack thickness spread (12-20 micron) can consume an entire H7/g6 tolerance band if not masked/compensated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Toleranced bore/fit feature going out of spec after hardcoat anodize if not masked or pre-compensated,unknown,Multi-process (machine + anodize),"None (standard process), but requires masking fixture for selective anodize","A Type III hardcoat anodize film at the default 0.002 in build adds roughly 0.001 in per external surface and shrinks bores by the same amount, so toleranced features must be machined to a pre-anodize dimension; when a bore carries a fit class the surface must be masked and machined to final size because the 12-20 micron rack spread on a hardcoat run leaves no room inside an H7 or g6 band. Standard CNC finish on 6061-T6 lands at Ra 0.8-1.6 micron.",https://www.epocrafter.com/machining-6061-for-anodize/,Manufacturing-platform technical guide,2026 (retrieved 2026-09-20),vendor-claimed,fact,none,Not tied to a named robot OEM part,Diversifies finish/coating evidence away from Pass 3's DakingsRapid-only hard-anodize claim
R0003,2026-09-20,Global standard (US/AU applicable),Cross-category (any CNC-machined part),First-article inspection process for CNC housings,precision CNC housing,unknown,Machined housing/structural part requiring FAI,unknown (standard applies regardless of geometry),inspection x FAI x material cert,Custom,Referenced example: Al6061-T6 block,CNC machining,Hard anodize (referenced example special process),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"100% dimensional inspection against all drawing callouts on first production-representative unit, using calibrated equipment; functional and visual inspection per workmanship standard","Calibrated dimensional inspection equipment (CMM/gauges implied, not itemized in source)","AS9102 FAIR: Form 1 (part-number accountability), Form 2 (product accountability/material+process list), Form 3 (characteristic accountability/verification)","Raw material certs (e.g., Al6061-T6 block) and special-process certs (e.g., hard anodize spec number) must be listed in the FAIR package, aligned to AS9100D/ITAR where applicable",unknown,First article / start of production run,unknown,unknown,unknown,unknown,unknown,"AS9102 documents FAI on three forms (Part Number Accountability, Product Accountability, Characteristic Accountability/Verification/Compatibility Evaluation) that together record raw materials/components, dimensional measurements, special processing, and functional testing for a first production-representative unit.",https://iaqg.org/standard/9102-first-article-inspection-requirement/ ; https://saemobilus.sae.org/standards/as9102-aerospace-first-article-inspection-requirement,Standard (SAE/IAQG AS9102),"AS9102 Rev C (2014), retrieved 2026-09-20",documentation_verified,fact,none,No named robot-OEM housing FAIR example found; generic standard application,"Fills the FAI gap Pass 3 flagged for precision CNC housing (Pass 3 only had a generic AS9102 citation, not this structural detail)"
R0004,2026-09-20,US,"Legged robot (quadruped, e.g. Spot-class)","Screw-actuator upper-leg housing, patented design",precision CNC housing,Leg actuator module,Machined aluminum upper-leg body housing screw actuator + motor + nut/carrier,Internal linear-travel bore for nut/carrier assembly moving within the leg member,geometry/feature x custom part,Custom housing; motor/screw are bought-in components,"unknown (patent describes 'machined aluminum body', no alloy grade given)",CNC machining,unknown,unknown,unknown,None,unknown,unknown,unknown,Nut/carrier linear bore inside the leg housing,unknown,Motor mounted within/at the machined leg body per patent,unknown,Motor and screw actuator integrated within the machined leg body so the nut/carrier translates linearly inside it,unknown,unknown,unknown,unknown,unknown,unknown,"Production (patented, shipping quadruped platform design lineage)",unknown,unknown,unknown,unknown,unknown,"US Patent US20180172121A1 (assigned Boston Dynamics, Inc.) describes a screw actuator for a legged robot in which the motor and screw actuator are housed within a machined aluminum body forming the upper leg member, with a nut/carrier mechanism moving linearly within that housing.",https://patents.google.com/patent/US20180172121A1/en,"US patent (named OEM, Boston Dynamics)","Filed/published patent record, retrieved 2026-09-20",documentation_verified,fact,none,"No alloy grade, tolerance, or finish given in the patent text found",Named-OEM (Boston Dynamics) primary patent source; independent of Pass 3's Unitree teardown
R0005,2026-09-20,US,Humanoid/general-purpose,"Bipedal humanoid arm/leg structural housing, independent teardown",precision CNC housing,Arm/leg actuator housing and structural frame,Upper-arm output flange housing,"Output flange geometry machined from billet, not cast","process x material (repeat/cross-check of Pass-3 R002, kept for continuity)","Custom (machined billet, explicitly not cast)",Al 7075,5-axis CNC machining,unknown,unknown,unknown,None,unknown,unknown,unknown,Output flange (actuator-to-limb structural interface),unknown,unknown,unknown,unknown,Strength-to-weight under bending load at output flange,unknown,unknown,unknown,unknown,unknown,Production (shipping humanoid platform),"CNC chosen over casting specifically to allow ongoing part modification as the robot develops, implying frequent revision",unknown,unknown,"Single-process (machining only, no casting)",None (machining avoids casting tooling investment),"Independent teardown analysis states many of the Unitree G1's silver structural parts are CNC-machined from aluminum billet rather than cast, avoiding casting-tool lead time/capital and allowing ongoing part modification; the upper arm uses 5-axis machining of Al 7075 for strength-to-weight under bending at the output flange.",https://humanoid.guide/unitree-g1-teardown-reveals-actuator-and-cooling-tradeoffs/,Independent technical teardown/analysis blog,"unknown, retrieved 2026-09-20",documentation_verified,fact,none,No tolerance/GD&T/finish/inspection detail given,Retained from Pass 3 (R002) as baseline continuity reference only; not double-counted as new evidence weight
R0006,2026-09-20,US,Cobot (collaborative arm),Cobot joint module face-flange connection design,precision CNC housing,Joint module (housing + flange),"Machined joint housing with face flange, pilot bore, dowel holes","Face flange with pilot/register diameter, 2 dowel-pin locating holes, ring of axial clamp bolt holes",geometry/feature x GD&T x thread/fastening,Custom,"unknown (aluminum implied by context, not stated)",CNC machining,Reaming (dowel holes),unknown,unknown,None,unknown,Dowel-pin holes reamed to H7 tolerance or tighter,Concentricity of pilot bore relative to bolt-hole pattern controlled by GD&T position tolerance of 0.02 mm or less on good drawings,Face flange + pilot/register diameter aligning two joint-module halves,"unknown (pilot register described as cylindrical locating surface, not itself a bearing seat)",Face-flange-with-pilot pattern recommended over side-screw-against-flat for interfacing harmonic reducers/cross-roller bearings/output flanges in 20-100 Nm cobot joints,"Multiple axial clamp bolts around the flange provide stable clamp load; dowel pins provide indexing and shear backup, not primary retention","Face flange carries moment load, pilot/cylindrical surface keeps axis aligned, axial bolts provide clamp load, dowels provide precise indexing",Pilot-bore-to-bolt-pattern concentricity directly affects joint axis alignment and repeatability,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Side-screw-against-a-local-flat joint connections are less reliable/harder to machine and assemble consistently than face-flange-plus-pilot-plus-dowel designs,unknown,Multi-process (mill + ream),unknown,"For collaborative arm joints in the ~20-100 Nm range, a face flange with a pilot, two locating pins and multiple axial bolts is a more reliable, easier-to-machine, easier-to-assemble design than a side screw reacting against a local flat; the critical dimension is pilot-bore-to-bolt-pattern concentricity, called out with GD&T position tolerance of 0.02mm or less, and dowel holes are reamed to H7 or tighter.",https://zanerobotics.substack.com/p/better-joint-connections-for-collaborative,Independent robotics engineering blog,"2026, retrieved 2026-09-20",documentation_verified,fact,none,Not tied to one named OEM cobot; generic engineering best-practice across cobot joint designs,Strong independent (non-vendor-marketing) source; directly answers the issue's own worked example depth target; also cross-applies to joint/structural-link family
R0007,2026-09-20,US,Cross-category,Design-for-machining prototyping practice for actuator housings and precision joints,precision CNC housing,unknown,Servo motor housing / precision joint prototypes,unknown,lifecycle x revision intensity,Custom,unknown,CNC machining (implied),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Prototype,"Prototypes exist specifically to evaluate whether machining strategy is stable, whether inspection methods are practical, and whether assembly can be performed efficiently before committing to production tooling",Design changes discovered after production tooling/supply-chain commitment are far more expensive than changes made during prototyping,unknown,unknown,Production tooling/supply-chain commitments deferred until after prototype validation,"Prototypes help evaluate manufacturing readiness (machining strategy stability, inspection practicality, assembly efficiency) for complex components including servo motor housings and precision joints, because changes made during prototyping are far less expensive than changes made after production tooling and supply chain commitments are established.",https://www.fictiv.com/articles/robotics-manufacturing-processes-components-sourcing,Manufacturing-platform technical guide (Fictiv),"2026, retrieved 2026-09-20",vendor-claimed,fact,none,"Generic prototyping-value claim, not tied to a specific robot program's revision count","Fills lifecycle/revision-intensity gap Pass 3 flagged for precision CNC housing; diversifies vendor source (Fictiv, not DakingsRapid)"
R0008,2026-09-20,US,Cross-category (revolute joint housings generally),Cross-roller-bearing joint housing bore spec,precision CNC housing,unknown,Housing bore carrying a cross-roller bearing in a revolute joint,Bore for cross-roller bearing,tolerance/GD&T x critical interface,Custom housing; cross-roller bearing bought-in,unknown,CNC boring,unknown,unknown,unknown,None,unknown,Bore tolerance +/-0.0005 in (+/-0.013 mm) with cylindricity within 0.0003 in (0.008 mm),Cylindricity 0.0003 in on the bearing bore,Cross-roller bearing bore in revolute joint housing,+/-0.0005 in bore tolerance for cross-roller bearing seating,unknown,unknown,unknown,Surface finish Ra 16-32 microinch (0.4-0.8 micron) required on the bearing bore,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Cross-roller bearings in revolute robot joints typically require a bore tolerance of +/-0.0005 in (+/-0.013 mm) with cylindricity within 0.0003 in (0.008 mm) and surface finish of Ra 16-32 microinch (0.4-0.8 micron).,https://www.fictiv.com/articles/robotics-manufacturing-processes-components-sourcing,Manufacturing-platform technical guide (Fictiv),"2026, retrieved 2026-09-20",vendor-claimed,fact,Numerically consistent with but independent of Pass 3's H7/h6 Harmonic Drive figures; different bearing type (cross-roller vs circular-spline flexspline),Not tied to a named OEM joint,"Second independent numeric tolerance source for joint-housing bearing bores, reducing single-vendor dependence"
R0009,2026-09-20,US,Cross-category,"Kinematic-coupling precision fixture/interface housing (adjacent precision-engineering discipline, applied here to bearing/register-bore housing tolerance context)",precision CNC housing,unknown,Precision-ground kinematic coupling housing/protrusion,Cylindrical shank + ground spherical contact surface machined into/onto a precision housing,process x inspection (repeatability),Custom,unknown,CNC machining (turning) then cylindrical grinding of spherical surfaces,Precision grinding,unknown,unknown,None,unknown,Repeatability of ~5 micron demonstrated for a 3-groove kinematic coupling fixture (ARKC),unknown,Kinematic coupling groove/ball interface,unknown,unknown,unknown,unknown,Repeatable relocation accuracy of the coupling interface,"unknown (precision metrology implied, not itemized in available snippet)",unknown,unknown,unknown,unknown,Research/precision-engineering prototype,unknown,unknown,unknown,Multi-process (turn + grind),unknown,"An MIT precision-engineering thesis on an Accurate and Repeatable Kinematic Coupling (ARKC) fixture reports the coupling achieved accuracy and repeatability of approximately 5 microns; the manufacturing sequence machines a block protrusion with cylindrical shank first, then holds the shank in a collet and cylindrically grinds the spherical contact surfaces.",https://dspace.mit.edu/handle/1721.1/8135,Academic thesis (MIT),"unknown, retrieved 2026-09-20",documentation_verified,fact,none,"Not a robot-housing part per se; adjacent precision-fixturing discipline applied by analogy, flagged explicitly","Academic primary source for repeatability/process-capability context on precision registration features, distinct from vendor marketing"
R0010,2026-09-20,US,Cross-category,Robot actuator/joint housing dowel-pin design practice,precision CNC housing,unknown,Machined housing with dowel-pin locating holes,Press-fit dowel hole (one side) + slip-fit dowel hole (mating side) for guided repeatable assembly,assembly x thread/fastening,Custom,unknown,CNC machining + reaming,unknown,unknown,unknown,None,unknown,"unknown (fit class defined per design, not numerically stated here)",Position tolerance on dowel hole location relative to mating pattern; example: SMAC LAR31 actuator holds 17 micron true-position tolerance on its dowel holes,Dowel-pin locating interface between mating housing halves/plates,unknown,unknown,"Screws clamp the actuator assembly while dowels locate it; standard pattern is one press-fit side + one slip-fit side, dowel holes finished (reamed) after other finishing processes and never removed thereafter",Note assembly orientation for repeat assembly of mating dowel pins; design for one-configuration (fool-proof) assembly where possible,Sum of hole-diameter and hole-location tolerances on both mating parts drives cumulative positioning/repeatability error,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Treating dowel pins as 'last-minute insurance' rather than a designed fit/position tolerance is called out as a common design mistake,unknown,unknown,unknown,"Dowel pins should not be treated as last-minute insurance; standard GD&T logic uses one side press-fit and the mating side slip-fit for guided assembly, with hole quality controlled after finishing processes; a real high-precision actuator (SMAC LAR31 linear-rotary actuator) holds 17 micron true-position tolerance on its dowel holes.",https://www.engineersedge.com/dowel_pin.htm ; https://www.powertransmission.com/high-precision-brushless-dc-rotary-motors-optimal-for-pick-and-place-robots,Engineering reference site + named-product datasheet coverage (SMAC),"unknown, retrieved 2026-09-20",documentation_verified,fact,none,"SMAC LAR31 is a linear-rotary actuator product, not itself a robot-housing drawing; used here for the numeric fastening/locating precision it discloses","Named-product datasheet-level numeric fact (17 micron true position), independent of DakingsRapid/vendor-marketing chain"
