Loại robot,So dong evidence,Quoc gia xuat hien,Dang san pham / use case (vi du),Buyer/User type (vi du),Ghi chu pham vi
Humanoid/general-purpose,9,"Global (China casting supplier); Global (China supplier, sells to US/AU-style export customers); US",Humanoid + cobot manufacturer supply (multi-customer CNC shop) | Humanoid robot arm/link assembly | Humanoid robot joint (actuator) module | Humanoid robot joint module - bearing seat + anodized housing,"Academic/research lab, hobbyist builder | Humanoid robot OEM | Humanoid robot OEM/integrator | Humanoid/cobot robot OEM",
AMR/warehouse/logistics,6,Global (China fabricator); Global (vendor); US,"AMR robot controller enclosure, EOAT frame, vision housing, AGV/AMR structure (build-to-print) | AMR robot welded chassis | AMR/AGV LiDAR and camera sensor mounting | AMR/AGV chassis and structural frame",AMR robot OEM | AMR/AGV robot OEM | AMR/AGV robot OEM or integrator | AMR/AGV robot OEM or warehouse integrator,
Cobot/industrial arm/machine tending,6,US,"CNC machined robot end-effector product families | Custom EOAT for cobot pick-and-place / machine tending | Custom sensor mounts for cobot/robot integration (camera, LiDAR, encoder) | Jigs and fixtures for robotic/CNC workholding",Cobot integrator / end user (manufacturer automating a process) | Cobot/robot integrator | Manufacturer automating CNC machine tending | Manufacturer/integrator,
Agriculture robot,6,"AU; Global (vendor, tolerance data used for robotics/automation bracket category); US; unknown (academic); unknown (academic, general/EU research context)","Agricultural robot/equipment custom mounting hardware | Avocado harvesting end-effector | Custom bracket for robotic arm/automation mounting (applicable to ag robot mounts) | Modular agricultural robot platform, customizable per farm task (SwarmFarm SwarmBot)",Ag equipment/robot OEM | Ag-tech research/robot developer | Australian farms (200+ robots sold across Australia) | Robot/automation OEM,
Inspection/field robot,5,"Global (China CNC vendor, case study); Global (China supplier); Global (China supplier, US/AU market via export); US; US/UK (case example)",Deep-rated subsea/underwater titanium pressure housing | Power-line inspection drone with custom gimbal | Survey/mapping drone gimbal motor mount | Underwater ROV pressure housing (shallow and deep-rated),"ROV/AUV OEM or research institution | ROV/AUV/subsea equipment OEM | ROV/marine robotics developer (research, hobbyist, small commercial) | Survey drone manufacturer",
Service robot,5,Global (China manufacturer); Global (vendor); US,"Commercial cleaning robot for hospitality/food service (custom variant) | Hospital courier/delivery robot (TUG, Aethon) | Hospital mobile-manipulator service robot (Moxi, Diligent Robotics) | Robot housing / sheet-metal enclosure (general, applicable to service robots)",Hospital (healthcare facility) - TUG sold (not subscription) to hospitals per source | Hospital (healthcare system) - Moxi sold on a subscription/service model | Hospitality/commercial cleaning robot brand or operator wanting a customized product | Robot OEM (service/delivery/mobile robot),
Mining/autonomous haulage,5,"AU; Global (autonomous-vehicle sensor context, applicable to mining haul trucks); Global (mining OEM context)","Autonomous haulage - conversion of Caterpillar trucks to a different AHS platform | Autonomous haulage retrofit kits (general capability, Caterpillar Command) | Autonomous haulage system (AHS) retrofit of existing haul trucks | Battery-electric haul truck pilot/trial (Cat 793 XE Early Learner)","Autonomous-vehicle/mining-truck retrofit integrator | BHP + Rio Tinto (joint trial), Caterpillar as OEM | Mining company (Rio Tinto) | Mining company (Rio Tinto) retrofitting an existing truck fleet",
Exoskeleton/wearable robot,4,Global (China supplier); US,"Custom exoskeleton robot components (case study) | Industrial full-body powered exoskeleton (Sarcos Guardian XO, alpha units) | Medical/rehabilitation exoskeleton (Ekso Bionics flagship suit) | Rehabilitation/industrial exoskeleton frame and joint housing",Exoskeleton OEM | Exoskeleton OEM (medical/rehab or industrial) | Hospital/rehabilitation clinic (medical exoskeleton) - real named product line | Industrial end user (aerospace/construction/defense/logistics/manufacturing) - Sarcos as OEM,
Maker/startup-built custom robot systems,4,EU (context; relevant as comparator to US/AU startup manufacturing friction); US,Hardware startup prototype-to-production manufacturing support | Robot CAD-to-manufacturing RFQ workflow best practice | Robotics hardware startup transitioning from prototype to volume production (HEBI Robotics) | Robotics startup hardware development - prototype part sourcing,HEBI Robotics (robotics component/actuator manufacturer) | Hardware/robotics startup | Robotics/automation engineering team preparing an RFQ | Robotics/hardware startup engineering team,
Đa loại robot (cross-category),15,"AU; Global (China export QC context); Global (China); Global (industry-general, applies across all categories); US",Australian CNC machining supplier explicitly serving industrial robot systems (as a domestic alternative to China sourcing) | Australian import/customs process for manufacturing equipment and machinery | Australian manufacturing automation adoption context (2026 outlook) | Australian manufacturing sector structural constraints on domestic robotics/automation capability,"Equipment operator/maintenance team | Industrial robot OEM/integrator in Australia | n/a (manufacturing-capability signal, not a single buyer)",
