ID,Ngày thu thập,Quốc gia,Loại robot,Buyer/User,Use case,Lifecycle stage,Subsystem,Component,Material,Manufacturing process,Supplier/Company,Supplier country/region,China advantage signal,US/AU friction signal,Raw claim / fact,Source URL,Source type,Publication date,Exact evidence snippet / paraphrase ngắn,Confidence,Fact / Hypothesis / Inference,Missing / Unknown,Notes
R083,2026-09-19,AU,Humanoid / general-purpose,Warehouse/logistics operators,Warehouse humanoid pilot,pre-pilot,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"As of end of August 2026, no Australian warehouse operator has publicly announced a live humanoid deployment, pilot, or proof of concept; NASA's Valkyrie robot worked at Woodside Energy (Perth) in 2023 as an industrial (not warehouse-logistics) use case. 20+ Unitree humanoid models are available via AU distributors, A$12,800-A$302,500.",https://www.ascla.org/humanoids-are-coming-to-the-warehouse/,industry association / publication,2026-08,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"No AU warehouse humanoid pilot/deployment located (gap confirmed, closes Pass-1 gap #1 with an explicit negative-evidence record rather than silence).",Confirms and dates the Pass-1 flagged AU-humanoid gap with a named source.
R084,2026-09-19,AU,Maker / hobby / education robot,K-12 / university students,Robotics competitions (VEX),N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,VEX Robotics 2025-2026 Australian National Championships hosted 200 competitive robotics teams from across Australia competing for spots at VEX Worlds; South Australia was named the new host state for the biennial championship.,https://news.vex.com/2025/03/17/australian-robotics-teams-aim-for-the-world-stage/,industry publication,2025-03,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"No AU-equivalent of the US FIRST 93,000-student scale figure found; VEX AU is reported in team counts, not student counts, so direct US/AU comparison remains unknown.","Closes part of Pass-1 gap #2 (AU maker/hobby participation) with a real, dated AU figure; comparison to US scale still not apples-to-apples."
R085,2026-09-19,AU,Startup-built custom robot systems,VC-backed robotics startups,Robotics/hardware startup funding,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Hardware, Robotics and IoT raised A$297M as part of total Australian startup funding in 2025; the 13 top-ranked AU robotics startups tracked by Seedtable have raised a combined US$339M to date (2026).",https://www.cutthrough.com/insights/state-of-australian-startup-funding-2025,market/industry publication,2025,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Figure is sector-wide (hardware+robotics+IoT combined), not robotics-only; no single-year robotics-only AU total located.",Closes Pass-1 gap #3 (no AU aggregate robotics-startup funding figure) with the closest available sector-level figure; flagged as not perfectly comparable to a robotics-only figure.
R086,2026-09-19,unknown,"Multiple (humanoid, cobot, AMR)",unknown,unknown,N/A,Motion / actuator,Brake (motor holding brake),unknown,unknown,Kendrion; Warner Electric (Altra/Regal Rexnord); Mayr (ROBA-servostop); KEB; Miki Pulley; SEPAC,"Germany (Kendrion, Mayr); US (Warner Electric, Miki Pulley US, SEPAC)",unknown,unknown,"Kendrion, Warner Electric/Altra, Mayr, KEB, Miki Pulley and SEPAC each manufacture spring-applied electromagnetic holding brakes purpose-built for robot joints/servo motors (e.g. Warner WR220/WR225, Mayr ROBA-servostop, Miki Pulley BXR robotic-arm joint brake) for holding torque when power is removed.",https://www.kendrion.com/en/industries/robotics/brake-technology,company official site,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No Chinese domestic holding-brake manufacturer or China-cost-advantage signal located for this specific component in this pass.,"Directly closes Pass-1 README gap #6 (brake as a distinct BOM line item, no dedicated source previously found)."
R087,2026-09-19,unknown,"Multiple (humanoid, cobot, AMR)",unknown,unknown,N/A,Motion / actuator,Driver / motor controller board,unknown,unknown,"Yaskawa, Panasonic, Mitsubishi (JP); Lenze, Bosch Rexroth (EU); Kollmorgen, Allied Motion (US); LS, EA, Tonghang (CN)",Japan/EU/US incumbents; China domestic challengers,"Chinese domestic servo-drive/controller makers (LS, EA, Tonghang) exist but in China's own industrial-robot servo-motor market, 85% share is still held by foreign brands (Yaskawa, Panasonic, Mitsubishi, Lenze, Bosch Rexroth) as of this pass — i.e. China has not yet displaced foreign servo/driver suppliers even domestically.",unknown,"In China, 85% of the industrial robot servo motor (and associated driver) market is held by foreign brands (Yaskawa, Panasonic, Mitsubishi, Lenze, Bosch Rexroth); Chinese domestic manufacturers named include LS, EA, and Tonghang E-Drive.",https://www.thservodrive.com/news/top-10-servo-motor-manufacturers-in-china-85274378.html,industry publication (China-focused),unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"No separately-sourced evidence for the driver/controller board as distinct from the servo motor itself (they are usually bundled in available sources) — closes Pass-1 gap #6 partially, flagged as still coupled with motor data.","Contradicts the general 'China dominates robot components' framing for this specific component — kept as its own record per raw-data rule, not merged into a single China-advantage conclusion."
R088,2026-09-19,unknown,"Multiple (industrial arm, cobot)",unknown,unknown,N/A,Safety,Safety light curtain / laser scanner / safety PLC,unknown,unknown,unknown,unknown,unknown,unknown,"ISO 10218-1:2025 and ISO 10218-2:2025 (revised industrial robot safety standard) specify functional-safety performance levels PL d / SIL 2 for Class II robots and PL b / SIL 1 for Class I robots per ISO 13849-1:2023 / IEC 62061:2021; ISO 13855 governs contactless safeguards (light curtains, laser scanners) used to detect humans near robots; unified safety architectures combine safety laser scanners, light curtains, 3D vision and safety PLCs.",https://www.iso.org/standard/73933.html,standards body (ISO),2025,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No specific US/AU/China manufacturer market-share breakdown for safety light curtains/laser scanners located in this pass.,"Opens the Safety subsystem (required by issue, not present in Pass 1) with a primary standards-body source."
R089,2026-09-19,unknown,"Multiple (humanoid, industrial arm)",unknown,unknown,N/A,Thermal / cooling,Heat sink / liquid cooling module for joint actuator,unknown,unknown,T-Global Technology; Lori Thermal; Keli Sensing Technology (Ningbo); Zhejiang Sanhua; Ziitek,"China (Lori, Keli, Sanhua, Ziitek); US (T-Global)","Multiple specialized China-based thermal-component makers (Lori, Keli Sensing/Ningbo, Zhejiang Sanhua, Ziitek) supply purpose-built humanoid/robot-joint cooling modules (heat sinks, compact liquid-cooling modules for bipedal robots, PCM/thermal-gel/potting-compound solutions), indicating a maturing China-based specialty thermal-component supply cluster for humanoid actuators specifically.",unknown,"Established robot OEMs (FANUC, ABB, KUKA, Siemens) use integrated forced-air + heat-sink cooling; specialized suppliers (Lori, Keli Sensing/Ningbo, Zhejiang Sanhua, Ziitek, all China-based, plus US-based T-Global) offer purpose-built heat sinks, compact liquid-cooling modules for bipedal-robot joints, and PCM/thermal-gel/potting-compound solutions for humanoid actuator thermal management.",https://www.lorithermal.com/robot-cooling-solutions,company official site / industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,No independent (non-vendor) source quantifying thermal-management cost or US/AU local-capacity signal for this subsystem was located.,"Opens the Thermal/cooling subsystem (required by issue, not present in Pass 1)."
R090,2026-09-19,unknown,Multiple,unknown,unknown,N/A,Wiring / connectors,Cable assembly / wire harness / connector,unknown,"Cable/harness assembly (manual + automated), connector termination","Molex; JST; Hirose; TE Connectivity (connector OEMs); WellPCB, OurPCB, Wiringo, Y.C. Cable, Kato Cable (harness assemblers)","US/Japan/global (Molex, JST, Hirose, TE Connectivity connector OEMs); China/Thailand/Philippines (harness assembly production)","Robotics wire-harness/cable-assembly production capacity is concentrated in China, Thailand and Philippines; several assemblers (e.g. WellPCB) combine PCB fab and cable assembly under one roof in Shenzhen/Shijiazhuang, letting a robotics OEM single-source control PCBs and custom high-flex harnesses together.",unknown,"Global connector component makers (Molex, JST, Hirose, TE Connectivity) supply the terminals/connectors; harness assembly for robotics (high-flex, torsion-resistant, EMI-optimized, built to IPC/WHMA-A-620 Class 3 and ISO 9001) is concentrated in China, Thailand and Philippines production facilities.",https://www.ourpcb.com/top-robotics-cable-assembly-manufacturers,industry publication / company site,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No specific US-based robotics harness-assembly capacity/onshoring signal located in this pass.,"Opens the Wiring/connectors subsystem (required by issue, not present in Pass 1)."
R091,2026-09-19,unknown,"Multiple (cobot, humanoid, surgical)",unknown,unknown,N/A,Motion / actuator,Torque / force-torque sensor (wrist/joint),unknown,unknown,"ATI Industrial Automation (US); OnRobot (DK); Bota Systems (CH); Sunrise Instruments/SRI, Robotous (KR), Shenzhen Chengzhou, Changzhou Kunwei (CN); Robotiq (CA); FUTEK (US)","US/EU/Korea incumbents; China (Shenzhen Chengzhou, Changzhou Kunwei) challengers",unknown,unknown,"6-axis force/torque sensors mounted at the robot wrist enable compliant manipulation and force-guided assembly; ATI's range spans a 17mm Nano17 up to the Omega331 (21,000 lbf); named suppliers span US (ATI, FUTEK), EU (OnRobot, Bota), Korea (Sunrise Instruments, Robotous) and China (Shenzhen Chengzhou KWR82 series for cobots/surgical/service robots; Changzhou Kunwei).",https://www.engineering.com/starter-guide-to-six-axis-force-and-torque-sensors/,industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No price or market-share comparison between US/EU and Chinese torque-sensor makers located in this pass.,Closes Pass-1 gap for 'torque sensor' as a named component in the issue's example Motion chain.
R092,2026-09-19,unknown,"Multiple (humanoid, cobot, AMR)",unknown,unknown,N/A,Motion / actuator,Bearing (crossed-roller / thin-section),Steel (bearing steel),Precision grinding / forging,Luoyang E-Find Precision Bearing; Luoyang Precision Bearing; Zhejiang Xinchun Bearing; Tedin Bearing; UKL Bearing,"China (Henan/Luoyang, Guangdong/Pearl River Delta, Shandong, Hunan, Anhui clusters)","China's robotic-bearing supply is geographically clustered: Luoyang (Henan) is a historic precision-bearing hub (Luoyang E-Find, Luoyang Precision Bearing); Guangdong's Pearl River Delta (Shenzhen/Dongguan/Guangzhou) combines export logistics with tech-integrated manufacturing; crossed-roller and constant-section thin-wall bearings for robot joints/slewing rings are the dominant robotics bearing types made in these clusters.",unknown,"China's robotic-bearing manufacturing is concentrated in named regional clusters (Henan/Luoyang, Guangdong Pearl River Delta, Shandong, Hunan, Anhui); crossed-roller bearings and constant-section thin-wall bearings are the primary bearing types used in robot joints, slewing units and precision rotary tables; Chinese suppliers are described as 'increasingly competing on technology, quality and reliability rather than just price' though quality/delivery inconsistency is also flagged.",https://www.cwlbearing.com/blog/best-robot-bearing-suppliers-china-global-buyers/,industry publication / company site,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,"No US or AU domestic robot-grade precision-bearing manufacturer identified in this pass (a specific US/AU capacity gap, not yet confirmed as fully absent).",Deepens Pass-1's general bearing coverage with named China cluster geography.
